Movie,trunc,Release Date,Distributor,Genre
Flatliners,Flatliners,"Sep 29, 2017",Sony Pictures,Horror
Detroit,Detroit,"Aug 4, 2017",Annapurna Pictures,Drama
The Shape of Water,The Shape of Water,"Dec 1, 2017",Fox Searchlight,Drama
Moonlight,Moonlight,"Oct 21, 2016",A24,Drama
The Case for Christ,The Case for Christ,"Apr 7, 2017",Pure Flix Enterta…,Drama
Wish Upon,Wish Upon,"Jul 14, 2017",Broad Green Pictures,Horror
It Comes at Night,It Comes at Night,"Jun 9, 2017",A24,Horror
Born in China,Born in China,"Apr 21, 2017",Walt Disney,Documentary
Megan Leavey,Megan Leavey,"Jun 9, 2017",Bleecker Street,Drama
Father Figures,Father Figures,"Dec 22, 2017",Warner Bros.,Comedy
The Founder,The Founder,"Dec 31, 2016",Weinstein Co.,Drama
All the Money in the World,All the Money in the,"Dec 25, 2017",Sony Pictures,Thriller/Suspense
Battle of the Sexes,Battle of the Sexes,"Sep 22, 2017",,Drama
Before I Fall,Before I Fall,"Mar 3, 2017",Open Road,Drama
Night of the Living Dead,Night of the Living ,"Oct 1, 1968",Janus Films,Horror
"Roman J. Israel, Esq.","Roman J. Israel, Esq","Nov 17, 2017",Sony Pictures,Drama
Unforgettable,Unforgettable,"Apr 21, 2017",Warner Bros.,Thriller/Suspense
Fantastic Beasts and Where …,Fantastic Beasts and,"Nov 18, 2016",Warner Bros.,Adventure
The Beguiled,The Beguiled,"Jun 23, 2017",Focus Features,Thriller/Suspense
Live by Night,Live by Night,"Dec 25, 2016",Warner Bros.,Drama
The Belko Experiment,The Belko Experiment,"Mar 17, 2017",BH Tilt,Horror
Thank You for Your Service,Thank You for Your S,"Oct 27, 2017",Universal,Drama
Marshall,Marshall,"Oct 13, 2017",Open Road,Drama
Rock Dog,Rock Dog,"Feb 24, 2017",Lionsgate,Adventure
The Lost City of Z,The Lost City of Z,"Apr 14, 2017",Bleecker Street,Drama
Arrival,Arrival,"Nov 11, 2016",Paramount Pictures,Drama
The Promise,The Promise,"Apr 21, 2017",Open Road,Drama
A Cure for Wellness,A Cure for Wellness,"Feb 17, 2017",20th Century Fox,Thriller/Suspense
The Space Between Us,The Space Between Us,"Feb 3, 2017",STX Entertainment,Drama
Jackie,Jackie,"Dec 2, 2016",Fox Searchlight,Drama
Gold,Gold,"Jan 27, 2017",Weinstein Co.,Drama
Let There Be Light,Let There Be Light,"Oct 27, 2017",Atlas Distribution,Drama
I Am Not Your Negro,I Am Not Your Negro,"Feb 3, 2017",Magnolia Pictures,Documentary
Beatriz at Dinner,Beatriz at Dinner,"Jun 9, 2017",Roadside Attractions,Drama
Birth of the Dragon,Birth of the Dragon,"Aug 25, 2017",BH Tilt,Action
Silence,Silence,"Dec 23, 2016",Paramount Pictures,Drama
Collateral Beauty,Collateral Beauty,"Dec 16, 2016",Warner Bros.,Drama
The Snowman,The Snowman,"Oct 20, 2017",Universal,Thriller/Suspense
Same Kind of Different as Me,Same Kind of Differe,"Oct 20, 2017",Pure Flix Enterta…,Drama
Loving Vincent,Loving Vincent,"Sep 22, 2017",Good Deed Enterta…,Drama
Lowriders,Lowriders,"May 12, 2017",BH Tilt,Drama
Maudie,Maudie,"Jun 16, 2017",Sony Pictures Cla…,Drama
Just Getting Started,Just Getting Started,"Dec 8, 2017",Broad Green Pictures,Comedy
All Saints,All Saints,"Aug 25, 2017",Sony Pictures,Drama
Suburbicon,Suburbicon,"Oct 27, 2017",Paramount Pictures,Black Comedy
Paris Can Wait,Paris Can Wait,"May 12, 2017",Sony Pictures Cla…,Romantic Comedy
The Man Who Invented Christmas,The Man Who Invented,"Nov 22, 2017",Bleecker Street,Comedy
20th Century Women,20th Century Women,"Dec 25, 2016",A24,Drama
Molly’s Game,Molly’s Game,"Dec 25, 2017",STX Entertainment,Drama
The Florida Project,The Florida Project,"Oct 6, 2017",A24,Drama
