Movie,trunc,Release Date,Distributor,Genre
World War Z,World War Z,"Jun 21, 2013",Paramount Pictures,Action
Escape From Mogadishu,Escape From Mogadish,"Aug 6, 2021",Well Go USA,Action
Benedetta,Benedetta,"Dec 3, 2021",IFC Films,Drama
The Emperor's New Groove,The Emperor's New Gr,"Dec 15, 2000",Walt Disney,Adventure
The Battle at Lake Changjin,The Battle at Lake C,"Nov 19, 2021",CMC Pictures,Action
Freaky,Freaky,"Nov 13, 2020",Universal,Horror
Drive My Car,Drive My Car,"Nov 24, 2021",Janus Films,Drama
Dutch,Dutch,"Mar 12, 2021",Faith Media Distr…,Thriller/Suspense
Final Account,Final Account,"May 21, 2021",Focus Features,Documentary
New Order,New Order,"May 21, 2021",Neon,Thriller/Suspense
The Lady of Heaven,The Lady of Heaven,"Dec 10, 2021",,Action
India Sweets and Spices,India Sweets and Spi,"Nov 19, 2021",Bleecker Street,Comedy
Blithe Spirit,Blithe Spirit,"Feb 19, 2021",IFC Films,Comedy
American Skin,American Skin,"Jan 15, 2021",Vertical Entertai…,Drama
I’m Your Man,I’m Your Man,"Sep 24, 2021",Bleecker Street,Comedy
A Mouthful of Air,A Mouthful of Air,"Oct 29, 2021",Sony Pictures,Drama
Rita Moreno: Just a Girl Wh…,Rita Moreno: Just a ,"Jun 18, 2021",Roadside Attractions,Documentary
Délicieux,Délicieux,"Sep 10, 2021",,Comedy
Weathering With You,Weathering With You,"Jan 15, 2020",GKIDS,Drama
Once I Was Engaged,Once I Was Engaged,"Jul 21, 2021",Purdie Distribution,Comedy
Murder in the Woods,Murder in the Woods,"Aug 14, 2020",Rezinate Entertai…,Horror
Supernova,Supernova,"Jan 29, 2021",Bleecker Street,Drama
Becoming Cousteau,Becoming Cousteau,"Oct 22, 2021",Picturehouse,Documentary
Half Brothers,Half Brothers,"Dec 4, 2020",Focus Features,Comedy
Limbo,Limbo,"Apr 30, 2021",Focus Features,Drama
Doctor,Doctor,"Oct 9, 2021",Hamsini,Action
Promare,Promare,"Sep 17, 2019",GKIDS,Adventure
Together,Together,"Aug 27, 2021",Bleecker Street,Comedy
La piscine,La piscine,"May 14, 2021",Rialto Pictures,Drama
Ailey,Ailey,"Jul 23, 2021",Neon,Documentary
Groundhog Day,Groundhog Day,"Feb 12, 1993",Sony Pictures,Romantic Comedy
The Resort,The Resort,"Apr 30, 2021",Vertical Entertai…,Horror
Earwig and the Witch,Earwig and the Witch,"Feb 3, 2021",GKIDS,Adventure
Beans,Beans,"Mar 30, 2021",FilmRise,Drama
I Carry You With Me,I Carry You With Me,"Dec 31, 2020",Sony Pictures Cla…,Drama
Shiva Baby,Shiva Baby,"Apr 2, 2021",Utopia,Comedy
Heaven,Heaven,"Oct 2, 2020",LAMA Distribution,Drama
Wolf,Wolf,"Dec 3, 2021",Focus Features,Drama
SAS: Red Notice,SAS: Red Notice,"Apr 16, 2021",Vertical Entertai…,Action
Bergman Island,Bergman Island,"Oct 15, 2021",IFC Films,Drama
Mass,Mass,"Oct 8, 2021",Bleecker Street,Drama
The Reckoning,The Reckoning,"Feb 5, 2021",RLJ Entertainment,Horror
Held,Held,"Apr 9, 2021",Magnolia Pictures,Horror
No Man’s Land,No Man’s Land,"Jan 22, 2021",IFC Films,Western
Six Minutes to Midnight,Six Minutes to Midni,"Mar 26, 2021",IFC Films,Thriller/Suspense
Tadap,Tadap,"Dec 3, 2021",20th Century Studios,Action
Gaia,Gaia,"Jun 18, 2021",Neon,Horror
Swan Song,Swan Song,"Aug 6, 2021",Magnolia Pictures,Drama
The Djinn,The Djinn,"May 14, 2021",IFC Midnight,Horror
Walking with Herb,Walking with Herb,"May 7, 2021",Aloha Releasing,Comedy
Shadow in the Cloud,Shadow in the Cloud,"Jan 1, 2021",Vertical Entertai…,Action
Gunda,Gunda,"Apr 16, 2021",Neon,Documentary
The World to Come,The World to Come,"Feb 12, 2021",Bleecker Street,Drama
The Paper Tigers,The Paper Tigers,"May 7, 2021",Well Go USA,Action
Small Engine Repair,Small Engine Repair,"Sep 10, 2021",Vertical Entertai…,Drama
Lupin III: The First,Lupin III: The First,"Oct 18, 2020",GKIDS,Adventure
The Loneliest Whale: The Se…,The Loneliest Whale:,"Jul 9, 2021",Bleecker Street,Documentary
Tango Shalom,Tango Shalom,"Sep 3, 2021",Vision Films,Comedy
The Misfits,The Misfits,"Jun 11, 2021",,Thriller/Suspense
Parallel Mothers,Parallel Mothers,"Dec 24, 2021",Sony Pictures Cla…,Drama
The Souvenir Part II,The Souvenir Part II,"Oct 29, 2021",A24,Drama
Safer at Home,Safer at Home,"Feb 26, 2021",Vertical Entertai…,Thriller/Suspense
Psycho Goreman,Psycho Goreman,"Jan 22, 2021",RLJ Entertainment,Horror
Censor,Censor,"Jun 11, 2021",Magnolia Pictures,Horror
Mission Stories,Mission Stories,"May 7, 2021",Excel Entertainment,Drama
On Broadway,On Broadway,"Aug 20, 2021",Kino Lorber,Documentary
Abominable,Abominable,"Sep 27, 2019",Universal,Adventure
Children of the Sea,Children of the Sea,"Dec 31, 2020",GKIDS,Adventure
Undine,Undine,"Jun 4, 2021",IFC Films,Drama
Riders of Justice,Riders of Justice,"May 14, 2021",Magnet Releasing,Comedy
In Balanchine’s Classroom,In Balanchine’s Clas,"Sep 17, 2021",Zeitgeist,Documentary
Language Lessons,Language Lessons,"Sep 10, 2021",Shout! Factory,Drama
CatVideoFest 2021,CatVideoFest 2021,"Jul 23, 2021",Oscilloscope Pict…,Documentary
The Killing of Two Lovers,The Killing of Two L,"May 14, 2021",Neon,Drama
Summertime,Summertime,"Jul 9, 2021",Good Deed Enterta…,Drama
Summer of 85,Summer of 85,"Jun 18, 2021",Music Box Films,Drama
Demonic,Demonic,"Aug 20, 2021",IFC Midnight,Horror
Hard Luck Love Song,Hard Luck Love Song,"Oct 15, 2021",Roadside Attractions,Drama
Wife of a Spy,Wife of a Spy,"Sep 17, 2021",Kino Lorber,Thriller/Suspense
Remember the Titans,Remember the Titans,"Sep 29, 2000",Walt Disney,Drama
Silo,Silo,"May 7, 2021",Oscilloscope Pict…,Drama
The First Wave,The First Wave,"Nov 19, 2021",Neon,Documentary
Come True,Come True,"Mar 12, 2021",IFC Midnight,Horror
Lansky,Lansky,"Jun 25, 2021",Vertical Entertai…,Thriller/Suspense
Kurt Vonnegut: Unstuck in Time,Kurt Vonnegut: Unstu,"Nov 19, 2021",IFC Films,Documentary
Alien,Alien,"May 25, 1979",20th Century Studios,Horror
Bad Luck Banging or Loony Porn,Bad Luck Banging or ,"Nov 19, 2021",Magnolia Pictures,Comedy
Flee,Flee,"Dec 3, 2021",Neon,Documentary
Without Getting Killed or C…,Without Getting Kill,"Jul 23, 2021",Good Deed Enterta…,Documentary
Son,Son,"Mar 5, 2021",RLJ Entertainment,Horror
Christmas Vs The Walters,Christmas Vs The Wal,"Nov 5, 2021",Safier Entertainment,Comedy
My Salinger Year,My Salinger Year,"Mar 5, 2021",IFC Films,Drama
Truman & Tennessee: An Inti…,Truman & Tennessee: ,"Jun 17, 2021",Kino Lorber,Documentary
The Nowhere Inn,The Nowhere Inn,"Sep 17, 2021",IFC Films,Comedy
Azor,Azor,"Sep 10, 2021",MUBI,Drama
Ema,Ema,"Aug 13, 2021",Music Box Films,Drama
Always & Forever,Always & Forever,"Nov 20, 2020",RLJ Entertainment,Thriller/Suspense
Dara Of Jasenovac,Dara Of Jasenovac,"Feb 5, 2021",101 Studios,Drama
My Zoe,My Zoe,"Feb 26, 2021",Blue Fox Entertai…,Thriller/Suspense
About Endlessness,About Endlessness,"Apr 30, 2021",Magnolia Pictures,Drama
The Vigil,The Vigil,"Feb 26, 2021",IFC Midnight,Horror
Last Call,Last Call,"Mar 19, 2021",IFC Films,Comedy
Who You Think I Am,Who You Think I Am,"Sep 3, 2021",Cohen Media Group,Drama
MLK/FBI,MLK/FBI,"Jan 15, 2021",IFC Films,Documentary
Some Kind of Heaven,Some Kind of Heaven,"Jan 8, 2021",Magnolia Pictures,Documentary
Death Rider in the House of…,Death Rider in the H,"Aug 20, 2021",Atlas Distribution,Horror
Another Round,Another Round,"Dec 18, 2020",,Drama
Old Henry,Old Henry,"Oct 1, 2021",Shout! Factory,Western
Senior Moment,Senior Moment,"Mar 26, 2021",Screen Media Films,Comedy
Little Fish,Little Fish,"Feb 5, 2021",IFC Films,Drama
"All Light, Everywhere","All Light, Everywher","Jun 4, 2021",Super LTD,Documentary
Heart of Champions,Heart of Champions,"Oct 29, 2021",Vertical Entertai…,Romantic Comedy
The Human Factor,The Human Factor,"May 7, 2021",Sony Pictures Cla…,Documentary
Schemes in Antiques,Schemes in Antiques,"Dec 17, 2021",Well Go USA,Adventure
Luzzu,Luzzu,"Oct 15, 2021",Kino Lorber,Drama
Falling for Figaro,Falling for Figaro,"Oct 1, 2021",IFC Films,Romantic Comedy
The Youngest Evangelist And…,The Youngest Evangel,"Nov 19, 2021",Atlas Distribution,Drama
Mainstream,Mainstream,"May 7, 2021",IFC Films,Comedy
Cryptozoo,Cryptozoo,"Aug 20, 2021",Magnolia Pictures,Adventure
Confetti,Confetti,"Aug 20, 2021",Dada Films,Drama
Bloody Hell,Bloody Hell,"Jan 14, 2021",Entertainment Squad,Horror
The God Committee,The God Committee,"Jul 2, 2021",Vertical Entertai…,Thriller/Suspense
Yakuza Princess,Yakuza Princess,"Sep 3, 2021",Magnolia Pictures,Thriller/Suspense
Monday,Monday,"Apr 16, 2021",IFC Films,Drama
The Beta Test,The Beta Test,"Nov 5, 2021",IFC Films,Thriller/Suspense
The Hidden Life of Trees,The Hidden Life of T,"Jul 23, 2021",,Documentary
The Perfect Candidate,The Perfect Candidat,"May 14, 2021",Music Box Films,Drama
Golden Voices,Golden Voices,"Oct 8, 2021",Music Box Films,Romantic Comedy
Trigger Point,Trigger Point,"Apr 16, 2021",Screen Media Films,Action
Settlers,Settlers,"Jul 23, 2021",IFC Midnight,Western
Mama Weed,Mama Weed,"Jul 16, 2021",Music Box Films,Comedy
France,France,"Dec 10, 2021",Kino Lorber,Comedy
Holler,Holler,"Jun 11, 2021",IFC Films,Drama
Prisoners of the Ghostland,Prisoners of the Gho,"Sep 17, 2021",RLJ Entertainment,Action
"Ma Belle, My Beauty","Ma Belle, My Beauty","Aug 20, 2021",Good Deed Enterta…,Drama
Jakob’s Wife,Jakob’s Wife,"Apr 16, 2021",RLJ Entertainment,Horror
Our Ladies,Our Ladies,"Jun 18, 2021",Sony Pictures,Comedy
The Scary of Sixty First,The Scary of Sixty F,"Dec 3, 2021",Utopia,Horror
The Night,The Night,"Jan 29, 2021",IFC Midnight,Thriller/Suspense
John and the Hole,John and the Hole,"Aug 6, 2021",IFC Films,Thriller/Suspense
Moffie,Moffie,"Apr 9, 2021",IFC Films,Drama
The Violent Heart,The Violent Heart,"Feb 19, 2021",Gravitas Ventures,Thriller/Suspense
The Ladykillers,The Ladykillers,"Feb 20, 1956",Rialto Pictures,Comedy
Gully,Gully,"Jun 4, 2021",Vertical Entertai…,Drama
A Soldier’s Story 2: Return…,A Soldier’s Story 2:,"Jun 26, 2021",Indican Pictures,Action
Dating & New York,Dating & New York,"Sep 10, 2021",IFC Films,Romantic Comedy
What do we See When we Look…,What do we See When ,"Nov 12, 2021",MUBI,Drama
Nights of Cabiria,Nights of Cabiria,"Jul 1, 1998",Rialto Pictures,Drama
The Novice,The Novice,"Dec 17, 2021",IFC Films,Thriller/Suspense
Archenemy,Archenemy,"Dec 11, 2020",RLJ Entertainment,Action
Harper,Harper,"Dec 15, 2021",Indican Pictures,Drama
Mandibles,Mandibles,"Jul 23, 2021",Magnolia Pictures,Comedy
Delete History,Delete History,"Mar 19, 2021",,Comedy
Halloween,Halloween,"Oct 19, 2018",,Horror
Mystery of the Kingdom of God,Mystery of the Kingd,"Mar 26, 2021",Atlas Distribution,Adventure
Ascension (登楼叹),Ascension (),"Oct 8, 2021",MTV Documentary F…,Documentary
How It Ends,How It Ends,"Jul 20, 2021",United Artists,Comedy
Never Gonna Snow Again,Never Gonna Snow Aga,"Jul 30, 2021",Kino Lorber,Comedy
First Date,First Date,"Jul 2, 2021",Magnolia Pictures,Comedy
Equal Standard,Equal Standard,"May 7, 2021",Mutiny Pictures,Action
The Laws Of The Universe — …,The Laws Of The Univ,"Oct 22, 2021",Entertainment Stu…,Adventure
Even in Dreams,Even in Dreams,"Aug 6, 2021",Purdie Distribution,Drama
No Ordinary Man,No Ordinary Man,"Jul 16, 2021",Oscilloscope Pict…,Documentary
Counter Column,Counter Column,"Oct 16, 2020",Nova Vento Entert…,Drama
Best Sellers,Best Sellers,"Sep 17, 2021",Screen Media Films,Comedy
We Broke Up,We Broke Up,"Apr 16, 2021",Vertical Entertai…,Romantic Comedy
All My Life,All My Life,"Dec 4, 2020",Universal,Drama
Writing With Fire,Writing With Fire,"Nov 26, 2021",Music Box Films,Documentary
Death of a Ladies’ Man,Death of a Ladies’ M,"Mar 12, 2021",,Drama
American Traitor: The Trial…,American Traitor: Th,"May 28, 2021",Vertical Entertai…,Drama
Secret Agent Dingledorf and…,Secret Agent Dingled,"Jul 23, 2021",Atlas Distribution,Comedy
Hive,Hive,"Nov 5, 2021",Zeitgeist,Drama
We Need to Do Something,We Need to Do Someth,"Sep 3, 2021",IFC Midnight,Horror
Bring Your Own Brigade,Bring Your Own Briga,"Aug 6, 2021",Paramount Pictures,Documentary
Stray,Stray,"Mar 5, 2021",Magnolia Pictures,Documentary
Storm Lake,Storm Lake,"Sep 17, 2021",Whole Hog Films,Documentary
Lydia Lunch: The War is Nev…,Lydia Lunch: The War,"Jun 30, 2021",Kino Lorber,Documentary
The Meaning of Hitler,The Meaning of Hitle,"Aug 13, 2021",IFC Films,Documentary
Lorelei,Lorelei,"Jul 30, 2021",Vertical Entertai…,Drama
State Funeral,State Funeral,"May 7, 2021",MUBI,Documentary
The Year of the Everlasting…,The Year of the Ever,"Sep 3, 2021",Neon,Multiple Genres
Sweat,Sweat,"Jun 18, 2021",MUBI,Drama
Hunter Hunter,Hunter Hunter,"Dec 18, 2020",IFC Films,Horror
The Aerialist,The Aerialist,"Jan 29, 2021",Indie Rights,Drama
Sabaya,Sabaya,"Jul 30, 2021",Self Distributed,Documentary
The Incredible 25th Year of…,The Incredible 25th ,"Feb 12, 2021",Indican Pictures,Comedy
Let Him Go,Let Him Go,"Nov 6, 2020",Focus Features,Thriller/Suspense
Petite fille,Petite fille,"Sep 17, 2021",Music Box Films,Documentary
"Casanova, Last Love","Casanova, Last Love","Jul 14, 2021",Dada Films,Drama
Can You Bring It: Bill T. J…,Can You Bring It: Bi,"Jul 16, 2021",Kino Lorber,Documentary
Zombie Bro,Zombie Bro,"Jan 8, 2021",Indican Pictures,Comedy
All the Streets are Silent:…,All the Streets are ,"Jul 23, 2021",Greenwich,Documentary
Average Joe,Average Joe,"Jan 8, 2021",Indican Pictures,Action
