Movie,trunc,Release Date,Distributor,Genre
Justin Bieber: Never Say N…,Justin Bieber: Never,"Feb 11, 2011",Paramount Pictures,Concert/Perfor…
Dolphin Tale,Dolphin Tale,"Sep 23, 2011",Warner Bros.,Drama
Jack and Jill,Jack and Jill,"Nov 11, 2011",Sony Pictures,Comedy
No Strings Attached,No Strings Attached,"Jan 21, 2011",Paramount Pictures,Romantic Comedy
Mr. Popper's Penguins,Mr. Popper's Penguin,"Jun 17, 2011",20th Century Fox,Comedy
Unknown,Unknown,"Feb 18, 2011",Warner Bros.,Thriller/Suspense
The Adjustment Bureau,The Adjustment Burea,"Mar 4, 2011",Universal,Thriller/Suspense
Happy Feet Two,Happy Feet Two,"Nov 18, 2011",Warner Bros.,Musical
Black Swan,Black Swan,"Dec 3, 2010",Fox Searchlight,Thriller/Suspense
Water for Elephants,Water for Elephants,"Apr 22, 2011",20th Century Fox,Drama
The Lincoln Lawyer,The Lincoln Lawyer,"Mar 18, 2011",Lionsgate,Thriller/Suspense
Midnight in Paris,Midnight in Paris,"May 20, 2011",Sony Pictures Cla…,Romantic Comedy
Friends with Benefits,Friends with Benefit,"Jul 22, 2011",Sony Pictures,Romantic Comedy
The Girl with the Dragon Ta…,The Girl with the Dr,"Dec 20, 2011",Sony Pictures,Thriller/Suspense
I am Number Four,I am Number Four,"Feb 18, 2011",Walt Disney,Adventure
Source Code,Source Code,"Apr 1, 2011",Summit Entertainment,Thriller/Suspense
Insidious,Insidious,"Apr 1, 2011",FilmDistrict,Horror
Madea's Big Happy Family,Madea's Big Happy Fa,"Apr 22, 2011",Lionsgate,Comedy
Diary of a Wimpy Kid: Rodri…,Diary of a Wimpy Kid,"Mar 25, 2011",20th Century Fox,Adventure
Footloose,Footloose,"Oct 14, 2011",Paramount Pictures,Drama
The Adventures of Tintin,The Adventures of Ti,"Dec 21, 2011",Paramount Pictures,Adventure
Hugo,Hugo,"Nov 23, 2011",Paramount Pictures,Adventure
The Dilemma,The Dilemma,"Jan 14, 2011",Universal,Comedy
New Year’s Eve,New Year’s Eve,"Dec 9, 2011",Warner Bros.,Romantic Comedy
The Fighter,The Fighter,"Dec 10, 2010",Paramount Pictures,Drama
Little Fockers,Little Fockers,"Dec 22, 2010",Universal,Comedy
Arthur Christmas,Arthur Christmas,"Nov 23, 2011",Sony Pictures,Adventure
Hall Pass,Hall Pass,"Feb 25, 2011",Warner Bros.,Comedy
We Bought a Zoo,We Bought a Zoo,"Dec 23, 2011",20th Century Fox,Drama
Soul Surfer,Soul Surfer,"Apr 8, 2011",Sony Pictures,Drama
Final Destination 5,Final Destination 5,"Aug 12, 2011",Warner Bros.,Horror
The Ides of March,The Ides of March,"Oct 7, 2011",Sony Pictures,Drama
Tron: Legacy,Tron: Legacy,"Dec 17, 2010",Walt Disney,Adventure
War Horse,War Horse,"Dec 25, 2011",Walt Disney,Drama
The Descendants,The Descendants,"Nov 16, 2011",Fox Searchlight,Drama
Hanna,Hanna,"Apr 8, 2011",Focus Features,Thriller/Suspense
Something Borrowed,Something Borrowed,"May 6, 2011",Warner Bros.,Romantic Comedy
Spy Kids: All the Time in t…,Spy Kids: All the Ti,"Aug 19, 2011",Weinstein/Dimension,Adventure
Scream 4,Scream 4,"Apr 15, 2011",Weinstein/Dimension,Horror
"Big Mommas: Like Father, Li…",Big Mommas: Like Fat,"Feb 18, 2011",20th Century Fox,Comedy
Red Riding Hood,Red Riding Hood,"Mar 11, 2011",Warner Bros.,Thriller/Suspense
Paul,Paul,"Mar 18, 2011",Universal,Comedy
The Roommate,The Roommate,"Feb 4, 2011",Sony Pictures,Thriller/Suspense
Jumping the Broom,Jumping the Broom,"May 6, 2011",Sony Pictures,Romantic Comedy
The Change-Up,The Change-Up,"Aug 5, 2011",Universal,Comedy
In Time,In Time,"Oct 28, 2011",20th Century Fox,Thriller/Suspense
30 Minutes or Less,30 Minutes or Less,"Aug 12, 2011",Sony Pictures,Black Comedy
Colombiana,Colombiana,"Aug 26, 2011",Sony Pictures,Thriller/Suspense
J. Edgar,J. Edgar,"Nov 9, 2011",Warner Bros.,Drama
Sucker Punch,Sucker Punch,"Mar 25, 2011",Warner Bros.,Action
Larry Crowne,Larry Crowne,"Jul 1, 2011",Universal,Romantic Comedy
50/50,50/50,"Sep 30, 2011",Summit Entertainment,Black Comedy
A Very Harold & Kumar 3D Ch…,A Very Harold & Kuma,"Nov 4, 2011",Warner Bros.,Comedy
Drive,Drive,"Sep 16, 2011",FilmDistrict,Action
Yogi Bear,Yogi Bear,"Dec 17, 2010",Warner Bros.,Adventure
Courageous,Courageous,"Sep 30, 2011",Sony Pictures,Drama
The Rite,The Rite,"Jan 28, 2011",Warner Bros.,Horror
Arthur,Arthur,"Apr 8, 2011",Warner Bros.,Romantic Comedy
Tangled,Tangled,"Nov 24, 2010",Walt Disney,Adventure
The Debt,The Debt,"Aug 31, 2011",Focus Features,Thriller/Suspense
Priest,Priest,"May 13, 2011",Sony Pictures,Horror
The Mechanic,The Mechanic,"Jan 28, 2011",CBS Films,Action
Abduction,Abduction,"Sep 23, 2011",Lionsgate,Thriller/Suspense
Beastly,Beastly,"Mar 4, 2011",CBS Films,Drama
The Sitter,The Sitter,"Dec 9, 2011",20th Century Fox,Black Comedy
Winnie the Pooh,Winnie the Pooh,"Jul 15, 2011",Walt Disney,Adventure
Killer Elite,Killer Elite,"Sep 23, 2011",Open Road,Action
Season of the Witch,Season of the Witch,"Jan 7, 2011",Relativity,Action
Our Idiot Brother,Our Idiot Brother,"Aug 26, 2011",Weinstein Co.,Comedy
Don't Be Afraid of the Dark,Don't Be Afraid of t,"Aug 26, 2011",FilmDistrict,Horror
Sanctum,Sanctum,"Feb 4, 2011",Universal,Action
Monte Carlo,Monte Carlo,"Jul 1, 2011",20th Century Fox,Romantic Comedy
Your Highness,Your Highness,"Apr 8, 2011",Universal,Comedy
Mars Needs Moms,Mars Needs Moms,"Mar 11, 2011",Walt Disney,Adventure
Dream House,Dream House,"Sep 30, 2011",Universal,Horror
Conan the Barbarian,Conan the Barbarian,"Aug 19, 2011",Lionsgate,Action
The Three Musketeers,The Three Musketeers,"Oct 21, 2011",Summit Entertainment,Adventure
Country Strong,Country Strong,"Dec 22, 2010",Sony Pictures,Drama
The Eagle,The Eagle,"Feb 11, 2011",Focus Features,Action
Shark Night 3D,Shark Night 3D,"Sep 2, 2011",Relativity,Horror
Fright Night,Fright Night,"Aug 19, 2011",Walt Disney,Horror
Apollo 18,Apollo 18,"Sep 2, 2011",Weinstein Co.,Thriller/Suspense
The Chronicles of Narnia: T…,The Chronicles of Na,"Dec 10, 2010",20th Century Fox,Adventure
The Thing,The Thing,"Oct 14, 2011",Universal,Horror
African Cats,African Cats,"Apr 22, 2011",Walt Disney,Documentary
Gulliver’s Travels,Gulliver’s Travels,"Dec 25, 2010",20th Century Fox,Adventure
Born to be Wild 3D,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary
Judy Moody and the Not Bumm…,Judy Moody and the N,"Jun 10, 2011",Relativity,Adventure
What's Your Number?,What's Your Number?,"Sep 30, 2011",20th Century Fox,Romantic Comedy
One Day,One Day,"Aug 19, 2011",Focus Features,Drama
Warrior,Warrior,"Sep 9, 2011",Lionsgate,Drama
The Tree of Life,The Tree of Life,"May 27, 2011",Fox Searchlight,Drama
The Darkest Hour,The Darkest Hour,"Dec 25, 2011",Summit Entertainment,Action
The Rum Diary,The Rum Diary,"Oct 28, 2011",FilmDistrict,Drama
The Tourist,The Tourist,"Dec 10, 2010",Sony Pictures,Thriller/Suspense
Young Adult,Young Adult,"Dec 9, 2011",Paramount Pictures,Comedy
Harry Potter and the Deathl…,Harry Potter and the,"Nov 19, 2010",Warner Bros.,Adventure
Glee: The 3D Concert Movie,Glee: The 3D Concert,"Aug 10, 2011",20th Century Fox,Concert/Perfor…
The Conspirator,The Conspirator,"Apr 15, 2011",Roadside Attractions,Drama
Jane Eyre,Jane Eyre,"Mar 11, 2011",Focus Features,Drama
Drive Angry,Drive Angry,"Feb 25, 2011",Summit Entertainment,Action
Straw Dogs,Straw Dogs,"Sep 16, 2011",Sony Pictures,Thriller/Suspense
Win Win,Win Win,"Mar 18, 2011",Fox Searchlight,Drama
Hoodwinked Too: Hood vs. Evil,Hoodwinked Too: Hood,"Apr 29, 2011",Weinstein Co.,Adventure
Prom,Prom,"Apr 29, 2011",Walt Disney,Comedy
Hubble 3D,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary
I Don't Know How She Does It,I Don't Know How She,"Sep 16, 2011",Weinstein Co.,Comedy
Blue Valentine,Blue Valentine,"Dec 29, 2010",Weinstein Co.,Drama
My Week with Marilyn,My Week with Marilyn,"Nov 23, 2011",Weinstein Co.,Drama
Johnny English Reborn,Johnny English Rebor,"Oct 21, 2011",Universal,Comedy
127 Hours,127 Hours,"Nov 5, 2010",Fox Searchlight,Drama
Kevin Hart: Laugh at My Pain,Kevin Hart: Laugh at,"Sep 9, 2011",Codeblack Enterta…,Concert/Perfor…
Sarah's Key,Sarah's Key,"Jul 22, 2011",Weinstein Co.,Drama
Barney's Version,Barney's Version,"Dec 17, 2010",Sony Pictures Cla…,Drama
The Big Year,The Big Year,"Oct 14, 2011",20th Century Fox,Comedy
Take Me Home Tonight,Take Me Home Tonight,"Mar 4, 2011",Relativity,Comedy
Cedar Rapids,Cedar Rapids,"Feb 11, 2011",Fox Searchlight,Comedy
Incendies,Incendies,"Sep 17, 2010",Sony Pictures Cla…,Drama
Beginners,Beginners,"Jun 3, 2011",Focus Features,Drama
The Guard,The Guard,"Jul 29, 2011",Sony Pictures Cla…,Comedy
Cave of Forgotten Dreams,Cave of Forgotten Dr,"Apr 29, 2011",IFC Films,Documentary
Margin Call,Margin Call,"Oct 21, 2011",Roadside Attractions,Drama
How Do You Know?,How Do You Know?,"Dec 17, 2010",Sony Pictures,Romantic Comedy
Biutiful,Biutiful,"Jan 28, 2011",Roadside Attractions,Drama
The Artist,The Artist,"Nov 25, 2011",Weinstein Co.,Drama
Under the Sea 3D,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary
Atlas Shrugged: Part 1,Atlas Shrugged: Part,"Apr 15, 2011",Rocky Mountain Pi…,Drama
Sea Rex 3D,Sea Rex 3D,"May 28, 2010",3D Entertainment,Documentary
Anonymous,Anonymous,"Oct 28, 2011",Sony Pictures,Drama
The Company Men,The Company Men,"Jan 21, 2011",Weinstein Co.,Drama
Seven Days in Utopia,Seven Days in Utopia,"Sep 2, 2011",Visio Entertainment,Drama
MegaMind,MegaMind,"Nov 5, 2010",Paramount Pictures,Adventure
The Way,The Way,"Oct 7, 2011",Producers Distrib…,Drama
Buck,Buck,"Jun 17, 2011",IFC Films,Documentary
Tinker Tailor Soldier Spy,Tinker Tailor Soldie,"Dec 9, 2011",Focus Features,Thriller/Suspense
Of Gods and Men,Of Gods and Men,"Feb 25, 2011",Sony Pictures Cla…,Drama
The Social Network,The Social Network,"Oct 1, 2010",Sony Pictures,Drama
Starbuck,Starbuck,"Jul 29, 2011",,Comedy
Like Crazy,Like Crazy,"Oct 28, 2011",Paramount Pictures,Drama
Le sens de l’humour,Le sens de l’humour,"Jul 6, 2011",,Comedy
Don 2,Don 2,"Dec 22, 2011",Reliance Big Pict…,Action
Zindagi Na Milegi Dobara,Zindagi Na Milegi Do,"Jul 15, 2011",Eros Entertainment,Comedy
The Skin I Live In,The Skin I Live In,"Oct 14, 2011",Sony Pictures Cla…,Thriller/Suspense
Another Year,Another Year,"Dec 29, 2010",Sony Pictures Cla…,Drama
From Prada to Nada,From Prada to Nada,"Jan 28, 2011",Lionsgate,Romantic Comedy
Martha Marcy May Marlene,Martha Marcy May Mar,"Oct 21, 2011",Fox Searchlight,Thriller/Suspense
The Way Back,The Way Back,"Dec 29, 2010",Newmarket Films,Adventure
Everything Must Go,Everything Must Go,"May 13, 2011",Roadside Attractions,Drama
Bucky Larson: Born to Be a …,Bucky Larson: Born t,"Sep 9, 2011",Sony Pictures,Comedy
Melancholia,Melancholia,"Nov 11, 2011",Magnolia Pictures,Thriller/Suspense
Ra. One,Ra. One,"Oct 26, 2011",Eros Entertainment,Action
The Grace Card,The Grace Card,"Feb 25, 2011",Samuel Goldwyn Films,Drama
Space Station,Space Station,"Apr 19, 2002",IMAX Films,Documentary
George Balanchine's The Nut…,George Balanchine's ,"Dec 13, 2011",,Concert/Perfor…
The Illusionist,The Illusionist,"Dec 25, 2010",Sony Pictures Cla…,Adventure
Unstoppable,Unstoppable,"Nov 12, 2010",20th Century Fox,Action
The Trip,The Trip,"Jun 10, 2011",IFC Films,Comedy
Shame,Shame,"Dec 2, 2011",Fox Searchlight,Drama
The Mighty Macs,The Mighty Macs,"Oct 21, 2011",Quaker Media,Drama
Gerry,Gerry,"Jun 15, 2011",,Drama
Bodyguard,Bodyguard,"Aug 31, 2011",Reliance Big Pict…,Action
Rabbit Hole,Rabbit Hole,"Dec 17, 2010",Lionsgate,Drama
A Better Life,A Better Life,"Jun 24, 2011",Summit Entertainment,Drama
Burlesque,Burlesque,"Nov 24, 2010",Sony Pictures,Musical
Take Shelter,Take Shelter,"Sep 30, 2011",Sony Pictures Cla…,Drama
Potiche,Potiche,"Mar 25, 2011",Music Box Films,Comedy
Senna,Senna,"Aug 12, 2011",Universal,Documentary
I Am,I Am,"Feb 18, 2011",Paladin,Documentary
A Dangerous Method,A Dangerous Method,"Nov 23, 2011",Sony Pictures Cla…,Drama
Cafe de flore,Cafe de flore,"Sep 2, 2011",Alliance Atlantis,Drama
Monsieur Lazhar,Monsieur Lazhar,"Oct 28, 2011",,Drama
Delhi Belly,Delhi Belly,"Jul 1, 2011",UTV Communications,Comedy
The Double Hour,The Double Hour,"Apr 15, 2011",Samuel Goldwyn Films,Thriller/Suspense
Bill Cunningham New York,Bill Cunningham New ,"Mar 16, 2011",Zeitgeist,Documentary
Breakaway,Breakaway,"Sep 30, 2011",Alliance Atlantis,Comedy
The Art of Getting By,The Art of Getting B,"Jun 17, 2011",Fox Searchlight,Romantic Comedy
Saving Private Perez,Saving Private Perez,"Sep 2, 2011",Lionsgate,Action
Certified Copy,Certified Copy,"Mar 11, 2011",IFC Films,Drama
The Devil's Double,The Devil's Double,"Jul 29, 2011",Lionsgate,Drama
Somewhere,Somewhere,"Dec 22, 2010",Focus Features,Drama
2011 Oscar Shorts,2011 Oscar Shorts,"Feb 11, 2011",Shorts International,Multiple Genres
Snow Flower and the Secret Fan,Snow Flower and the ,"Jul 15, 2011",Fox Searchlight,Drama
"No Eres Tu, Soy Yo","No Eres Tu, Soy Yo","Apr 8, 2011",Lionsgate,Romantic Comedy
Another Earth,Another Earth,"Jul 22, 2011",Fox Searchlight,Drama
Due Date,Due Date,"Nov 5, 2010",Warner Bros.,Comedy
"Beats, Rhymes & Life: The T…","Beats, Rhymes & Life","Jul 8, 2011",Sony Pictures Cla…,Documentary
Kill The Irishman,Kill The Irishman,"Mar 11, 2011",Anchor Bay Entert…,Drama
Dylan Dog: Dead of Night,Dylan Dog: Dead of N,"Apr 29, 2011",Omin/Freestyle,Horror
Sholem Aleichem: Laughing i…,Sholem Aleichem: Lau,"Jul 8, 2011",International Fil…,Documentary
The Whistleblower,The Whistleblower,"Aug 5, 2011",Samuel Goldwyn Films,Drama
The Heart Specialist,The Heart Specialist,"Jan 14, 2011",Freestyle Releasing,Romantic Comedy
Love and Other Drugs,Love and Other Drugs,"Nov 24, 2010",20th Century Fox,Drama
There Be Dragons,There Be Dragons,"May 6, 2011",Samuel Goldwyn Films,Drama
Page One: Inside the New Yo…,Page One: Inside the,"Jun 17, 2011",Magnolia Pictures,Documentary
Desi Boyz,Desi Boyz,"Nov 25, 2011",Eros Entertainment,Comedy
Red State,Red State,"Sep 23, 2011",Smodshow Productions,Horror
Attack the Block,Attack the Block,"Jul 29, 2011",Sony Pictures,Action
In a Better World,In a Better World,"Apr 1, 2011",Sony Pictures Cla…,Drama
Rockstar,Rockstar,"Nov 11, 2011",Eros Entertainment,Drama
Meek's Cutoff,Meek's Cutoff,"Apr 8, 2011",Oscilloscope Pict…,Drama
Yamla Pagla Deewana,Yamla Pagla Deewana,"Jan 14, 2011",Eros Entertainment,Comedy
The Beaver,The Beaver,"May 6, 2011",Summit Entertainment,Comedy
Ready,Ready,"Jun 3, 2011",Eros Entertainment,Comedy
I Love You Phillip Morris,I Love You Phillip M,"Dec 3, 2010",Roadside Attractions,Comedy
Red,Red,"Oct 15, 2010",Summit Entertainment,Action
Inside Job,Inside Job,"Oct 8, 2010",Sony Pictures Cla…,Documentary
Higher Ground,Higher Ground,"Aug 23, 2011",Sony Pictures Cla…,Drama
Sur le rythme,Sur le rythme,"Aug 12, 2011",,
The Lord of the Rings: The …,The Lord of the Ring,"Dec 17, 2003",Warner Bros.,Adventure
Casino Jack,Casino Jack,"Dec 17, 2010",,Thriller/Suspense
13 Assassins,13 Assassins,"Apr 29, 2011",Magnolia Pictures,Action
The Lord of the Rings: The …,The Lord of the Ring,"Dec 5, 2003",Warner Bros.,Adventure
The Lord of the Rings: The …,The Lord of the Ring,"Dec 12, 2003",New Line,Adventure
Le hérisson,Le hérisson,"Mar 12, 2010",NeoClassics Films,Drama
Service Entrance,Service Entrance,"Jun 3, 2011",Strand Releasing,Comedy
Mausam,Mausam,"Sep 23, 2011",Eros Entertainment,Drama
The Polar Express,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure
Point Blank,Point Blank,"Jul 29, 2011",Magnolia Pictures,Thriller/Suspense
Hobo with a Shotgun,Hobo with a Shotgun,"May 6, 2011",Magnolia Pictures,Action
Tabloid!,Tabloid!,"Jul 15, 2011",IFC Films,Documentary
Mozart’s Sister,Mozart’s Sister,"Aug 19, 2011",Music Box Films,Drama
Terri,Terri,"Jul 1, 2011",ATO Pictures,Comedy
Aarakshan,Aarakshan,"Aug 12, 2011",Reliance Big Pict…,Drama
Secretariat,Secretariat,"Oct 8, 2010",Walt Disney,Drama
Patiala House,Patiala House,"Feb 11, 2011",Tachyon,Drama
POM Wonderful Presents: The…,POM Wonderful Presen,"Apr 22, 2011",Sony Pictures Cla…,Documentary
The Last Lions,The Last Lions,"Feb 18, 2011",National Geograph…,Documentary
U2 3D,U2 3D,"Feb 15, 2008",National Geograph…,Concert/Perfor…
Made in Dagenham,Made in Dagenham,"Nov 19, 2010",Sony Pictures Cla…,Drama
Mumbai Diaries,Mumbai Diaries,"Jan 21, 2011",UTV Communications,Drama
The Future,The Future,"Jul 29, 2011",Roadside Attractions,Drama
Dum Maaro Dum,Dum Maaro Dum,"Apr 22, 2011",Fox Searchlight,Drama
Even the Rain,Even the Rain,"Feb 18, 2011",Vitagraph Films,Drama
Metropolis,Metropolis,"Mar 13, 1927",Kino Classics,Action
Double Dhamaal,Double Dhamaal,"Jun 24, 2011",Reliance Big Pict…,Comedy
Winter in Wartime,Winter in Wartime,"Mar 18, 2011",Sony Pictures Cla…,Drama
Love Crime,Love Crime,"Sep 2, 2011",IFC Films,Thriller/Suspense
Machine Gun Preacher,Machine Gun Preacher,"Sep 23, 2011",Relativity,Drama
Deep Sea 3-D,Deep Sea 3-D,"Mar 3, 2006",Warner Bros.,Documentary
The Names of Love,The Names of Love,"Jun 24, 2011",Music Box Films,Comedy
Creature,Creature,"Sep 9, 2011",The Bubble Factory,Horror
Bride Flight,Bride Flight,"Jun 10, 2011",Music Box Films,Drama
My Brother Ki Dulhan,My Brother Ki Dulhan,"Sep 9, 2011",Yash Raj Films,Romantic Comedy
Life as We Know It,Life as We Know It,"Oct 8, 2010",Warner Bros.,Romantic Comedy
Weekend,Weekend,"Sep 23, 2011",IFC Films,Drama
Queen to Play,Queen to Play,"Apr 1, 2011",Zeitgeist,Romantic Comedy
Detective Dee and The Myste…,Detective Dee and Th,"Sep 2, 2011",Indomina Releasing,Thriller/Suspense
Pearl Jam Twenty,Pearl Jam Twenty,"Sep 20, 2011",Arts Alliance Ame…,Documentary
Submarine,Submarine,"Jun 3, 2011",Weinstein Co.,Comedy
Jihne Mera Dil Luteya,Jihne Mera Dil Lutey,"Jul 29, 2011",Viva Entertainment,Romantic Comedy
Thank You,Thank You,"Apr 8, 2011",UTV Communications,Romantic Comedy
Circumstance,Circumstance,"Aug 26, 2011",Roadside Attractions,Drama
No One Killed Jessica,No One Killed Jessic,"Jan 7, 2011",UTV Communications,Drama
Frisson des Collines,Frisson des Collines,"Apr 15, 2011",,Drama
The Salvation Poem,The Salvation Poem,"Oct 15, 2010",CanZion Films,
Fair*Game,Fair*Game,"Nov 5, 2010",Summit Entertainment,Drama
Project Nim,Project Nim,"Jul 8, 2011",Roadside Attractions,Documentary
The 5th Quarter,The 5th Quarter,"Mar 25, 2011",Rocky Mountain Pi…,Drama
Turtle: The Incredible Journey,Turtle: The Incredib,"Jun 24, 2011",Hannover House,Documentary
Faster,Faster,"Nov 24, 2010",CBS Films,Action
Hesher,Hesher,"May 13, 2011",Wrekin Hill Enter…,Drama
Miral,Miral,"Mar 25, 2011",Weinstein Co.,Drama
MOOZ-lum,MOOZ-lum,"Feb 11, 2011",Peace Film LLC,Drama
Le Havre,Le Havre,"Oct 21, 2011",Janus Films,Drama
Poetry,Poetry,"Feb 11, 2011",Kino International,Drama
The Princess of Montpensier,The Princess of Mont,"Apr 15, 2011",IFC Films,Drama
Extremely Loud and Incredib…,Extremely Loud and I,"Dec 25, 2011",Warner Bros.,Drama
Singham,Singham,"Jul 22, 2011",Reliance Big Pict…,Drama
Carnage,Carnage,"Dec 16, 2011",Sony Pictures Cla…,Black Comedy
Arthur et la vengeance de M…,Arthur et la vengean,"Feb 25, 2011",,Adventure
The First Grader,The First Grader,"May 13, 2011",National Geograph…,Drama
Super,Super,"Apr 1, 2011",IFC Films,Black Comedy
Bbuddah: Hoga Tera Baap,Bbuddah: Hoga Tera B,"Jul 1, 2011",,Action
Dharti,Dharti,"Apr 22, 2011",Viva Entertainment,Drama
L'Amour Fou,L'Amour Fou,"May 13, 2011",IFC Films,Documentary
Galapagos,Galapagos,"Oct 29, 1999",IMAX Films,Documentary
Despicable Me,Despicable Me,"Jul 9, 2010",Universal,Adventure
Winter's Bone,Winter's Bone,"Jun 11, 2010",Roadside Attractions,Drama
Saat Khoon Maaf,Saat Khoon Maaf,"Feb 18, 2011",UTV Communications,Black Comedy
The Black Power Mixtape: 19…,The Black Power Mixt,"Sep 9, 2011",IFC Films,Documentary
The Concert,The Concert,"Jul 30, 2010",Weinstein Co.,Drama
Conan O'Brien Can't Stop,Conan O'Brien Can't ,"Jun 24, 2011",Abramorama Films,Documentary
Munger Road,Munger Road,"Sep 30, 2011",Freestyle Releasing,Thriller/Suspense
The Mill and the Cross,The Mill and the Cro,"Sep 14, 2011",Kino Lorber,Drama
Phil Ochs: There but for Fo…,Phil Ochs: There but,"Jan 5, 2011",First Run Features,Documentary
Sea Monsters: A Prehistoric…,Sea Monsters: A Preh,"Oct 5, 2007",National Geograph…,Documentary
Rascals,Rascals,"Oct 7, 2011",Eros Entertainment,Action
The Music Never Stopped,The Music Never Stop,"Mar 18, 2011",Roadside Attractions,Drama
All Good Things,All Good Things,"Dec 3, 2010",Magnolia Pictures,Drama
PASSIONE: A Musical Adventure,PASSIONE: A Musical ,"Jun 22, 2011",Abramorama Films,Documentary
Troll Hunter,Troll Hunter,"Jun 10, 2011",Magnet Pictures,Horror
Life in a Day,Life in a Day,"Jul 24, 2011",National Geograph…,Documentary
Morning Glory,Morning Glory,"Nov 10, 2010",Paramount Pictures,Comedy
My Perestroika,My Perestroika,"Mar 23, 2011",International Fil…,Documentary
Tanu Weds Manu,Tanu Weds Manu,"Feb 25, 2011",Viva Entertainment,Comedy
The Interrrupers,The Interrrupers,"Jul 29, 2011",Cinema Guild,Documentary
Being Elmo: A Puppeteer's J…,Being Elmo: A Puppet,"Oct 21, 2011",Submarine Deluxe,Documentary
Gainsbourg: A Heroic Life,Gainsbourg: A Heroic,"Aug 31, 2011",Music Box Films,Drama
Brighton Rock,Brighton Rock,"Aug 26, 2011",IFC Films,Drama
Tucker & Dale vs. Evil,Tucker & Dale vs. Ev,"Sep 30, 2011",Magnet Pictures,Black Comedy
Into the Abyss,Into the Abyss,"Nov 11, 2011",IFC Films,Documentary
