Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
99,From Paris With Love,"$53,139,168","$24,077,427","$29,061,741",45.31%,From Paris With Love,https://www.the-numbers.com/movie/From-Paris-With-Love#tab=summary
100,Le Petit Nicolas,"$52,339,566","$201,857","$52,137,709",0.39%,Le Petit Nicolas,https://www.the-numbers.com/movie/Petit-Nicolas-Le-(2009-France)#tab=summary
101,Daybreakers,"$51,445,503","$30,101,577","$21,343,926",58.51%,Daybreakers,https://www.the-numbers.com/movie/Daybreakers#tab=summary
102,The Switch,"$49,858,465","$27,758,465","$22,100,000",55.67%,The Switch,https://www.the-numbers.com/movie/Switch-The-(2010)#tab=summary
103,How Do You Know?,"$49,628,177","$30,212,620","$19,415,557",60.88%,How Do You Know?,https://www.the-numbers.com/movie/How-Do-You-Know-(2010)#tab=summary
104,Scott Pilgrim vs. The World,"$49,371,156","$33,085,015","$16,286,141",67.01%,Scott Pilgrim vs. Th,https://www.the-numbers.com/movie/Scott-Pilgrim-vs-The-World#tab=summary
105,Death at a Funeral,"$48,977,233","$42,739,347","$6,237,886",87.26%,Death at a Funeral,https://www.the-numbers.com/movie/Death-at-a-Funeral-(2010)#tab=summary
106,Alpha and Omega,"$48,958,353","$25,107,267","$23,851,086",51.28%,Alpha and Omega,https://www.the-numbers.com/movie/Alpha-and-Omega-(2010)#tab=summary
107,She\'s Out of My League,"$48,680,977","$32,010,860","$16,670,117",65.76%,She\'s Out of My Lea,https://www.the-numbers.com/movie/Shes-Out-of-My-League-(2010)#tab=summary
108,Frozen,"$48,533,065","$246,177","$48,286,888",0.51%,Frozen,https://www.the-numbers.com/movie/Frozen-(2009)#tab=summary
109,Charlie St. Cloud,"$48,478,084","$31,206,263","$17,271,821",64.37%,Charlie St. Cloud,https://www.the-numbers.com/movie/Charlie-St-Cloud#tab=summary
110,Hachiko: A Dog’s Story,"$47,707,417",,"$47,707,417",,Hachiko: A Dog’s Sto,https://www.the-numbers.com/movie/Hachiko-A-Dogs-Story-(2009)#tab=summary
111,Dabangg,"$47,017,018","$1,288,549","$45,728,469",2.74%,Dabangg,https://www.the-numbers.com/movie/Dabangg-(2010-India)#tab=summary
112,The Spy Next Door,"$46,752,858","$24,307,106","$22,445,752",51.99%,The Spy Next Door,https://www.the-numbers.com/movie/Spy-Next-Door-The#tab=summary
113,Machete,"$46,370,970","$26,593,646","$19,777,324",57.35%,Machete,https://www.the-numbers.com/movie/Machete-(2010)#tab=summary
114,Shi Yue Wei Cheng,"$44,195,779",,"$44,195,779",,Shi Yue Wei Cheng,https://www.the-numbers.com/movie/Shi-Yue-Wei-Cheng-(2009-Hong-Kong)#tab=summary
115,When in Rome,"$43,796,937","$32,680,633","$11,116,304",74.62%,When in Rome,https://www.the-numbers.com/movie/When-in-Rome-(2010)#tab=summary
116,Going the Distance,"$43,603,990","$17,804,299","$25,799,691",40.83%,Going the Distance,https://www.the-numbers.com/movie/Going-the-Distance-(2010)#tab=summary
117,My Name is Khan,"$42,355,526","$4,046,336","$38,309,190",9.55%,My Name is Khan,https://www.the-numbers.com/movie/My-Name-is-Khan#tab=summary
118,Joheunnom nabbeunnom isanghannom,"$42,226,657","$128,486","$42,098,171",0.30%,Joheunnom nabbeunnom,https://www.the-numbers.com/movie/Joheunnom-nabbeunnom-isanghannom-(2008-South-Korea)#tab=summary
119,Luftslottet som sprängdes,"$41,179,660","$5,427,684","$35,751,976",13.18%,Luftslottet som sprä,https://www.the-numbers.com/movie/Luftslottet-som-sprangdes#tab=summary
120,Di Renjie,"$40,768,902","$474,754","$40,294,148",1.16%,Di Renjie,https://www.the-numbers.com/movie/Di-Renjie#tab=summary
121,Ajeossi,"$40,650,572",,"$40,650,572",,Ajeossi,https://www.the-numbers.com/movie/Ajeossi-(2010-South-Korea)#tab=summary
122,El secreto de sus ojos,"$40,527,719","$6,391,436","$34,136,283",15.77%,El secreto de sus oj,https://www.the-numbers.com/movie/secreto-de-sus-ojos-El-(2009)#tab=summary
123,Furry Vengeance,"$39,340,177","$17,630,465","$21,709,712",44.82%,Furry Vengeance,https://www.the-numbers.com/movie/Furry-Vengeance#tab=summary
124,Brooklyn’s Finest,"$39,233,233","$27,163,593","$12,069,640",69.24%,Brooklyn’s Finest,https://www.the-numbers.com/movie/Brooklyns-Finest#tab=summary
125,Agora,"$38,992,292","$619,423","$38,372,869",1.59%,Agora,https://www.the-numbers.com/movie/Agora-(2009-Spain)#tab=summary
126,The Warlords (投名狀),"$38,899,792","$129,078","$38,770,714",0.33%,The Warlords (投名狀),https://www.the-numbers.com/movie/Warlords-The-(2010-China)#tab=summary
127,You Will Meet a Tall Dark Stranger,"$38,535,748","$3,247,816","$35,287,932",8.43%,You Will Meet a Tall,https://www.the-numbers.com/movie/You-Will-Meet-a-Tall-Dark-Stranger#tab=summary
128,For Colored Girls,"$38,017,873","$37,729,698","$288,175",99.24%,For Colored Girls,https://www.the-numbers.com/movie/For-Colored-Girls-Who-Have-Considered-Suicide-When-the-Rainbow-is-Enuf#tab=summary
129,Bayside Shakedown 3: Set the Guys Loose,"$38,000,000",,"$38,000,000",,Bayside Shakedown 3:,https://www.the-numbers.com/movie/Bayside-Shakedown-3-Set-the-Guys-Loose-(Japan)-(2010)#tab=summary
130,The Kids Are All Right,"$36,275,469","$20,811,365","$15,464,104",57.37%,The Kids Are All Rig,https://www.the-numbers.com/movie/Kids-Are-All-Right-The#tab=summary
131,Faster,"$35,792,945","$23,240,020","$12,552,925",64.93%,Faster,https://www.the-numbers.com/movie/Faster-(2009)#tab=summary
132,Camping 2,"$34,959,667",,"$34,959,667",,Camping 2,https://www.the-numbers.com/movie/Camping-2-(2010-France)#tab=summary
133,L\'arnacouer,"$34,936,771","$504,030","$34,432,741",1.44%,L\'arnacouer,https://www.the-numbers.com/movie/Arnacoeur-L-(2010-France)#tab=summary
134,You Again,"$32,838,945","$25,702,053","$7,136,892",78.27%,You Again,https://www.the-numbers.com/movie/You-Again#tab=summary
135,Leap Year,"$32,618,920","$25,918,920","$6,700,000",79.46%,Leap Year,https://www.the-numbers.com/movie/Leap-Year#tab=summary
136,Golmaal 3,"$32,056,809","$1,132,192","$30,924,617",3.53%,Golmaal 3,https://www.the-numbers.com/movie/Golmaal-3-(2010-India)#tab=summary
137,Robot,"$31,267,492","$2,276,427","$28,991,065",7.28%,Robot,https://www.the-numbers.com/movie/Robot-(2010-India)#tab=summary
138,The Losers,"$29,863,840","$23,591,432","$6,272,408",79.00%,The Losers,https://www.the-numbers.com/movie/Losers-The#tab=summary
139,Case 39,"$28,773,827","$13,261,851","$15,511,976",46.09%,Case 39,https://www.the-numbers.com/movie/Case-39#tab=summary
140,Splice,"$28,542,494","$17,010,170","$11,532,324",59.60%,Splice,https://www.the-numbers.com/movie/Splice#tab=summary
141,Let Me In,"$28,270,399","$12,134,935","$16,135,464",42.92%,Let Me In,https://www.the-numbers.com/movie/Let-Me-In#tab=summary
142,Raajneeti,"$27,702,802","$1,514,557","$26,188,245",5.47%,Raajneeti,https://www.the-numbers.com/movie/Raajneeti#tab=summary
143,Ramona and Beezus,"$27,469,621","$26,167,002","$1,302,619",95.26%,Ramona and Beezus,https://www.the-numbers.com/movie/Ramona-and-Beezus#tab=summary
144,Mao's Last Dancer,"$25,941,437","$4,806,750","$21,134,687",18.53%,Mao's Last Dancer,https://www.the-numbers.com/movie/Maos-Last-Dancer#tab=summary
145,Tees Maar Khan,"$24,785,571","$1,076,266","$23,709,305",4.34%,Tees Maar Khan,https://www.the-numbers.com/movie/Tees-Maar-Khan-(2010-India)#tab=summary
146,Lottery Ticket,"$24,719,879","$24,719,879",,100.00%,Lottery Ticket,https://www.the-numbers.com/movie/Lottery-Ticket#tab=summary
147,Soul Kitchen,"$23,347,461","$276,901","$23,070,560",1.19%,Soul Kitchen,https://www.the-numbers.com/movie/Soul-Kitchen#tab=summary
148,"I Love You, Phillip Morris","$23,014,027","$2,037,459","$20,976,568",8.85%,"I Love You, Phillip ",https://www.the-numbers.com/movie/I-Love-You-Phillip-Morris#tab=summary
149,Three Kingdoms: Resurrection of the Dragon,"$22,139,590",,"$22,139,590",,Three Kingdoms: Resu,https://www.the-numbers.com/movie/Three-Kingdoms-Resurrection-of-the-Dragon#tab=summary
150,"Io, Loro e Lara","$21,903,000",,"$21,903,000",,"Io, Loro e Lara",https://www.the-numbers.com/movie/Io-Loro-e-Lara#tab=summary
151,Just Wright,"$21,867,665","$21,540,363","$327,302",98.50%,Just Wright,https://www.the-numbers.com/movie/Just-Wright#tab=summary
152,Fair*Game,"$21,792,905","$9,540,691","$12,252,214",43.78%,Fair*Game,https://www.the-numbers.com/movie/Fair-Game-(2010)#tab=summary
153,Our Family Wedding,"$21,410,546","$20,255,281","$1,155,265",94.60%,Our Family Wedding,https://www.the-numbers.com/movie/Our-Family-Wedding#tab=summary
154,Buried,"$21,270,290","$1,044,143","$20,226,147",4.91%,Buried,https://www.the-numbers.com/movie/Buried#tab=summary
155,Country Strong,"$20,601,987","$20,218,921","$383,066",98.14%,Country Strong,https://www.the-numbers.com/movie/Country-Strong#tab=summary
156,The Nutcracker in 3D,"$20,466,016","$195,459","$20,270,557",0.96%,The Nutcracker in 3D,https://www.the-numbers.com/movie/Nutcracker-in-3D-The#tab=summary
157,Another Year,"$20,005,613","$3,205,706","$16,799,907",16.02%,Another Year,https://www.the-numbers.com/movie/Another-Year#tab=summary
158,Un Prophète,"$19,910,624","$2,087,720","$17,822,904",10.49%,Un Prophète,https://www.the-numbers.com/movie/Prophete-Un#tab=summary
159,Youth in Revolt,"$19,685,588","$15,285,588","$4,400,000",77.65%,Youth in Revolt,https://www.the-numbers.com/movie/Youth-in-Revolt#tab=summary
160,71: Into the Fire,"$19,321,681","$159,335","$19,162,346",0.82%,71: Into the Fire,https://www.the-numbers.com/movie/71-Into-the-Fire#tab=summary
161,Micmacs,"$18,821,576","$1,259,693","$17,561,883",6.69%,Micmacs,https://www.the-numbers.com/movie/Micmacs#tab=summary
162,Housefull,"$18,726,300","$1,183,658","$17,542,642",6.32%,Housefull,https://www.the-numbers.com/movie/Housefull#tab=summary
163,[Rec] 2,"$18,527,766","$27,766","$18,500,000",0.15%,[Rec] 2,https://www.the-numbers.com/movie/Rec-2#tab=summary
164,Repo Men,"$18,195,238","$13,942,007","$4,253,231",76.62%,Repo Men,https://www.the-numbers.com/movie/Repo-Men#tab=summary
165,The Oxford Murders,"$17,704,131","$4,803","$17,699,328",0.03%,The Oxford Murders,https://www.the-numbers.com/movie/Oxford-Murders-The#tab=summary
166,Boodanggeorae,"$17,218,998",,"$17,218,998",,Boodanggeorae,https://www.the-numbers.com/movie/Boodanggeorae-(S-Korea)#tab=summary
167,Kites,"$17,155,193","$1,685,269","$15,469,924",9.82%,Kites,https://www.the-numbers.com/movie/Kites#tab=summary
168,Somewhere,"$17,023,121","$1,785,645","$15,237,476",10.49%,Somewhere,https://www.the-numbers.com/movie/Somewhere-(2010)#tab=summary
169,Le hérisson,"$16,835,188","$828,801","$16,006,387",4.92%,Le hérisson,https://www.the-numbers.com/movie/Herisson-Le#tab=summary
170,My Soul to Take,"$16,727,470","$14,744,435","$1,983,035",88.15%,My Soul to Take,https://www.the-numbers.com/movie/My-Soul-to-Take#tab=summary
171,Blue Valentine,"$16,566,240","$9,737,892","$6,828,348",58.78%,Blue Valentine,https://www.the-numbers.com/movie/Blue-Valentine#tab=summary
172,Sea Rex 3D: Journey to a Prehistoric World,"$16,515,203","$6,096,582","$10,418,621",36.91%,Sea Rex 3D: Journey ,https://www.the-numbers.com/movie/Sea-Rex-3D#tab=summary
173,Winter’s Bone,"$16,131,551","$6,531,503","$9,600,048",40.49%,Winter’s Bone,https://www.the-numbers.com/movie/Winters-Bone-(2010)#tab=summary
174,Incendies,"$16,017,448","$6,857,096","$9,160,352",42.81%,Incendies,https://www.the-numbers.com/movie/Incendies#tab=summary
175,Extraordinary Measures,"$15,826,984","$12,482,741","$3,344,243",78.87%,Extraordinary Measur,https://www.the-numbers.com/movie/Extraordinary-Measures#tab=summary
176,Once Upon a Time in Mumbai,"$15,753,012","$302,862","$15,450,150",1.92%,Once Upon a Time in ,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-Mumbai#tab=summary
177,Anjaana Anjaani,"$15,738,212","$854,757","$14,883,455",5.43%,Anjaana Anjaani,https://www.the-numbers.com/movie/Anjaana-Anjaani#tab=summary
178,The Last Station,"$15,696,146","$6,617,867","$9,078,279",42.16%,The Last Station,https://www.the-numbers.com/movie/Last-Station-The#tab=summary
179,Made in Dagenham,"$15,644,196","$1,095,369","$14,548,827",7.00%,Made in Dagenham,https://www.the-numbers.com/movie/Made-in-Dagenham#tab=summary
180,Raavan,"$15,284,375","$708,726","$14,575,649",4.64%,Raavan,https://www.the-numbers.com/movie/Raavan#tab=summary
181,Io sono l’amore,"$15,121,528","$5,005,465","$10,116,063",33.10%,Io sono l’amore,https://www.the-numbers.com/movie/Io-sono-l-amore#tab=summary
