link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget
https://www.the-numbers.com/movie/Der-Nanny-(Germany)-(2015)#tab=summary,110 minutes,,,,,Germany,,"March 27, 2015",,,
https://www.the-numbers.com/movie/Traumfrauen-(Germany)-(2015)#tab=summary,109 minutes,,Comedy,,,Germany,German,"February 20, 2015",,,
https://www.the-numbers.com/movie/Strange-Magic#tab=summary,99 minutes,,Musical,Digital Animation,Kids Fiction,United States,English,"January 23, 2015",PG,Lucasfilm,
https://www.the-numbers.com/movie/Toshokan-Sensoi-The-Last-Mission-(Japan)-(2015)#tab=summary,,,,,,Japan,,"October 09, 2015",,,
https://www.the-numbers.com/movie/Bakuman#tab=summary,,,Comedy,Live Action,Contemporary Fiction,Japan,Japanese,"October 02, 2015",,,
https://www.the-numbers.com/movie/Oneului-yeonae-(South-Korea)-(2015)#tab=summary,118 minutes,,,,,Republic of Korea,,"January 16, 2015",,,
https://www.the-numbers.com/movie/Listy-do-M-2-(Poland)#tab=summary,103 minutes,Letters to Santa,Comedy,Live Action,Contemporary Fiction,Poland,Polish,"November 13, 2015",,,
https://www.the-numbers.com/movie/Trumbo-(2015)#tab=summary,124 minutes,,Drama,Live Action,Dramatization,United States,English,"November 06, 2015","Rfor language including some sexual references.(Rating bulletin 2369, 4/15/2015)","Bleecker Street,Shivhans Pictures,Groundswell Productions","$15,000,000"
https://www.the-numbers.com/movie/Unfinished-Business#tab=summary,91 minutes,,Comedy,Live Action,Contemporary Fiction,United States,English,"March 05, 2015","Rfor some strong risqué sexual content/graphic nudity, and for language and drug use.(Rating bulletin 2355, 1/7/2015)","Escape Artists,New Regency,Regency Enterprises","$35,000,000"
https://www.the-numbers.com/movie/Macbeth-(2015)#tab=summary,110 minutes,,Drama,Live Action,Historical Fiction,"United Kingdom,United States,France",English,"September 25, 2015","Rfor strong violence and brief sexuality.(Rating bulletin 2402 (Cert #49603), 12/2/2015)","See-Saw Films,StudioCanal,Film4,DMC Film,Anton Capital Entertainment,Creative Scotland",
https://www.the-numbers.com/movie/Green-Inferno-The#tab=summary,103 minutes,,Horror,Live Action,Contemporary Fiction,United States,English,"September 24, 2015","Rfor aberrant violence and torture, grisly disturbing images, brief graphic nudity, sexual content, language and some drug use.(Rating bulletin 2287, 8/28/2013)","Dragonfly Entertainment,Sobras International Pictures,Worldview Entertainment,Blumhouse","$1,000,000"
https://www.the-numbers.com/movie/Three-Heroes-Horseback-(Russia)#tab=summary,75 minutes,,Adventure,Digital Animation,Kids Fiction,Russian Federation,Russian,"January 02, 2015",,,
