link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget,Franchise
https://www.the-numbers.com/movie/Gekijoban-Okusama-wa-toriatsukai-chui-(2021-Japan)#tab=summary,119 minutes,Adventure,Live Action,Contemporary Fiction,Japan,Japanese,"March 19, 2021",,,,
https://www.the-numbers.com/movie/Wu-Ge-Pu-Shui-De-Shao-Nian-(2021-China)#tab=summary,90 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"September 24, 2021",,,,
https://www.the-numbers.com/movie/Di-yi-lu-Xiang-(2020-China)#tab=summary,141 minutes,Drama,Live Action,Historical Fiction,China,Mandarin,"October 22, 2021",,Blue Bird Film,,
https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary,190 minutes,Action,Animation/Live Action,Science Fiction,United States,English,"December 09, 2022","PG-13for sequences of strong violence and intense action, partial nudity and some strong language.(Rating bulletin 2759 (cert #54081), 11/23/2022)","Lightstorm Entertainment,20th Century Studios,TSG Entertainment","$400,000,000",Avatar
https://www.the-numbers.com/movie/Top-Gun-Maverick-(2022)#tab=summary,131 minutes,Action,Live Action,Contemporary Fiction,United States,English,"May 20, 2022","PG-13for sequences of intense action, and some strong language.(Rating bulletin 2691 (cert #52319), 7/28/2021)","Jerry Bruckheimer Films,Skydance Productions,Paramount Pictures","$177,000,000",Top Gun
https://www.the-numbers.com/movie/Jurassic-World-Dominion-(2022)#tab=summary,146 minutes,Action,Animation/Live Action,Science Fiction,United States,English,"June 01, 2022","PG-13for intense sequences of action, some violence and language.(Rating bulletin 2709 (cert #53509), 12/1/2021)","Amblin Entertainment,The Kennedy/Marshall Company,Perfect World Pictures","$185,000,000",Jurassic Park
https://www.the-numbers.com/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary,126 minutes,Action,Animation/Live Action,Super Hero,United States,English,"May 04, 2022","PG-13for intense sequences of violence and action, frightening images and some language.(Rating bulletin 2727 (cert #53720), 4/13/2022)",Marvel Studios,"$200,000,000",Marvel Cinematic UniverseDoctor Strange
https://www.the-numbers.com/movie/Minions-The-Rise-of-Gru-(2021)#tab=summary,88 minutes,Adventure,Digital Animation,Kids Fiction,United States,English,"June 16, 2022","PGfor some action/violence and rude humor.(Rating bulletin 2636 (Cert #52775), 7/1/2020)","Universal Pictures,Illumination Entertainment","$100,000,000",Despicable MeMinions
https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=summary,161 minutes,Action,Animation/Live Action,Super Hero,United States,English,"November 09, 2022","PG-13for sequences of strong violence, action and some language.(Rating bulletin 2755 (cert #54071), 10/26/2022)",Marvel Studios,"$250,000,000",Marvel Cinematic UniverseBlack Panther
https://www.the-numbers.com/movie/Batman-The-(2021)#tab=summary,175 minutes,Action,Live Action,Super Hero,United States,English,"March 01, 2022","PG-13for strong violent and disturbing content, drug content, strong language, and some suggestive material.(Rating bulletin 2714 (cert #53494), 1/12/2022)","6th and Idaho,Dylan Clark Productions,Warner Bros.,DC Films","$200,000,000",Batman
