link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget,Franchise
https://www.the-numbers.com/movie/Mu-Yu-Zhi-Wang-(2020-China)#tab=summary,,103 minutes,Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"December 08, 2020",,
https://www.the-numbers.com/movie/Tolo-Tolo-(2019-Italy)#tab=summary,,90 minutes,Comedy,Live Action,Contemporary Fiction,,Italy,Italian,"January 01, 2020",,
https://www.the-numbers.com/movie/Ru-Guo-Sheng-Yin-Bu-Ji-De-(2020-China)#tab=summary,,102 minutes,Drama,Live Action,Fantasy,,China,Mandarin,"December 04, 2020",,
https://www.the-numbers.com/movie/Fantasy-Island-(2020)#tab=summary,"PG-13for violence, terror, drug content, suggestive material and brief strong language.(Rating bulletin 2611 (Cert #52515), 1/8/2020)",110 minutes,Horror,Live Action,Contemporary Fiction,"Blumhouse,Columbia Pictures,Tower of Babble",United States,English,"February 12, 2020","$7,000,000",
https://www.the-numbers.com/movie/Trolls-World-Tour-(2020)#tab=summary,"PGfor some mild rude humor.(Rating bulletin 2601 (Cert #52449), 10/23/2019)",94 minutes,Musical,Digital Animation,Kids Fiction,DreamWorks Animation,United States,English,"March 12, 2020","$90,000,000",Trolls
https://www.the-numbers.com/movie/Im-From-Today-(2020-Japan)#tab=summary,,114 minutes,Action,Live Action,Contemporary Fiction,,Japan,Japanese,"July 17, 2020",,
https://www.the-numbers.com/movie/Monster-Hunter-(2020)#tab=summary,"PG-13for sequences of creature action and violence throughout(Rating bulletin 2615 (Cert #52041), 2/5/2020)",103 minutes,Action,Live Action,Science Fiction,"Impact Pictures,Screen Gems,Constantin Film,Tencent Pictures,Toho Co,AB2 Digital Pictures","United States,Germany",English,"February 18, 2020","$60,000,000",
https://www.the-numbers.com/movie/New-Mutants-The-(2020)#tab=summary,"PG-13for violent content, some disturbing/bloody images, some strong language, thematic elements and suggestive material.(Rating bulletin 2619 (Cert #51297), 3/4/2020)",98 minutes,Horror,Live Action,Super Hero,"Marvel Studios,Kinberg Genre,Donners’ Company,TSG Entertainment,20th Century Fox,Genre Films,Sunswept Entertainment",United States,English,"August 26, 2020","$67,000,000",X-Men
https://www.the-numbers.com/movie/War-with-Grandpa-The-(2020)#tab=summary,"PGfor rude humor, language, and some thematic elements.(Rating bulletin 2511 (Cert #51349), 1/24/2018)",94 minutes,Comedy,Live Action,Kids Fiction,,United States,English,"August 28, 2020","$38,000,000",
https://www.the-numbers.com/movie/Ji-Xian-Feng-(China)#tab=summary,"PG-13for sequences of strong violence including prolonged gun battles, and some language.(Rating bulletin 2657 (cert #52992), 11/25/2020)",107 minutes,Action,Live Action,Contemporary Fiction,"China Film Company,China Film International Media Co., LTD,Tencent Pictures,Culture Media,Shanghai Lix Entertainment,Epitome Capital,Shenzhen Media Film and Television,Peoples Daily Digital Communication,Zhujiang Film Group,Beijing Startime Cinema Investment,Omnijoi,Cultural Investment Holdings,China Film Investment Fund,Horgos Lix Entertainment,Shenzhen Bigwill Culture Communication,Horgos Skyworth,Wuxi Jingli Cinema Management,Shanghai Insane Media,Jujiang Province",China,"Mandarin,English","January 25, 2020",,
https://www.the-numbers.com/movie/After-We-Collided-(2020)#tab=summary,"Rfor sexual content, language throughout and some drug material.(Rating bulletin 2649 (cert#52869), 9/30/2020)",105 minutes,Drama,Live Action,Contemporary Fiction,Voltage Pictures,United States,English,"September 02, 2020",,After
https://www.the-numbers.com/movie/Eiga-Doraemon-Nobita-no-shin-kyoryu-(2020-Japan)#tab=summary,,110 minutes,Adventure,Digital Animation,Kids Fiction,,Japan,Japanese,"August 07, 2020",,
https://www.the-numbers.com/movie/Greenland-(2020)#tab=summary,"PG-13for intense sequences of disaster action, some violence, bloody images and brief strong language.(Rating bulletin 2634 (Cert #52583), 6/17/2020)",119 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Riverstone Pictures,Anton Capital Investors,Thunder Road Film,G-Base",United States,English,"July 31, 2020","$34,000,000",
https://www.the-numbers.com/movie/Unhinged-(2020)#tab=summary,"Rfor strong violent content, and language throughout.(Rating bulletin 2630 (Cert #52727), 5/20/2020)",93 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Solstice Pictures,Ingenious Media",United States,English,"July 16, 2020","$33,000,000",
https://www.the-numbers.com/movie/Father-The-(UK)#tab=summary,"PG-13for some strong language, and thematic material.(Rating bulletin 2627 (Cert #52705), 4/29/2020)",97 minutes,Drama,Live Action,Contemporary Fiction,"Film 4,Embankment Films,Trademark Films,F Commie Film,Sony Pictures Classics,Les Films Du Cru,Orange Studio,Canal Plus,Cine Plus,Cine-@","United Kingdom,France",English,"December 25, 2020","$6,000,000",
https://www.the-numbers.com/movie/Peninsula-(2020-South-Korea)#tab=summary,,116 minutes,Horror,Live Action,Science Fiction,"Next Entertainment,Redpeter Film",Republic of Korea,Korean,"July 15, 2020","$16,000,000",Train to Busan
https://www.the-numbers.com/movie/Namsaneui-Bujangdeul-(2020-South-Korea)#tab=summary,Not Rated,114 minutes,Thriller/Suspense,Live Action,Dramatization,"Hive Media,Gemstone Pictures",Republic of Korea,Korean,"January 22, 2020",,
https://www.the-numbers.com/movie/Daman-Akeseo-Guhasoseo-(2020-South-Korea)#tab=summary,,108 minutes,Drama,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"August 05, 2020",,
https://www.the-numbers.com/movie/Fengsheng-(2009-China)#tab=summary,,118 minutes,Thriller/Suspense,Live Action,Historical Fiction,,China,Mandarin,"August 07, 2020",,
https://www.the-numbers.com/movie/Honest-Thief-(2020)#tab=summary,"PG-13for strong violence, crude references and brief strong language.(Rating bulletin 2638 (Cert #52798), 7/15/2020)",92 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Raven Capital Management,Sculpter Media,Rainmaker Entertainment,Samuel Marshall Productions,The Solution Entertainment Group",United States,English,"October 08, 2020","$30,000,000",
https://www.the-numbers.com/movie/Witches-The-(2020)#tab=summary,"PGfor scary images/moments, language and thematic elements.(Rating bulletin 2640 (Cert #52823), 7/29/2020)",105 minutes,Adventure,Live Action,Fantasy,"ImageMovers,Esperanto Filmoj,DDY,HBO Max",United States,English,"October 28, 2020","$100,000,000",
https://www.the-numbers.com/movie/Scoob#tab=summary,"PGfor some action, language and rude/suggestive humor.(Rating bulletin 2622 (Cert #52581), 3/25/2020)",93 minutes,Adventure,Digital Animation,Kids Fiction,"Atlas Entertainment,Warner Bros.,Warner Animation Group",United States,English,"May 15, 2020","$90,000,000",Scooby-Doo
https://www.the-numbers.com/movie/Soul-Snatcher-(2020-China)#tab=summary,,125 minutes,Action,Live Action,Fantasy,,"China,Hong Kong",Mandarin,"December 04, 2020",,
https://www.the-numbers.com/movie/Emma-(UK)#tab=summary,"PGfor brief partial nudity.(Rating bulletin 2612 (Cert #52209), 1/15/2020)",119 minutes,Drama,Live Action,Historical Fiction,"Working Title Films,Blueprint Films,Focus Features,Perfect World Pictures","United Kingdom,United States",English,"February 13, 2020","$10,000,000",
https://www.the-numbers.com/movie/Like-a-Boss#tab=summary,"Rfor language, crude sexual material, and drug use.(Rating bulletin 2607 (Cert #52173), 12/4/2019)",83 minutes,Comedy,Live Action,Contemporary Fiction,"Artists First,Paramount Pictures",United States,English,"January 10, 2020","$29,000,000",
https://www.the-numbers.com/movie/Lyod-2-(Russia)#tab=summary,,131 minutes,Drama,Live Action,Contemporary Fiction,,Russian Federation,Russian,"February 13, 2020",,Lyod
https://www.the-numbers.com/movie/Gretel-and-Hansel-(2020)#tab=summary,"PG-13for disturbing images/thematic content, and brief drug material.(Rating bulletin 2602 (Cert #52460), 10/30/2019)",87 minutes,Horror,Live Action,Historical Fiction,"Orion Pictures,Automatik,Bron Creative",United States,English,"January 30, 2020","$5,000,000",
https://www.the-numbers.com/movie/Digimon-Adventure-Last-Evolution-Kizuna-(Japan)#tab=summary,,65 minutes,Adventure,Digital Animation,Kids Fiction,,Japan,Japanese,"February 21, 2020",,Digimon
https://www.the-numbers.com/movie/New-Interpretations-Records-of-the-Three-Kingdoms-(2020-Japan)#tab=summary,,,Comedy,Live Action,,,Japan,Japanese,"December 11, 2020",,
https://www.the-numbers.com/movie/Druk-(Denmark)#tab=summary,,110 minutes,Drama,Live Action,Contemporary Fiction,"TrustNordisk,Zentropa Entertainments3,Film i Vast,Zentropa Sweden,Topkapi Films,Zentropa Netherlands","Denmark,Netherlands,Sweden",Danish,"October 09, 2020","$5,700,000",
https://www.the-numbers.com/movie/Jiko-Bukken-Kowai-Madori-(2020-Japan)#tab=summary,,,,Live Action,Dramatization,,Japan,Japanese,"August 28, 2020",,
