link,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production Budget,Production/Financing Companies
https://www.the-numbers.com/movie/Interstellar-(2014)#tab=summary,165 minutes,Adventure,Live Action,United States,English,"November 05, 2014","$165,000,000","Syncopy,Lynda Obst Productions"
https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary,102 minutes,Adventure,Digital Animation,United States,English,"June 05, 2014","$145,000,000",DreamWorks Animation
https://www.the-numbers.com/movie/American-Sniper#tab=summary,132 minutes,Drama,Live Action,United States,English,"December 25, 2014","$58,000,000","Mad Chance,22nd & Indiana,Malpaso Productions"
https://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary,123 minutes,Action,Live Action,United States,English,"May 14, 2014","$160,000,000",Legendary Pictures
https://www.the-numbers.com/movie/Rio-2#tab=summary,101 minutes,Adventure,Digital Animation,United States,English,"March 20, 2014","$130,000,000","20th Century Fox Animation,Blue Sky Studios"
https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary,101 minutes,Action,Animation/Live Action,United States,English,"August 08, 2014","$125,000,000","Platinum Dunes,Gama Entertainment,Mednick Productions,Heavy Metal"
https://www.the-numbers.com/movie/LEGO-Movie-The#tab=summary,110 minutes,Adventure,Digital Animation,"Australia,United States",English,"February 06, 2014","$60,000,000","Vertigo Entertainment,Lin Pictures,Warner Animation Group"
https://www.the-numbers.com/movie/Lucy#tab=summary,88 minutes,Action,Live Action,"United States,France","English,Korean,Mandarin","July 25, 2014","$40,000,000","EuropaCorp,TF1 Film Productions,Canal Plus,Cine Plus,TF1 International"
https://www.the-numbers.com/movie/Gone-Girl-(2014)#tab=summary,149 minutes,Thriller/Suspense,Live Action,United States,English,"October 02, 2014","$61,000,000","Regency Enterprises,TSG Entertainment"
https://www.the-numbers.com/movie/Edge-of-Tomorrow#tab=summary,136 minutes,Action,Live Action,United States,English,"May 28, 2014","$178,000,000","Warner Bros.,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment"
https://www.the-numbers.com/movie/Penguins-of-Madagascar#tab=summary,92 minutes,Adventure,Digital Animation,United States,English,"November 26, 2014","$132,000,000","DreamWorks Animation,PDI"
https://www.the-numbers.com/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary,97 minutes,Adventure,Animation/Live Action,United States,English,"December 18, 2014","$127,000,000","21 Laps Entertainment,1492 Pictures"
https://www.the-numbers.com/movie/Noah#tab=summary,137 minutes,Drama,Live Action,United States,English,"March 27, 2014","$130,000,000","Protozoa Pictures,Paramount Pictures,Regency Enterprises"
https://www.the-numbers.com/movie/Maze-Runner-The#tab=summary,113 minutes,Action,Live Action,United States,English,"September 11, 2014","$34,000,000","Gotham Group,Temple Hill Entertainment,TSG Entertainment,DayDay Films"
https://www.the-numbers.com/movie/22-Jump-Street#tab=summary,111 minutes,Comedy,Live Action,United States,English,"June 05, 2014","$50,000,000","Columbia Pictures,Metro-Goldwyn-Mayer Pictures,LStar Capital,MRC,Original Film,Cannell Studios"
https://www.the-numbers.com/movie/300-Rise-of-an-Empire#tab=summary,102 minutes,Action,Animation/Live Action,United States,English,"March 07, 2014","$110,000,000","Cruel and Unusual Films,Mark Canton,Gianni Nunnari"
https://www.the-numbers.com/movie/Divergent#tab=summary,140 minutes,Adventure,Live Action,United States,English,"March 21, 2014","$85,000,000",Red Wagon Entertainment
https://www.the-numbers.com/movie/Neighbors-(2013)#tab=summary,91 minutes,Comedy,Live Action,United States,English,"May 09, 2014","$18,000,000","Good Universe,Point Grey"
https://www.the-numbers.com/movie/Mr-Peabody-and-Sherman#tab=summary,91 minutes,Adventure,Digital Animation,United States,English,"February 20, 2014","$145,000,000","Bullwinkle Studios,DreamWorks Animation,PDI"
https://www.the-numbers.com/movie/Exodus-Gods-and-Kings#tab=summary,150 minutes,Drama,Live Action,United States,English,"December 05, 2014","$140,000,000","Chernin Entertainment,Scott Free Films"
https://www.the-numbers.com/movie/Paddington#tab=summary,95 minutes,Adventure,Animation/Live Action,"United Kingdom,France,United States",English,"November 28, 2014","$55,000,000","StudioCanal,Weinstein Company,Anton Capital Entertainment"
https://www.the-numbers.com/movie/Annabelle#tab=summary,98 minutes,Horror,Live Action,United States,English,"October 02, 2014","$6,500,000","Atomic Monster,The Safran Company,RatPac Entertainment,Dune Entertainment"
https://www.the-numbers.com/movie/Taking-of-Tiger-Mountain-The#tab=summary,141 minutes,Adventure,Live Action,China,"Mandarin,English","December 23, 2014",,"Bona Film Group,August First Film Studios,Huaxia Film & Distribution Coroporation"
https://www.the-numbers.com/movie/Hercules-(2014)#tab=summary,97 minutes,Adventure,Live Action,United States,English,"July 23, 2014","$100,000,000","Flynn Picture Company,Radical Studios"
https://www.the-numbers.com/movie/RoboCop-(2013)#tab=summary,116 minutes,Action,Live Action,United States,English,"February 12, 2014","$120,000,000",Strike Entertainment
https://www.the-numbers.com/movie/Imitation-Game-The#tab=summary,113 minutes,Drama,Live Action,United States,English,"November 14, 2014","$15,000,000","Black Bear,Bristol Automotive"
https://www.the-numbers.com/movie/Non-Stop-(2013)#tab=summary,110 minutes,Action,Live Action,United States,English,"February 28, 2014","$50,000,000","Silver Pictures,Anton Capital Entertainment,Lovefilm"
https://www.the-numbers.com/movie/Dracula-Untold#tab=summary,92 minutes,Action,Live Action,United States,English,"October 01, 2014","$70,000,000","Legendary Pictures,Relativity Media,Michael De Luca Productions"
https://www.the-numbers.com/movie/Into-the-Woods#tab=summary,124 minutes,Musical,Animation/Live Action,United States,English,"December 25, 2014","$56,200,000","Lucamar,Marc Platt Productions"
https://www.the-numbers.com/movie/Fury-(2014)#tab=summary,134 minutes,Drama,Live Action,United States,English,"October 17, 2014","$80,000,000","QED International,Le Grisbi,Crave Films"
https://www.the-numbers.com/movie/Expendables-3-The#tab=summary,103 minutes,Action,Live Action,United States,English,"August 14, 2014","$100,000,000","Nu Image,Millennium Films"
https://www.the-numbers.com/movie/Need-for-Speed#tab=summary,130 minutes,Action,Live Action,United States,English,"March 13, 2014","$66,000,000","Electronic Arts,Bandito Brothers,Mark Sourian,John Gatins"
https://www.the-numbers.com/movie/Equalizer-The#tab=summary,131 minutes,Action,Live Action,United States,English,"September 26, 2014","$55,000,000","Escape Artists,Zhiv,Mace Neufeld,Columbia Pictures"
https://www.the-numbers.com/movie/Xin-Hua-Lu-Fang#tab=summary,116 minutes,Comedy,Live Action,China,Mandarin,"October 03, 2014",,"Injo Films Limited,HuangBo Studio"
https://www.the-numbers.com/movie/Unbroken#tab=summary,137 minutes,Drama,Live Action,United States,"English,Japanese","December 25, 2014","$65,000,000","Jolie Pas,3 Arts Entertainment"
https://www.the-numbers.com/movie/Grand-Budapest-Hotel-The#tab=summary,100 minutes,Comedy,Live Action,United States,"English,German,French","March 05, 2014","$31,000,000","Fox Searchlight Pictures,Indian Paintbrush,Studio Babelsberg,American Empirical"
https://www.the-numbers.com/movie/Monuments-Men-The#tab=summary,118 minutes,Drama,Live Action,"United States,Germany","English,French,German,Russian","February 07, 2014","$70,000,000",Smokehouse Pictures
https://www.the-numbers.com/movie/Dumb-and-Dumber-To#tab=summary,110 minutes,Comedy,Live Action,United States,English,"November 13, 2014","$40,000,000","Conundrum Entertainment,Charles B. Wessler Entertainment"
https://www.the-numbers.com/movie/Planes-Fire-and-Rescue#tab=summary,83 minutes,Adventure,Digital Animation,United States,English,"July 17, 2014","$50,000,000","Walt Disney Pictures,DisneyToon Studios,Prana Studios"
https://www.the-numbers.com/movie/Ride-Along#tab=summary,100 minutes,Comedy,Live Action,United States,"English,Serbian","January 17, 2014","$25,000,000","Cube Vision,Rainforest Films,Relativity Media"
https://www.the-numbers.com/movie/Into-the-Storm#tab=summary,89 minutes,Thriller/Suspense,Live Action,United States,English,"August 08, 2014","$50,000,000",Broken Road
https://www.the-numbers.com/movie/Stand-by-Me-Doraemon-(Japan)#tab=summary,95 minutes,Comedy,Digital Animation,Japan,Japanese,"August 01, 2014",,
https://www.the-numbers.com/movie/Annie-(2014)#tab=summary,118 minutes,Musical,Live Action,United States,English,"December 18, 2014","$65,000,000","Overbrook Entertainment,Marcy Media,Olive Bridge Entertainment"
https://www.the-numbers.com/movie/Lets-Be-Cops#tab=summary,104 minutes,Comedy,Live Action,United States,English,"August 13, 2014","$17,000,000","Luke Greenfield,Kinberg Genre,TSG Entertainment"
https://www.the-numbers.com/movie/Myeong-ryang#tab=summary,127 minutes,Drama,Live Action,Republic of Korea,Korean,"August 08, 2014",,Big Stone Pictures
https://www.the-numbers.com/movie/Jack-Ryan-Shadow-Recruit#tab=summary,105 minutes,Action,Live Action,United States,English,"January 17, 2014","$60,000,000","Skydance Productions,di Bonaventura Pictures,Mace Neufeld"
https://www.the-numbers.com/movie/Blended#tab=summary,117 minutes,Romantic Comedy,Live Action,United States,English,"May 22, 2014","$45,000,000","Gulfstream Pictures,Happy Madison"
https://www.the-numbers.com/movie/Sex-Tape#tab=summary,95 minutes,Comedy,Live Action,United States,English,"July 16, 2014","$40,000,000","Escape Artists,Media Rights Capital,LStar Capital"
https://www.the-numbers.com/movie/Theory-of-Everything-The-(2014)#tab=summary,123 minutes,Drama,Live Action,United States,English,"November 07, 2014","$15,000,000",Working Title Films
https://www.the-numbers.com/movie/Nut-Job-The#tab=summary,86 minutes,Adventure,Digital Animation,"Canada,Republic of Korea",English,"January 17, 2014","$30,000,000","Redrover,Toonbox Entertainment,Gulfstream Pictures,Ministry of Culture,Sports and Tourism of the Republic of Korea,Korean Small and Medium Business Administration,Korea Venture Investment Corp."
https://www.the-numbers.com/movie/Quest-ce-quon-a-fait-au-bon-dieu#tab=summary,97 minutes,Comedy,Live Action,France,French,"April 16, 2014",,
https://www.the-numbers.com/movie/Where-Are-We-Going-Dad-(China)#tab=summary,95 minutes,Reality,Live Action,China,Mandarin,"January 31, 2014",,
https://www.the-numbers.com/movie/Boxtrolls-The#tab=summary,96 minutes,Adventure,Stop-Motion Animation,United States,English,"September 19, 2014","$60,000,000",Laika
https://www.the-numbers.com/movie/Purge-Anarchy-The#tab=summary,103 minutes,Thriller/Suspense,Live Action,United States,English,"July 16, 2014","$9,000,000","Platinum Dunes,Blumhouse,Why Not Productions"
https://www.the-numbers.com/movie/Pompeii#tab=summary,102 minutes,Action,Live Action,"Germany,United States",English,"February 21, 2014","$80,000,000","Constantin Film International,Impact Pictures"
https://www.the-numbers.com/movie/Breakup-Guru-The#tab=summary,114 minutes,Romantic Comedy,Live Action,China,Mandarin,"June 27, 2014",,Beijing Enlight Pictures
https://www.the-numbers.com/movie/Horrible-Bosses-2#tab=summary,108 minutes,Black Comedy,Live Action,United States,English,"November 26, 2014","$40,000,000","RatPac Entertainment,Benderspink Productions"
https://www.the-numbers.com/movie/Ouija-(2014)#tab=summary,89 minutes,Horror,Live Action,United States,English,"October 24, 2014","$5,000,000","Platinum Dunes,Blumhouse,Hasbro Studios"
https://www.the-numbers.com/movie/Transcendence#tab=summary,119 minutes,Thriller/Suspense,Live Action,United States,English,"April 18, 2014","$100,000,000","Straight Up Films,DMG Entertainment"
https://www.the-numbers.com/movie/Birdman#tab=summary,119 minutes,Black Comedy,Live Action,United States,English,"October 17, 2014","$18,000,000","New Regency,M. Productions,Le Grisbi,Worldview Entertainment,Fox Searchlight Pictures,Regency Enterprises"
https://www.the-numbers.com/movie/Alexander-and-the-Terrible-Horrible-No-Good-Very-Bad-Day#tab=summary,81 minutes,Comedy,Live Action,United States,English,"October 10, 2014","$28,000,000","21 Laps Entertainment,Jim Henson Productions"
https://www.the-numbers.com/movie/Heaven-is-for-Real#tab=summary,100 minutes,Drama,Live Action,United States,English,"April 16, 2014","$12,000,000","Roth Films,T.D. Jakes"
https://www.the-numbers.com/movie/Hou-hui-wu-qi#tab=summary,100 minutes,Drama,Live Action,China,English,"July 24, 2014",,
https://www.the-numbers.com/movie/PK-(India)#tab=summary,153 minutes,Comedy,Live Action,India,Hindi,"December 19, 2014",,"Vinod Chopra Films,Rajkumar Hirani Films,UTV Motion Pictures"
https://www.the-numbers.com/movie/Gukjesijang#tab=summary,126 minutes,Drama,Live Action,Republic of Korea,Korean,"December 19, 2014",,"JK Film,CJ Entertainment"
https://www.the-numbers.com/movie/Book-of-Life-The#tab=summary,95 minutes,Adventure,Digital Animation,United States,English,"October 17, 2014","$50,000,000",Guillermo del Toro
https://www.the-numbers.com/movie/Tammy#tab=summary,96 minutes,Comedy,Live Action,United States,English,"July 02, 2014","$20,000,000","Gary Sanchez Productions,On The Day Productions"
https://www.the-numbers.com/movie/Hundred-Foot-Journey-The#tab=summary,122 minutes,Comedy,Live Action,United States,"English,Hindi,French","August 08, 2014","$22,000,000","DreamWorks Pictures,Reliance Entertainment,Participant Media,Image Nation,Amblin Entertainment,Harpo Films"
https://www.the-numbers.com/movie/Cong-cong-na-nian-(China)(2014)#tab=summary,119 minutes,Drama,Live Action,China,Mandarin,"December 05, 2014",,"Beijing Galloping Horse,Beijing Enlight Pictures,Gravity Pictures"
https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones#tab=summary,84 minutes,Horror,Live Action,United States,"English,Spanish","January 03, 2014","$5,000,000","Blumhouse,Solana Films"
https://www.the-numbers.com/movie/Deliver-Us-From-Evil-(2014)#tab=summary,118 minutes,Horror,Live Action,United States,English,"July 02, 2014","$30,000,000","Screen Gems,Jerry Bruckheimer Films,LStar Capital"
https://www.the-numbers.com/movie/gugjesijang-(2014-South-Korea)#tab=summary,126 minutes,Drama,Live Action,Republic of Korea,Korean,"December 17, 2014",,
https://www.the-numbers.com/movie/Ao-men-feng-yun#tab=summary,93 minutes,Comedy,Live Action,"Hong Kong,China","Mandarin,Cantonese","January 31, 2014",,
https://www.the-numbers.com/movie/famille-Belier-La#tab=summary,105 minutes,Comedy,Live Action,"France,Belgium",French,"December 17, 2014","$11,000,000","Jerico,Mars Films,France 2 Cinema,Quarante 12 Films,Vendome Pictures,Nexus Factory"
https://www.the-numbers.com/movie/Yi-bu-zhi-yao-(China)-(2014)#tab=summary,140 minutes,Action,Live Action,"China,United States,Hong Kong",Mandarin,"December 18, 2014",,
https://www.the-numbers.com/movie/Muppets-Most-Wanted#tab=summary,106 minutes,Adventure,Live Action,United States,"English,German,Russian","March 21, 2014","$55,000,000",Mandeville Films
https://www.the-numbers.com/movie/If-I-Stay#tab=summary,106 minutes,Drama,Live Action,United States,English,"August 22, 2014","$11,000,000",Di Novi Pictures
https://www.the-numbers.com/movie/Ocho-Apellidos-Vascos-(2014-Spain)#tab=summary,98 minutes,Romantic Comedy,Live Action,Spain,Spanish,"March 14, 2014",,"Lazonafilms,Kowalski Films,Telecinco Cinema"
https://www.the-numbers.com/movie/Step-Up-All-In#tab=summary,112 minutes,Drama,Live Action,United States,English,"July 09, 2014",,Summit Entertainment
https://www.the-numbers.com/movie/Judge-The#tab=summary,141 minutes,Drama,Live Action,United States,English,"October 10, 2014","$50,000,000","Team Downey,Big Kid Pictures"
https://www.the-numbers.com/movie/Xiao-shi-dai-3-(2014-China)#tab=summary,126 minutes,Drama,Live Action,China,Mandarin,"July 17, 2014",,
https://www.the-numbers.com/movie/I-Frankenstein#tab=summary,92 minutes,Action,Live Action,"United States,Australia",English,"January 24, 2014","$65,000,000","Hopscotch Features,Lakeshore Entertainment,Lionsgate,Sidney Kimmel Entertainment"
https://www.the-numbers.com/movie/Pirate-Fairy-The-(2014)#tab=summary,78 minutes,Adventure,Digital Animation,United States,English,"July 04, 2014",,
https://www.the-numbers.com/movie/Brick-Mansions#tab=summary,89 minutes,Action,Live Action,"France,Canada",English,"April 23, 2014","$28,000,000","EuropaCorp,Transfilm Intl."
https://www.the-numbers.com/movie/Tong-zhuo-de-ni-(2014-China)#tab=summary,98 minutes,Drama,Live Action,China,Mandarin,"April 25, 2014",,
