link,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Running Time,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Bursting-Point-(2023-Hong-Kong)#tab=summary,Action,Live Action,Contemporary Fiction,"Hong Kong,China","Cantonese,Mandarin","December 08, 2023",138 minutes,,,,
https://www.the-numbers.com/movie/Retribution-(2023)#tab=summary,Action,Live Action,Contemporary Fiction,"United States,Germany,Spain,France",English,"August 23, 2023",90 minutes,,"Rfor some language and violence.(Rating bulletin 2796 (cert #54410), 8/16/2023)","StudioCanal,The Picture Company,Ombra Films,TFI Films,Studio Babelsberg,Canal Plus,Cine Plus,TMC,Lionsgate,Roadside Attractions",
https://www.the-numbers.com/movie/His-Only-Son-(2023)#tab=summary,Drama,Live Action,Dramatization,United States,English,"March 30, 2023",106 minutes,"$250,000","PG-13for thematic content and some violence.(Rating bulletin 2767 (cert #54243), 1/25/2023)","RockBridge Productions,Commissioned Pictures",
https://www.the-numbers.com/movie/Gyoseob-(2023-South-Korea)#tab=summary,Action,Live Action,Dramatization,Republic of Korea,Korean,"January 18, 2023",108 minutes,,,,
https://www.the-numbers.com/movie/Bottoms-(2023)#tab=summary,Comedy,Live Action,Contemporary Fiction,United States,English,"August 25, 2023",91 minutes,"$11,300,000","Rfor crude sexual content, pervasive language and some violence.(Rating bulletin 2753 (cert #54079), 10/12/2022)","Orion Pictures,Brownstone",
https://www.the-numbers.com/movie/Campeonex-(2023-Spain)#tab=summary,Comedy,Live Action,Contemporary Fiction,Spain,Spanish,"August 18, 2023",,,,,
https://www.the-numbers.com/movie/Tri-Bogatyrya-i-pup-zemli-(2022-Russia)#tab=summary,Adventure,Digital Animation,Kids Fiction,Russian Federation,Russian,"December 28, 2023",,,,,
https://www.the-numbers.com/movie/Dream-Scenario-(2023)#tab=summary,Black Comedy,Live Action,Contemporary Fiction,United States,English,"November 10, 2023",101 minutes,,"Rfor language, violence and some sexual content.(Rating bulletin 2802 (cert #54336), 9/27/2023)","A24,Square Peg",
https://www.the-numbers.com/movie/Shift-The-(2023)#tab=summary,Thriller/Suspense,Live Action,Science Fiction,United States,English,"December 01, 2023",115 minutes,,"PG-13for violence and thematic elements.(Rating bulletin 2809 (cert #54736), 11/15/2023)","Angel Studios,Pure Flix,Nook Lane Entertainment",
https://www.the-numbers.com/movie/After-Death-(2024)#tab=summary,Documentary,Live Action,Factual,United States,English,"October 27, 2023",103 minutes,,"PG-13for thematic material including violent descriptions, some bloody images and drug references.(Rating bulletin 2801 (cert #54657), 9/20/2023)","Angel Studios,Sypher Studios",
https://www.the-numbers.com/movie/Backkom-Bear-Mars-Mission-(2023-China)#tab=summary,Adventure,Digital Animation,Kids Fiction,China,Chinese,"September 28, 2023",96 minutes,,,,
https://www.the-numbers.com/movie/Dunki-(2023-India)#tab=summary,Comedy,Live Action,Contemporary Fiction,India,Hindi,"December 14, 2023",160 minutes,,,"Red Chillies Entertainment,Jio Studios,Yash Raj Films",
https://www.the-numbers.com/movie/Hypnotic-(Dir-Robert-Rodriguez)#tab=summary,Thriller/Suspense,Live Action,Science Fiction,United States,English,"April 13, 2023",93 minutes,,"Rfor violence.(Rating bulletin 2776 (cert #54241), 3/29/2023)","Solstice Pictures,Studio 8,Ketchup Entertainment,Ingenious Media,Double R Productions",
