link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Luo-Xiaohei-zhan-ji-(2019-China)#tab=summary,,101 minutes,Adventure,Digital Animation,Fantasy,China,Mandarin,"September 07, 2019",,,
https://www.the-numbers.com/movie/Childs-Play-(2019)#tab=summary,"Rfor bloody horror violence, and language throughout.(Rating bulletin 2578 (Cert #52201), 5/15/2019)",120 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"June 19, 2019",,"KatzSmith Productions,Orion Pictures,Metro-Goldwyn-Mayer Pictures,Bron Creative",Child's Play
https://www.the-numbers.com/movie/21-Bridges-(2019)#tab=summary,"Rfor violence and language throughout.(Rating bulletin 2603 (Cert #52300), 11/6/2019)",103 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"November 22, 2019","$33,000,000","AGBO,MWM Studios,H Brothers,STX Films,XCeption Content",
https://www.the-numbers.com/movie/Countdown-(2019)#tab=summary,"PG-13for terror, violence, bloody images, suggestive material, language and thematic elements.(Rating bulletin 2598 (Cert #52409), 10/2/2019)",90 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"October 25, 2019","$6,500,000","Boies/Schiller,Two Grown Men Productions,Wrigley Pictures,STX Films",
https://www.the-numbers.com/movie/Masukaredo-hoteru-(Japan)-(2019)#tab=summary,,133 minutes,Drama,Live Action,Contemporary Fiction,Japan,Japanese,"January 18, 2019",,"Cine Bazar,Fuji Television Network",
https://www.the-numbers.com/movie/Fighting-With-My-Family-(2019)#tab=summary,"PG-13for crude and sexual material, language throughout, some violence and drug content.(Rating bulletin 2505 (Cert #51317), 12/6/2017)",107 minutes,Comedy,Live Action,Dramatization,"United Kingdom,United States",English,"February 14, 2019","$11,000,000","Film4,Misher Films,Seven Bucks Productions,WWE Studios,Metro-Goldwyn-Mayer Pictures,Ink Factory",
https://www.the-numbers.com/movie/Intruder-The-(2019)#tab=summary,"PG-13for violence, terror, some sexuality, language and thematic elements.(Rating bulletin 2534 (Cert #51686), 7/4/2018)",102 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"May 01, 2019","$8,000,000","Screen Gems,Hidden Empire Film Group,Primary Wave Entertainment",
https://www.the-numbers.com/movie/Dolor-y-gloria-(Spain)-(2019)#tab=summary,"Rfor drug use, some graphic nudity and language.(Rating bulletin 2585 (Cert #52289), 7/3/2019)",113 minutes,Drama,Live Action,Contemporary Fiction,Spain,Spanish,"March 22, 2019","$10,800,000",El Deseo,
https://www.the-numbers.com/movie/Wei-Da-De-Yuan-Wang-(2019-China)#tab=summary,,107 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"July 12, 2019",,,
https://www.the-numbers.com/movie/Minha-Mae-e-uma-Peca-3-O-Filme-(2019-Brazil)#tab=summary,,111 minutes,Comedy,Live Action,Contemporary Fiction,Brazil,Portuguese,"December 27, 2019",,,My Mom is a Character
https://www.the-numbers.com/movie/Underwater-(2020)#tab=summary,"PG-13for sci-fi action and terror, and brief strong language.(Rating bulletin 2547 (Cert #51126), 10/3/2018)",95 minutes,Thriller/Suspense,Live Action,Science Fiction,United States,English,"November 29, 2019","$65,000,000","20th Century Fox,Chernin Entertainment,TSG Entertainment",
https://www.the-numbers.com/movie/Overcomer-(2019)#tab=summary,"PGfor some thematic elements.(Rating bulletin 2571 (Cert #51644), 3/27/2019)",115 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"August 22, 2019","$5,000,000","Affirm Films,Sony Pictures,Faithstep Films,Provident Films,Kendrick Brothers Productions",
https://www.the-numbers.com/movie/Bloodshot-(2020)#tab=summary,"PG-13for intense sequences of violence, some suggestive material and language.(Rating bulletin 2613 (Cert #52048), 1/22/2020)",109 minutes,Action,Live Action,Super Hero,United States,English,"November 29, 2019","$45,000,000","Columbia Pictures,Original Film,Valiant Productions,Bona Film Group,AnnaBell Pictures,The Hideaway Entertainment",
https://www.the-numbers.com/movie/Fan-Zui-Xian-Chang-(2019-China)#tab=summary,,110 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,China,Cantonese,"October 12, 2019",,One Cool Film,
https://www.the-numbers.com/movie/Warriors-of-Honor-(2019-China)#tab=summary,,109 minutes,Drama,Live Action,Dramatization,China,Mandarin,"December 06, 2019",,,
https://www.the-numbers.com/movie/Confidence-Man-JP-The-The-Movie-(2019-Japan)#tab=summary,,116 minutes,Comedy,Live Action,Contemporary Fiction,Japan,Japanese,"May 17, 2019",,,Confidence Man JP
https://www.the-numbers.com/movie/Bongodong-Jeontoo-(2019-South-Korea)#tab=summary,,135 minutes,Drama,Live Action,Dramatization,Republic of Korea,Korean,"August 07, 2019",,,
https://www.the-numbers.com/movie/Nappeun-Nyeoseokdeul-Deo-Moobi-(2019-South-Korea)#tab=summary,Not Rated,115 minutes,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,"September 11, 2019",,CJ Entertainment,
https://www.the-numbers.com/movie/Good-Liar-The-(2019)#tab=summary,"Rfor some strong violence, and for language and brief nudity.(Rating bulletin 2550 (Cert #51877), 10/24/2018)",110 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"November 08, 2019","$10,000,000","New Line Cinema,1000 Eyes,Bron Creative",
https://www.the-numbers.com/movie/Art-of-Racing-in-the-Rain-The-(2019)#tab=summary,"PGfor thematic material.(Rating bulletin 2565 (Cert #51978), 2/13/2019)",109 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"August 09, 2019","$18,000,000","20th Century Fox,Original Film,Starbucks Coffee Company,Shifting Gears Productions",
https://www.the-numbers.com/movie/Brightburn-(2019)#tab=summary,"Rfor horror violence/bloody images, and language.(Rating bulletin 2572 (Cert #52113), 4/3/2019)",90 minutes,Horror,Live Action,Super Hero,United States,English,"May 09, 2019","$7,000,000","The H Collective,Troll Court Entertainment,Screen Gems,Stage 6 Films",
https://www.the-numbers.com/movie/Anna-(France)-(2019)#tab=summary,"Rfor strong violence, language, and some sexual content.(Rating bulletin 2540 (Cert #51631), 8/15/2018)",118 minutes,Action,Live Action,Contemporary Fiction,France,"English,Russian","June 19, 2019","$30,000,000","Summit Entertainment,EuropaCorp,TF1 Film Productions,OCS.,Canal Plus,TMC",
https://www.the-numbers.com/movie/Tonde-Saitama-(Japan)-(2019)#tab=summary,,107 minutes,Comedy,Rotoscoping,Contemporary Fiction,Japan,Japanese,"February 22, 2019",,,
https://www.the-numbers.com/movie/UglyDolls-(2019)#tab=summary,"PGfor thematic elements and brief action.(Rating bulletin 2572 (Cert #51965), 4/3/2019)",87 minutes,Adventure,Digital Animation,Kids Fiction,United States,English,"May 01, 2019","$45,000,000","STX Films,Huaxia Film & Distribution Coroporation,Reel FX Animation Studios",
https://www.the-numbers.com/movie/Stuber-(2019)#tab=summary,"Rfor violence and language throughout, some sexual references and brief graphic nudity.(Rating bulletin 2581 (Cert #51977), 6/5/2019)",105 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"July 11, 2019","$16,000,000","20th Century Fox,GoldDay Productions",
https://www.the-numbers.com/movie/Kioku-ni-Gozaimasen-(2019-Japan)#tab=summary,,127 minutes,Comedy,Live Action,Contemporary Fiction,Japan,Japanese,"September 13, 2019",,,
https://www.the-numbers.com/movie/Da-Yue-Zai-Dong-Ji-(2019-China)#tab=summary,Not Rated,90 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"November 15, 2019",,,
https://www.the-numbers.com/movie/Liang-Zhi-Lao-Hu-(2019-China)#tab=summary,,93 minutes,Black Comedy,Live Action,Contemporary Fiction,China,Mandarin,"November 29, 2019",,,
https://www.the-numbers.com/movie/Queens-Corgi-The-(2019-Belgium)#tab=summary,"PGfor thematic content involving sexually suggestive material, rude humor, violence and some language.(Rating bulletin 2595 (Cert #52374), 9/11/2019)",92 minutes,Adventure,Digital Animation,Contemporary Fiction,Belgium,English,"February 14, 2019",,,
https://www.the-numbers.com/movie/Shou-yi-ren-(2019-China)#tab=summary,Not Rated,116 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"November 02, 2019",,,
https://www.the-numbers.com/movie/Nan-Fang-Che-Zhan-De-Ju-Hui-(2019-China)#tab=summary,Not Rated,113 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"China,France",Mandarin,"August 30, 2019",,"He Li Chen Guang International Culture Media Co., Ltd.,Omnijoi,Tencent Pictures,Green Ray Films,Maisong Entertainment Investment Co., Ltd.,Memento Films,ARTE France,Aide aux Cinemas du Monde,Centre National du Cinema et de L Image Animee,Memento Films International",
https://www.the-numbers.com/movie/Pinocchio-(Italy)(2019)#tab=summary,"PG-13for some disturbing images.(Rating bulletin 2660 (cert #53012), 12/16/2020)",125 minutes,Adventure,Animation/Live Action,Kids Fiction,Italy,Italian,"December 19, 2019","$13,200,000","Archimede,RAI Cinema,Le Pacte,Recorded Picture Company,Leone Film Group,BPER Banca,MIBACT,Direzione Generale Cinema,Eurimages,Regione Lazio,Regione Puglia,Regione Toscana,Canal Plus,Cine Plus,HanWay Films",
https://www.the-numbers.com/movie/Boku-no-Hiro-Akademia-The-Movie-Hirozu-Raijingu-(Japan)#tab=summary,"PG-13for violence and language.
(subtitled)(Rating bulletin 2617 (Cert #52556), 2/19/2020)",104 minutes,Adventure,Digital Animation,Super Hero,Japan,Japanese,"December 20, 2019",,,My Hero Academia
https://www.the-numbers.com/movie/Gekijo-ban-poketto-monsuta-Myutsu-no-gyakushu-Evolution-(Japan)#tab=summary,Not Rated,98 minutes,Action,Digital Animation,Kids Fiction,Japan,"Japanese,English","July 12, 2019",,,Pokemon
https://www.the-numbers.com/movie/Yi-wen-ding-qing-(China)(2019)#tab=summary,,122 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"China,Taiwan, Province of China",Mandarin,"February 14, 2019",,,
https://www.the-numbers.com/movie/Kid-Who-Would-Be-King-The-(UK)-(2019)#tab=summary,"PGfor fantasy action violence, scary images, thematic elements including some bullying, and language.(Rating bulletin 2552 (Cert #51719), 11/7/2018)",132 minutes,Adventure,Live Action,Fantasy,United Kingdom,English,"January 18, 2019","$59,000,000","Working Title Films,Big Talk Pictures,20th Century Fox",
https://www.the-numbers.com/movie/82-nyeonsaeng-kimjiyeong-(S-Korea)#tab=summary,,118 minutes,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"October 23, 2019",,,
https://www.the-numbers.com/movie/Ban-Ge-Xi-Ju-(China)#tab=summary,,111 minutes,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"December 17, 2019",,,
https://www.the-numbers.com/movie/No-Manches-Frida-2-(2019)#tab=summary,"Rfor sexual content and teen drinking.(Rating bulletin 2568 (Cert #51994), 3/6/2019)",102 minutes,Comedy,Live Action,Contemporary Fiction,United States,Spanish,"March 15, 2019",,"Pantelion Films,Alcon Entertainment,Neverending Media,Lionsgate,Selva Pictures,Constantin Film",No Manches Frida
https://www.the-numbers.com/movie/Akinjeon-(South-Korea)-(2019)#tab=summary,Not Rated,110 minutes,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,"May 15, 2019",,"BA Entertainment,Balboa Productions",
https://www.the-numbers.com/movie/Hello-World-(Japan)#tab=summary,,97 minutes,Drama,Digital Animation,Science Fiction,Japan,Japanese,"September 20, 2019",,,
