link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies
https://www.the-numbers.com/movie/Sound-of-Freedom-(2023)#tab=summary,135 minutes,,Thriller/Suspense,Live Action,Dramatization,"United States,Colombia,Mexico","English,Spanish","July 04, 2023","$14,500,000","PG-13for thematic content involving sex trafficking, violence, language, sexual references, some drug references and smoking throughout.(Rating bulletin 2784 (cert #54464), 5/24/2023)","Santa Fe Films,Ambi Media Group"
https://www.the-numbers.com/movie/Wish-(2023)#tab=summary,92 minutes,,Adventure,Digital Animation,Kids Fiction,United States,English,"November 22, 2023","$200,000,000","PGfor thematic elements and mild action.(Rating bulletin Cert 54572, 10/25/2023)","Walt Disney Animation Studios,Walt Disney Pictures"
https://www.the-numbers.com/movie/Chang-An-San-Wan-Li-(2023-China)#tab=summary,168 minutes,,Drama,Digital Animation,Contemporary Fiction,China,Mandarin,"July 08, 2023",,,
https://www.the-numbers.com/movie/Boonie-Bears-Guardian-Code-(2023-China)#tab=summary,95 minutes,,Comedy,Digital Animation,Science Fiction,China,Mandarin,"January 20, 2023",,"PGfor action, violence and thematic material.(Rating bulletin 2824 (cert #54888), 3/6/2024)",
https://www.the-numbers.com/movie/Anyone-But-You-(2023)#tab=summary,103 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"December 22, 2023","$25,000,000","Rfor language throughout, sexual content and brief graphic nudity.(Rating bulletin 2813 (cert #54309), 12/13/2023)","Columbia Pictures,Roth Kirschenbaum Films,SK Global,Olive Bridge Entertainment"
https://www.the-numbers.com/movie/Napoleon-(2023)#tab=summary,158 minutes,,Drama,Live Action,Dramatization,"United Kingdom,United States",English,"November 22, 2023","$200,000,000","Rfor strong violence, some grisly images, sexual content and brief language.(Rating bulletin 2773 (cert #54204), 3/8/2023)Rfor strong violence, grisly images, sexual content, some nudity and language.(Rating bulletin 2842 (cert #55041) (The Director's Cut), 7/10/2024)","Scott Free Films,Columbia Pictures,Apple Original Films"
https://www.the-numbers.com/movie/Trolls-Band-Together-(2023)#tab=summary,92 minutes,Trolls,Adventure,Digital Animation,Kids Fiction,United States,English,"October 12, 2023","$95,000,000","PGfor some mild rude and suggestive humor.(Rating bulletin 2792 (cert #54554), 7/19/2023)",DreamWorks Animation
https://www.the-numbers.com/movie/Dungeons-and-Dragons-Honor-Among-Thieves-(2023)#tab=summary,134 minutes,,Adventure,Live Action,Fantasy,United States,English,"March 02, 2023","$150,000,000","PG-13for fantasy action/violence and some language.(Rating bulletin 2773 (cert #53662), 3/8/2023)","Hasbro Studios,Entertainment One,Paramount Pictures"
https://www.the-numbers.com/movie/Marvels-The-(2023)#tab=summary,105 minutes,Marvel Cinematic UniverseCaptain Marvel,Adventure,Live Action,Super Hero,United States,English,"November 08, 2023","$270,000,000","PG-13for action/violence and brief language.(Rating bulletin 2802 (cert #54662), 9/27/2023)",Marvel Studios
https://www.the-numbers.com/movie/Paw-Patrol-The-Mighty-Movie-(2023)#tab=summary,87 minutes,Paw Patrol,Adventure,Digital Animation,Kids Fiction,"United States,Canada",English,"September 21, 2023","$30,000,000","PGfor mild action/peril.(Rating bulletin 2790 (cert #54250), 7/5/2023)","Spin Master,Nickelodeon Films,Paramount Pictures"
https://www.the-numbers.com/movie/Equalizer-3-The-(2023)#tab=summary,103 minutes,The Equalizer,Action,Live Action,Contemporary Fiction,United States,English,"August 30, 2023","$70,000,000","Rstrong bloody violence and some language.(Rating bulletin 2796 (cert #54240), 8/16/2023)","Sony Pictures,Columbia Pictures,Eagle Pictures,Escape Artists,Zhiv,TSG Entertainment"
https://www.the-numbers.com/movie/Under-the-Light-(2023-China)#tab=summary,120 minutes,,Action,Live Action,Contemporary Fiction,China,Chinese,"September 28, 2023",,,
https://www.the-numbers.com/movie/Insidious-The-Red-Door-(2023)#tab=summary,107 minutes,Insidious,Horror,Live Action,Contemporary Fiction,"Canada,United States",English,"July 05, 2023","$16,000,000","PG-13for violence, terror, frightening images, strong language and suggestive references.(Rating bulletin 2788 (cert #54484), 6/21/2023)","Blumhouse,Screen Gems,Stage 6 Films"
https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-Mutant-Mayhem-(2023)#tab=summary,100 minutes,Teenage Mutant Ninja Turtles,Action,Digital Animation,Super Hero,United States,English,"August 02, 2023","$70,000,000","PGfor sequences of violence and action, language and impolite material.(Rating bulletin 2791 (cert #54215), 7/12/2023)","Nickelodeon Animation,Point Grey"
https://www.the-numbers.com/movie/Johnny-Keep-Walking-(2023-China)#tab=summary,117 minutes,,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"December 29, 2023",,,
https://www.the-numbers.com/movie/Ren-Sheng-Lu-Bu-Shu-(2023-China)#tab=summary,100 minutes,,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"April 28, 2023",,,
