link,Running Time,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Manchester-by-the-Sea#tab=summary,137 minutes,"The Past Catching up with You,Family Affair,Death of a Sibling,2017 Oscars Best Picture Nominee,Life Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Amazon Studios,K Period Media,Pearl Street,Media Farm,A/Middleton Project,B Story",United States,English,"November 17, 2016"
https://www.the-numbers.com/movie/Kubo-and-the-Two-Strings#tab=summary,102 minutes,"Set in Japan,Feudal Japan,Coming of Age,Dysfunctional Family,Animated Inanimate Objects,Young Child Dealing with the Death of a Parent,Mental Illness,Faulty Memory,Curses,3-D,3-D - Shot in 3-D,Family Adventure",Original Screenplay,Adventure,Stop-Motion Animation,Fantasy,"Focus Features,Laika",United States,English,"August 18, 2016"
https://www.the-numbers.com/movie/Mike-and-Dave-Need-Wedding-Dates#tab=summary,98 minutes,"Dysfunctional Family,Wedding Day,Wedding Day Disasters,Set in Hawaii,Delayed Adulthood,Farcical / Slapstick Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"20th Century Fox,Chernin Entertainment,TSG Entertainment",United States,English,"July 07, 2016"
https://www.the-numbers.com/movie/Sultan-(India)-(2016)#tab=summary,170 minutes,"Underdog,Wrestling,Mixed Martial Arts,Set in India,Olympics,Romance,Bollywood,Comeback,Sports Drama,Sports Injury",Original Screenplay,Drama,Live Action,Contemporary Fiction,Yash Raj Films,India,Hindi,"July 01, 2016"
https://www.the-numbers.com/movie/Boy-The-(2016)#tab=summary,97 minutes,"Isolation Horror,Set in United Kingdom,Living Toys,Death of a Son or Daughter,Suicide,Suicide Pact,Surprise Twist,Domestic Abuse,Troubled Pregnancy or Miscarriage,Supernatural",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Lakeshore Entertainment,Vertigo Entertainment,STX Entertainment,Huayi Brothers Corp.",United States,English,"January 21, 2016"
https://www.the-numbers.com/movie/Quo-Vado-(2016-Italy)#tab=summary,86 minutes,"Satirical Comedy,Satire,Political,Boss From Hell,Screenplay Written By the Star",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Italy,Italian,"January 01, 2016"
https://www.the-numbers.com/movie/Miracles-from-Heaven#tab=summary,109 minutes,"Faith-Based Film,Christians,Medical and Hospitals,Near Death Experience,Faith-Based Drama",Based on Factual Book/Article,Drama,Live Action,Dramatization,"Columbia Pictures,Affirm Films,Roth Films,T.D. Jakes,Franklin Entertainment",United States,English,"March 16, 2016"
https://www.the-numbers.com/movie/Tyler-Perrys-Boo-A-Madea-Halloween#tab=summary,103 minutes,"Directing Yourself,Screenplay Written By the Star,African Americans,Cross-Dressing,Halloween,Supernatural,Zombies,Horror Comedy",Based on Play,Comedy,Live Action,Contemporary Fiction,"Lionsgate,Tyler Perry Studios",United States,English,"October 21, 2016"
https://www.the-numbers.com/movie/Tunnel-(2016-South-Korea)#tab=summary,127 minutes,"Disaster,Underground,Trapped,Set in South Korea,Media Circus,Survival Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Showbox,Another Sunday,History E&M,B.A. Entertainment",Republic of Korea,Korean,"July 28, 2016"
https://www.the-numbers.com/movie/Nice-Guys-The-(2016)#tab=summary,116 minutes,"Private Investigator,1970s,Set in Los Angeles,Missing Person,Government Corruption,Black Comedy",Original Screenplay,Black Comedy,Live Action,Historical Fiction,"Warner Bros.,Silver Pictures,Waypoint Entertainment",United States,English,"May 19, 2016"
https://www.the-numbers.com/movie/I-Am-not-Madame-Bovary-(2016-China)#tab=summary,139 minutes,"Lawyers,Set in China,Messy Divorce,Government Bureaucracy,Comedy Drama,Relationships Gone Wrong,White Collar Crime",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Beijing Sparkle Roll Media Corporation,Huayi Brothers Corp.,Beijing Skywheel Entertainment Co Ltd,Huayi Brothers Pictures Ltd,Zhejiang Dongyang Mayla Media Co Ltd",China,Mandarin,"November 11, 2016"
https://www.the-numbers.com/movie/See-You-Tomorrow-(2016-China)#tab=summary,128 minutes,"Romantic Comedy,Romance,Relationships Gone Wrong,Relationship Advice,Radio Industry,Ensemble,Novel or Other Work Adapted by Author",Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"December 23, 2016"
https://www.the-numbers.com/movie/13-Hours-The-Secret-Soldiers-of-Benghazi#tab=summary,144 minutes,"Set in Libya,2010s,Terrorism,Action Thriller",Based on Factual Book/Article,Thriller/Suspense,Live Action,Dramatization,"Paramount Pictures,3 Arts Entertainment,Bay Films",United States,English,"January 15, 2016"
https://www.the-numbers.com/movie/Harry-Potter-IMAX-Marathon-The-(2016)#tab=summary,,"Boarding School,Compilations,Heroic Adventure",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,,"United Kingdom,United States",English,"October 14, 2016"
https://www.the-numbers.com/movie/Geomsawejeon-(2016-South-Korea)#tab=summary,126 minutes,"Crime Comedy,Framed,Lawyers,Land Developer,Prison,White Collar Crime,Confidence Men",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"February 03, 2016"
https://www.the-numbers.com/movie/Meitantei-Konan-Junkoku-no-naitomea-(2016-Japan)#tab=summary,112 minutes,"Action Adventure,Secret Agent,Set in Japan,Set in Tokyo,Faulty Memory",Original Screenplay,Adventure,Digital Animation,Contemporary Fiction,,Japan,Japanese,"April 15, 2016"
https://www.the-numbers.com/movie/One-Piece-Film-Gold-(2016-Japan)#tab=summary,120 minutes,"Anime,Pirates,Treasure Hunters,Gambling,Action Adventure",Based on Comic/Graphic Novel,Action,Digital Animation,Contemporary Fiction,Toei Animation,Japan,"Japanese,English","July 22, 2016"
https://www.the-numbers.com/movie/Moonlight-(2016)#tab=summary,111 minutes,"Coming of Age,LGBTQ+,African Americans,Set in Miami,Closeted Homosexual,Autobiographical,2017 Oscars Best Picture Nominee,Oscars Best Picture Winner,Hood Film,Golden Globe Winner Best Picture—Drama,Biographical Drama,Writers Guild of America Best Original Screenplay Winner",Based on Play,Drama,Live Action,Historical Fiction,"A24,Plan B Entertainment,Pastel",United States,English,"October 21, 2016"
https://www.the-numbers.com/movie/Fences#tab=summary,133 minutes,"Directing Yourself,Novel or Other Work Adapted by Author,Set in Pittsburgh, PA,1950s,Former Professional Athlete,Baseball,African Americans,2017 Oscars Best Picture Nominee,Historical Drama",Based on Play,Drama,Live Action,Historical Fiction,"Paramount Pictures,Bron Creative,Macro Media,Scott Rudin Productions",United States,English,"December 16, 2016"
https://www.the-numbers.com/movie/Hail-Caesar-(2015)#tab=summary,100 minutes,"Movie Business,Film Actor,Kidnap,Ransom,Private Investigator,Investigative Journalist,Media Circus,1950s,Ensemble,Satire,Satirical Comedy",Original Screenplay,Comedy,Live Action,Historical Fiction,"Mike Zoss,Working Title Films,Universal Pictures",United States,English,"February 05, 2016"
https://www.the-numbers.com/movie/Monster-Trucks#tab=summary,104 minutes,"Monster,Monster Trucks,Friendly Alien on Earth,Development Hell,3-D,3-D - Post-production Conversion,Family Adventure,Corporate Malfeasance",Original Screenplay,Adventure,Animation/Live Action,Science Fiction,"Paramount Pictures,Nickelodeon Films,Disruption Pictures",United States,English,"December 29, 2016"
https://www.the-numbers.com/movie/Chongqing-Hot-Pot-(2016-China)#tab=summary,94 minutes,"Crime Comedy,Crime Caper,Crime,Restaurants,Heist",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"March 31, 2016"
https://www.the-numbers.com/movie/Nine-Lives-(2016)#tab=summary,87 minutes,"Dysfunctional Family,Animal Lead,Body Swap,Curses,Workaholic,Family Adventure,Famously Bad",Original Screenplay,Adventure,Live Action,Kids Fiction,"EuropaCorp,Fundamental Films",France,English,"August 05, 2016"
https://www.the-numbers.com/movie/All-Eyez-on-Me#tab=summary,137 minutes,"Music Industry,Hip Hop and Rap,1990s,African Americans,Biography,Hood Film,Biographical Drama",Based on Real Life Events,Drama,Live Action,Dramatization,"Morgan Creek Productions,Summit Entertainment,Program Pictures,Codeblack Films",United States,English,"June 15, 2016"
