link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Jane-Eyre-(2010)#tab=summary,115 minutes,Drama,Live Action,Historical Fiction,United Kingdom,English,"March 11, 2011",,"PG-13for some thematic elements including a nude image and brief violent content.(Rating bulletin 2145, 11/3/2010)","BBC Films,Ruby Films",
https://www.the-numbers.com/movie/Gantz-Perfect-Answer-(2011-Japan)#tab=summary,141 minutes,Action,Live Action,Science Fiction,Japan,Japanese,,,,,Gantz
https://www.the-numbers.com/movie/Wan-deuk-i-(2011-South-Korea)#tab=summary,110 minutes,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"October 20, 2011",,,"UBU Film,Another Pictures",
https://www.the-numbers.com/movie/Bai-she-chuan-shuo-(2011-Hong-Kong)#tab=summary,96 minutes,Action,Live Action,Fantasy,Hong Kong,Mandarin,"September 28, 2011",,"PG-13for sequences of fantasy action violence, some frightening images and sensuality.(Rating bulletin 2240, 9/12/2012)",Juli Entertainment Media Co.,
https://www.the-numbers.com/movie/Ready-(2011-India)#tab=summary,145 minutes,Comedy,Live Action,Contemporary Fiction,India,Hindi,"June 03, 2011",,,,
https://www.the-numbers.com/movie/Vysotsky-Spasibo-Chto-Zhivoi-(2011-Russia)#tab=summary,72 minutes,Drama,Live Action,Dramatization,Russian Federation,Russian,,,,,
https://www.the-numbers.com/movie/Whats-Your-Number#tab=summary,106 minutes,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"September 30, 2011","$20,000,000","Rfor sexual content and language.(Rating bulletin 2146, 11/10/2010)","Regency Enterprises,New Regency,Contrafilm",
https://www.the-numbers.com/movie/Zindagi-Na-Milegi-Dobara#tab=summary,148 minutes,Comedy,Live Action,Contemporary Fiction,India,Hindi,"July 15, 2011",,Not Rated,,
https://www.the-numbers.com/movie/Do-ga-ni#tab=summary,125 minutes,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"September 22, 2011",,,"Sangeori Pictures,Fantagio,CJ Entertainment",
https://www.the-numbers.com/movie/Singham#tab=summary,143 minutes,Drama,Live Action,Contemporary Fiction,India,Hindi,"July 22, 2011",,Not Rated,Reliance BIG Entertainment,Singham
https://www.the-numbers.com/movie/Hua-Bi#tab=summary,123 minutes,Action,Live Action,Historical Fiction,"China,Hong Kong",Mandarin,"September 29, 2011",,,"Beijing Enlight Pictures,Top Gun Productions",
https://www.the-numbers.com/movie/Thing-The-(2011)#tab=summary,102 minutes,Horror,Live Action,Fantasy,United States,English,"October 14, 2011","$38,000,000","Rfor strong creature violence and gore, disturbing images, and language.(Rating bulletin 2174, 6/1/2011)","Universal Pictures,Strike Entertainment,Morgan Creek Productions",The Thing
https://www.the-numbers.com/movie/Jing-mo-fung-wan-Chen-Zhen#tab=summary,106 minutes,Action,Live Action,Historical Fiction,Hong Kong,"Cantonese,Cantonese,Mandarin,Japanese,English","April 22, 2011",,"Rfor strong violence, martial arts action and some language.(Rating bulletin 2166, 4/6/2011)","Media Asia Films,Enlight Pictures,Shanghai Film Media Asia,Basic Pictures",
https://www.the-numbers.com/movie/Way-Back-The#tab=summary,133 minutes,Adventure,Live Action,Dramatization,"United Kingdom,United Arab Emirates","English,Russian,Polish","December 29, 2010",,"PG-13for violent content, depiction of physical hardships, a nude image and brief strong language.(Rating bulletin 2142, 10/13/2010)","Exclusive Media Group,National Geographic Entertainment,Image Nation Abu Dhabi",
https://www.the-numbers.com/movie/Apollo-18#tab=summary,87 minutes,Thriller/Suspense,Live Action,Science Fiction,United States,English,"September 02, 2011","$5,000,000","PG-13for some disturbing sequences, and language.(Rating bulletin 2186, 8/24/2011)","Dimension Films,Bekmambetov Projects",
