Movie,trunc,Share Of Number One Market,Number One Market
The Nice Guys,The Nice Guys,14.0%,United Kingdom
Robinson Crusoe,Robinson Crusoe,22.9%,China
"Hail, Caesar!","Hail, Caesar!",21.0%,United Kingdom
Ride Along 2,Ride Along 2,24.6%,United Kingdom
Café Society,Café Society,21.3%,France
Pandora,Pandora,100.0%,South Korea
My Big Fat Greek Wedding 2,My Big Fat Greek Wed,37.3%,Australia
Bounty Hunters,Bounty Hunters,99.9%,China
Os Dez Mandamentos: O Filme,Os Dez Mandamentos: ,93.9%,Brazil
A Silent Voice (映画 聲の形),A Silent Voice ( ),60.7%,Japan
Ansatsu kyôshitsu: sotsugyô hen,Ansatsu kyôshitsu: s,99.9%,Japan
Absolutely Fabulous: The Movie,Absolutely Fabulous:,63.3%,United Kingdom
S Storm,S Storm,99.6%,China
Manchester by the Sea,Manchester by the Se,14.3%,United Kingdom
Perfetti sconosciuti,Perfetti sconosciuti,61.8%,Italy
Mike and Dave Need Wedding Dates,Mike and Dave Need W,17.3%,Australia
Kubo and the Two Strings,Kubo and the Two Str,21.6%,China
Guan yun chang,Guan yun chang,,
Eddie the Eagle,Eddie the Eagle,42.2%,United Kingdom
Viking,Viking,92.2%,Russia (CIS)
Florence Foster Jenkins,Florence Foster Jenk,14.6%,United Kingdom
Billy Lynn’s Long Halftime Walk,Billy Lynn’s Long Ha,83.4%,China
Monster Trucks,Monster Trucks,15.6%,United Kingdom
Yôkai Watch 3,Yôkai Watch 3,95.0%,Japan
Willkommen bei den Hartmanns,Willkommen bei den H,99.9%,Germany
When Larry Met Mary,When Larry Met Mary,99.6%,China
Yesterday Once More,Yesterday Once More,99.6%,China
Radin!,Radin!,77.8%,France
Zoolander 2,Zoolander 2,25.9%,United Kingdom
Rustom,Rustom,97.7%,India
Airlift (2016),Airlift (2016),95.5%,India
Mr. Donkey,Mr. Donkey,99.6%,China
Call of Heroes,Call of Heroes,100.0%,China
SoulMate,SoulMate,99.3%,China
Snezhnaya koroleva 3. Ogon i led,Snezhnaya koroleva 3,46.9%,China
Camping 3,Camping 3,100.0%,France
M.S. Dhoni: The Untold Story,M.S. Dhoni: The Unto,97.4%,India
Gwi-Hyang,Gwi-Hyang,99.6%,South Korea
Housefull 3,Housefull 3,96.1%,India
Jackie,Jackie,16.8%,United Kingdom
Xia You Qiao Mu,Xia You Qiao Mu,99.8%,China
Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,88.4%,India
The Brothers Grimsby,The Brothers Grimsby,34.2%,United Kingdom
Nocturnal Animals,Nocturnal Animals,17.4%,United Kingdom
The Finest Hours,The Finest Hours,14.7%,Russia (CIS)
Crayon Shin-chan: Fast Asleep! Dreaming World B…,Crayon Shin-chan: Fa,81.4%,Japan
Pokemon za mubi XY and Z borukenion to kiko (ka…,Pokemon za mubi XY a,73.5%,Japan
Ai Qing Gong She,Ai Qing Gong She,100.0%,China
Julieta,Julieta,23.3%,France
Patriots Day,Patriots Day,15.1%,China
1944,1944,100.0%,Spain
Cock and Bull,Cock and Bull,99.8%,China
Hyeong,Hyeong,99.7%,South Korea
"Shokubutsu zukan: Unmei no koi, hiroimashita",Shokubutsu zukan: Un,99.9%,Japan
Who Sleeps My Bro,Who Sleeps My Bro,100.0%,China
Gao Gen Xie Xian Sheng,Gao Gen Xie Xian She,100.0%,China
Mother’s Day,Mother’s Day,20.1%,Australia
Royal Treasure (China),Royal Treasure (Chin,100.0%,China
Kono sekai no katasumi ni,Kono sekai no katasu,97.0%,Japan
Desu nôto: Light Up the New World,Desu nôto: Light Up ,98.5%,Japan
Hunt for the Wilderpeople,Hunt for the Wilderp,47.1%,Australia
Suddenly Seventeen,Suddenly Seventeen,99.5%,China
Asura : The City of Madness,Asura : The City of ,99.8%,South Korea
Blair Witch,Blair Witch,17.8%,Brazil
Luomandike xiaowang shi,Luomandike xiaowang ,99.5%,China
Rokuyon: Zenpen,Rokuyon: Zenpen,100.0%,Japan
Retour chez ma mère,Retour chez ma mère,93.8%,France
A Street Cat Named Bob,A Street Cat Named B,43.0%,China
Heartfall Arises,Heartfall Arises,99.8%,China
Eye in the Sky,Eye in the Sky,39.7%,United Kingdom
Silence,Silence,28.1%,Japan
13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret,8.4%,Taiwan
Der Geilste Tag,Der Geilste Tag,85.6%,Germany
Chocolat,Chocolat,79.8%,France
Neerja,Neerja,28.9%,India
Kaizoku to yobareta otoko,Kaizoku to yobareta ,100.0%,Japan
Kazoku Wa Tsuraiyo,Kazoku Wa Tsuraiyo,68.3%,Japan
"I, Daniel Blake","I, Daniel Blake",41.0%,France
Familyhood,Familyhood,99.8%,South Korea
The Boss,The Boss,30.5%,Australia
Rokuyon: Kôhen,Rokuyon: Kôhen,100.0%,Japan
Captain Fantastic,Captain Fantastic,24.5%,France
Kang rinpoche,Kang rinpoche,100.0%,China
The Witch,The Witch,22.5%,Mexico
Pitbull: Niebezpieczne Kobiety,Pitbull: Niebezpiecz,93.6%,Poland
Kapoor & Sons,Kapoor & Sons,82.6%,India
Three,Three,99.6%,China
Médecin de campagne,Médecin de campagne,75.4%,France
Rock Dog,Rock Dog,40.8%,China
High & Low: The Movie,High & Low: The Movi,100.0%,Japan
Sword Master,Sword Master,99.6%,China
¿Qué Culpa Tiene el Niño?,¿Qué Culpa Tiene el ,99.7%,Mexico
Pattaya,Pattaya,91.8%,France
"Boku wa Ashita, Kinou no Kimi to Dêto Suru","Boku wa Ashita, Kino",92.2%,Japan
Bibi & Tina: Mädchen gegen Jungs,Bibi & Tina: Mädchen,89.0%,Germany
Elle,Elle,29.7%,France
The Forest,The Forest,13.3%,Spain
Brice 3,Brice 3,99.9%,France
Keeping Up with the Joneses,Keeping Up with the ,15.4%,Australia
Tri bogatyrya i Morskoy tsar,Tri bogatyrya i Mors,99.7%,Russia (CIS)
Rudorufu to Ippaiattena,Rudorufu to Ippaiatt,87.2%,Japan
I am a Hero,I am a Hero,88.3%,Japan
Yolki 5,Yolki 5,99.2%,Russia (CIS)
Too Young to Die,Too Young to Die,100.0%,Japan
Ikari,Ikari,98.4%,Japan
Masterminds,Masterminds,19.6%,Italy
Phantom of the Theater,Phantom of the Theat,100.0%,China
Norm of the North,Norm of the North,25.2%,France
Triple 9,Triple 9,18.7%,United Kingdom
Bai niao chao feng,Bai niao chao feng,99.4%,China
Dad’s Army,Dad’s Army,93.7%,United Kingdom
Saraba Abunai Deka: Long Goodbye,Saraba Abunai Deka: ,100.0%,Japan
Ozzy,Ozzy,16.6%,Spain
Seondal: The Man who Sells the River,Seondal: The Man who,98.1%,South Korea
All Eyez on Me,All Eyez on Me,21.4%,Australia
Xin Da Tou Er Zi He Xiao Tou Ba Ba Zhi Yi Ri Ch…,Xin Da Tou Er Zi He ,100.0%,China
MBA Partners,MBA Partners,99.7%,China
Live by Night,Live by Night,13.6%,France
Chihayafuru Kaminoku,Chihayafuru Kaminoku,100.0%,Japan
No One’s Life Is Easy: So I Married an Anti-Fan,No One’s Life Is Eas,100.0%,China
Miracles from Heaven,Miracles from Heaven,48.8%,Mexico
No Manches Frida,No Manches Frida,98.3%,Mexico
Carrossel 2: O Sumiço de Maria Joaquina,Carrossel 2: O Sumiç,100.0%,Brazil
Xiao men shen,Xiao men shen,100.0%,China
Myûjiamu,Myûjiamu,100.0%,Japan
Tik Tok,Tik Tok,100.0%,China
Bokudake ga inai machi,Bokudake ga inai mac,99.8%,Japan
Zhi Wo Men Zhong Jiang Dao Lai De Ai Qing,Zhi Wo Men Zhong Jia,100.0%,China
Shigatsu wa kimi no uso,Shigatsu wa kimi no ,99.8%,Japan
The Founder,The Founder,17.4%,Italy
Dağ 2,Dağ 2,99.9%,Turkey
La Pazza Gioia,La Pazza Gioia,60.7%,Italy
Born in China,Born in China,84.2%,China
Les Saisons,Les Saisons,58.0%,France
Villaviciosa de al lado,Villaviciosa de al l,100.0%,Spain
Mogura no uta: Hong Kong kyôsô-kyoku,Mogura no uta: Hong ,100.0%,Japan
Ookami shoujo to kuro ouji,Ookami shoujo to kur,100.0%,Japan
Hell or High Water,Hell or High Water,20.5%,United Kingdom
Gosaigyô no Onna,Gosaigyô no Onna,100.0%,Japan
Fifty Shades of Black,Fifty Shades of Blac,28.3%,Brazil
Kurosaki-kun no iinari ni nante naranai,Kurosaki-kun no iina,100.0%,Japan
Hide and Seek,Hide and Seek,100.0%,China
Sekai kara neko ga kietanara,Sekai kara neko ga k,95.8%,Japan
Aozora êru,Aozora êru,100.0%,Japan
