Movie,trunc,Share Of Number One Market,Number One Market
Parental Guidance,Parental Guidance,26.1%,Australia
Sur la piste du Marsupilami,Sur la piste du Mars,5.1%,Belgium
Meitantei Conan: Juichi-ninme no Striker,Meitantei Conan: Jui,,Japan
Dabangg 2,Dabangg 2,93.2%,India
Sinister,Sinister,26.7%,United Kingdom
Zero Dark Thirty,Zero Dark Thirty,14.8%,United Kingdom
Ting Feng Zhe,Ting Feng Zhe,,China
Silent Hill: Revelation 3D,Silent Hill: Revelat,,
Quartet,Quartet,32.8%,United Kingdom
La vérité si je mens! 3,La vérité si je mens,,France
The Lucky One,The Lucky One,19.1%,Australia
Always 3 Chome no yuhi '64 3,Always 3 Chome no yu,,Japan
Savages,Savages,11.6%,Russia (CIS)
Sammy's avonturen 2,Sammy's avonturen 2,0.4%,Bulgaria
Zambezia,Zambezia,15.7%,Russia (CIS)
Ta-weo,Ta-weo,,South Korea
Barfi,Barfi,,
The Possession,The Possession,,
Rowdy Rathore,Rowdy Rathore,97.9%,India
The Five-Year Engagement,The Five-Year Engage,49.7%,United Kingdom
The Watch,The Watch,18.5%,Australia
Bait 3D,Bait 3D,,
Fetih 1453,Fetih 1453,94.6%,Turkey
Contraband,Contraband,10.4%,United Kingdom
Agneepath,Agneepath,100.0%,India
Benvenuti al nord,Benvenuti al nord,,Italy
Three Heroes on Distant Shores,Three Heroes on Dist,,Russia (CIS)
Man on a Ledge,Man on a Ledge,12.1%,Japan
Amour,Amour,14.2%,France
Housefull 2,Housefull 2,94.0%,India
The Grey,The Grey,5.3%,Mexico
Si da ming bu,Si da ming bu,100.0%,China
Ai,Ai,,Taiwan
Wu Xia,Wu Xia,,
Baramgwa hamjje sarajida,Baramgwa hamjje sara,,South Korea
The Cabin in the Woods,The Cabin in the Woo,29.8%,United Kingdom
Nae Anaeui Modeun Geot,Nae Anaeui Modeun Ge,0.0%,Taiwan
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid,44.2%,United Kingdom
Dredd,Dredd,23.7%,United Kingdom
Here Comes the Boom,Here Comes the Boom,26.4%,Germany
Arbitrage,Arbitrage,17.8%,Spain
Sou Suo,Sou Suo,,China
Bumchoiwaui junjaeng,Bumchoiwaui junjaeng,,South Korea
De rouille et d’os,De rouille et d’os,,
Aku no kyôten,Aku no kyôten,96.6%,Japan
Gekijouban SPEC: Ten,Gekijouban SPEC: Ten,,Japan
Geonchukhakgaeron,Geonchukhakgaeron,100.0%,South Korea
Bokura ga ita Zenpen,Bokura ga ita Zenpen,,Japan
Bol Bachchan,Bol Bachchan,3.7%,United Arab Emirates
Upside Down,Upside Down,19.3%,Russia (CIS)
Torrente 4 (3D),Torrente 4 (3D),0.5%,Hungary
Yeongashi,Yeongashi,,South Korea
Nobo no shiro,Nobo no shiro,,Japan
逆战 (Jik zin), (Jik zin),,
Xi Yang Yang Yu Hui Tai Lang Zhi Kaixin Chuang …,Xi Yang Yang Yu Hui ,0.0%,South Korea
Le prénom,Le prénom,,Canada
De l'autre côté du périph,De l'autre côté du p,,France
Tai Chi Zero,Tai Chi Zero,,
Safe,Safe,,
Huang Jin Da Jie An,Huang Jin Da Jie An,,China
Killing Them Softly,Killing Them Softly,18.2%,United Kingdom
Chernobyl Diaries,Chernobyl Diaries,18.1%,Mexico
Salmon Fishing in the Yemen,Salmon Fishing in th,39.3%,United Kingdom
Da Shang Hai,Da Shang Hai,,China
Xiao Shi De Zi Dan,Xiao Shi De Zi Dan,0.8%,Singapore
Moonrise Kingdom,Moonrise Kingdom,19.6%,Italy
Turkisch fur Anfanger,Turkisch fur Anfange,,Germany
Bu-reo-jin hwa-sal,Bu-reo-jin hwa-sal,99.9%,South Korea
Talaash,Talaash,6.5%,United Kingdom
Raia Gemu Saisei,Raia Gemu Saisei,,Japan
This is 40,This is 40,22.7%,Australia
Polisse,Polisse,0.3%,United Kingdom
Rock of Ages,Rock of Ages,21.9%,Hong Kong
Movie 43,Movie 43,36.0%,Russia (CIS)
Solomon Kane,Solomon Kane,,
That’s My Boy,That’s My Boy,25.2%,Russia (CIS)
Herutâ sukerutâ,Herutâ sukerutâ,,Japan
Think Like a Man,Think Like a Man,81.0%,Jordan
Cirque du Soleil: Worlds Away,Cirque du Soleil: Wo,,
The Cold Light of Day,The Cold Light of Da,46.4%,Russia (CIS)
Daensing Kwin,Daensing Kwin,,South Korea
Son of Sardaar,Son of Sardaar,2.6%,United Kingdom
Hotaru no Hikari,Hotaru no Hikari,,Japan
Les Lyonnais,Les Lyonnais,99.6%,Spain
Kon-Tiki,Kon-Tiki,70.4%,Norway
Sadako 3D,Sadako 3D,82.0%,Japan
Lockout,Lockout,20.4%,France
Go-ji-jeon,Go-ji-jeon,,
Cocktail,Cocktail,,
Kwik,Kwik,,
Hodejegerne,Hodejegerne,11.6%,United Kingdom
Mine Vaganti,Mine Vaganti,22.3%,Venezuela
The Rebound,The Rebound,,
Hitchcock,Hitchcock,20.3%,Australia
OMG: Oh My God,OMG: Oh My God,,
Winx Club - Il Segreto Del Regno Perduto,Winx Club - Il Segre,,
Seven Psychopaths,Seven Psychopaths,28.3%,United Kingdom
The Campaign,The Campaign,,
Bokura ga Ita Kohen,Bokura ga Ita Kohen,,Japan
The Sapphires,The Sapphires,82.0%,Australia
Stolen,Stolen,,
Jagten,Jagten,44.9%,Denmark
En kongelig affære,En kongelig affære,,
Haywire,Haywire,5.9%,France
A Few Best Men,A Few Best Men,5.0%,United Kingdom
Lawless,Lawless,40.4%,United Kingdom
Mai wei,Mai wei,,
End of Watch,End of Watch,18.2%,United Kingdom
Raaz 3: The Third Dimension,Raaz 3: The Third Di,2.1%,United Kingdom
The Company You Keep,The Company You Keep,29.4%,Italy
Dans la maison,Dans la maison,60.1%,France
Shanghai,Shanghai,4.8%,Spain
The Perks of Being a Wallflower,The Perks of Being a,23.9%,United Kingdom
Heroine,Heroine,3.2%,United Kingdom
Autoreiji: Biyondo,Autoreiji: Biyondo,100.0%,Japan
Snezhnaya koroleva,Snezhnaya koroleva,49.9%,Russia (CIS)
Zarafa,Zarafa,1.6%,Greece
Playing for Keeps,Playing for Keeps,,
The Raven,The Raven,9.3%,Spain
Marina Abramovic: The Artist Is Present,Marina Abramovic: Th,99.9%,Spain
Red Lights,Red Lights,,
Khiladi 786,Khiladi 786,2.2%,United Kingdom
Gambit,Gambit,40.8%,Greece
This Must Be the Place,This Must Be the Pla,2.6%,Spain
Hong men yan,Hong men yan,,
Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,,
Hysteria,Hysteria,78.0%,Argentina
Tomorrow When the War Began,Tomorrow When the Wa,,
Wadjda,Wadjda,71.7%,Italy
One for the Money,One for the Money,11.8%,Brazil
The Master,The Master,17.3%,United Kingdom
Student of the Year,Student of the Year,4.1%,United Kingdom
House at the End of the Street,House at the End of ,30.6%,United Kingdom
Act of Valor,Act of Valor,23.4%,Italy
Nativity 2: Danger in the Manger!,Nativity 2: Danger i,100.0%,United Kingdom
Bachelorette,Bachelorette,22.4%,Australia
Agent Vinod,Agent Vinod,,
Trouble with the Curve,Trouble with the Cur,15.0%,France
What a Man,What a Man,,
Iron Sky,Iron Sky,38.6%,Germany
Reign of Assassins,Reign of Assassins,0.3%,Italy
Spanish Movie,Spanish Movie,0.4%,Ecuador
Premium Rush,Premium Rush,21.7%,Taiwan
La fille du puisatier,La fille du puisatie,0.0%,Portugal
Jannat 2,Jannat 2,3.1%,United Arab Emirates
Beasts of the Southern Wild,Beasts of the Southe,22.5%,Poland
Populaire,Populaire,90.4%,France
LOL,LOL,,
Dangerous Liaisons,Dangerous Liaisons,,
L'Homme qui rit,L'Homme qui rit,97.1%,France
