Movie,trunc,Share Of Number One Market,Number One Market
"I, Frankenstein","I, Frankenstein",12.3%,China
Qin ai de,Qin ai de,91.4%,China
Let’s Be Cops,Let’s Be Cops,11.1%,Germany
Annie,Annie,22.5%,United Kingdom
Brick Mansions,Brick Mansions,6.6%,Russia (CIS)
Ouija,Ouija,12.6%,Mexico
Begin Again,Begin Again,48.3%,South Korea
Horrible Bosses 2,Horrible Bosses 2,10.8%,Australia
Supercondriaque,Supercondriaque,1.1%,Poland
Astérix: Le domaine des dieux,Astérix: Le domaine ,53.5%,France
Demain Tout Commence,Demain Tout Commence,47.6%,France
Unbroken,Unbroken,10.7%,China
The Book of Life,The Book of Life,2.5%,Russia (CIS)
Wei ai zhi jian ru jia jing,Wei ai zhi jian ru j,93.2%,China
Kick,Kick,99.1%,India
A Million Ways to Die in The West,A Million Ways to Di,18.9%,Germany
John Wick,John Wick,8.6%,Germany
The Legend of Hercules,The Legend of Hercul,,
The Hundred-Foot Journey,The Hundred-Foot Jou,26.4%,Australia
The Purge: Anarchy,The Purge: Anarchy,4.9%,United Kingdom
Happy New Year,Happy New Year,98.4%,India
Women Who Flirt,Women Who Flirt,4.7%,Hong Kong
Yi Sheng Yi Shi,Yi Sheng Yi Shi,,
A Walk Among the Tombstones,A Walk Among the Tom,,
Bang Bang,Bang Bang,83.7%,India
"Alexander and the Terrible, Horrible, No Good, …",Alexander and the Te,17.1%,Australia
"My Love, Don't Cross That River","My Love, Don't Cross",100.0%,South Korea
Suffragette,Suffragette,42.4%,United Kingdom
Boyhood,Boyhood,8.1%,Germany
Mrs Brown's Boys D'Movie,Mrs Brown's Boys D'M,75.8%,United Kingdom
The Water Diviner,The Water Diviner,38.0%,Australia
Singham Returns,Singham Returns,99.2%,India
Yeok-rin,Yeok-rin,,
Sai yau gei: Sin leui kei yun,Sai yau gei: Sin leu,100.0%,China
The Judge,The Judge,10.4%,Taiwan
Sin-ui Hansu,Sin-ui Hansu,,South Korea
Muppets Most Wanted,Muppets Most Wanted,45.1%,United Kingdom
If I Stay,If I Stay,9.3%,Australia
That Awkward Moment,That Awkward Moment,3.8%,Russia (CIS)
Sin City: A Dame to Kill For,Sin City: A Dame to ,,
Whiplash,Whiplash,39.9%,South Korea
Tinker Bell and the Legend of the Neverbeast,Tinker Bell and the ,16.5%,United Kingdom
Grace of Monaco,Grace of Monaco,7.1%,Russia (CIS)
Relatos salvajes,Relatos salvajes,21.8%,Spain
Magic in the Moonlight,Magic in the Moonlig,11.7%,Australia
Her,Her,11.3%,South Korea
Fading Gigolo,Fading Gigolo,27.5%,Italy
The Giver,The Giver,7.2%,Australia
Mr. Turner,Mr. Turner,44.2%,United Kingdom
El Nino,El Nino,100.0%,Spain
"As Above, So Below","As Above, So Below",,
Devil's Due,Devil's Due,2.6%,Venezuela
Tarzan,Tarzan,19.9%,South Korea
Ride Along,Ride Along,,
The Railway Man,The Railway Man,3.0%,Spain
A Most Wanted Man,A Most Wanted Man,6.8%,Australia
Gooische Vrouwen II,Gooische Vrouwen II,100.0%,Netherlands
Jersey Boys,Jersey Boys,38.3%,Australia
Ki-sool-ja-deul,Ki-sool-ja-deul,100.0%,South Korea
Nightcrawler,Nightcrawler,10.5%,Australia
Shiwan Ge Lengxiaohua,Shiwan Ge Lengxiaohu,100.0%,China
Winter’s Tale,Winter’s Tale,,
Oculus,Oculus,11.6%,United Kingdom
Before I Go to Sleep,Before I Go to Sleep,3.0%,Venezuela
Dolphin Tale 2,Dolphin Tale 2,,
Chef,Chef,16.1%,United Kingdom
"Il Ricco, il Povero e il Maggiordomo","Il Ricco, il Povero ",100.0%,Italy
Snezhnaya koroleva 2,Snezhnaya koroleva 2,34.2%,China
Shingeki no kyojin endo obu za wârudo,Shingeki no kyojin e,88.7%,Japan
Les vacances du petit Nicolas,Les vacances du peti,86.5%,France
Wild,Wild,15.4%,Australia
The Best of Me,The Best of Me,11.6%,Australia
Mommy,Mommy,3.0%,South Korea
Torrente 5. Operación Eurovegas,Torrente 5. Operació,100.0%,Spain
Calvary,Calvary,17.0%,Australia
The Salt of the Earth,The Salt of the Eart,17.3%,Italy
Big Eyes,Big Eyes,12.8%,France
Sous les jupes des filles,Sous les jupes des f,88.9%,France
The Pyramid,The Pyramid,12.6%,France
Tammy,Tammy,46.3%,Germany
La French,La French,97.4%,France
Legends of Oz: Dorothy’s Return,Legends of Oz: Dorot,12.8%,South Korea
Bogowie,Bogowie,99.9%,Poland
"Nativity 3: Dude, Where's My Donkey?","Nativity 3: Dude, Wh",98.3%,United Kingdom
Ida,Ida,5.5%,Spain
The Lunchbox,The Lunchbox,11.7%,Australia
Endless Love,Endless Love,,
Son of God,Son of God,5.0%,Taiwan
My Old Lady,My Old Lady,18.6%,Australia
Samba,Samba,22.8%,Spain
Maya the Bee,Maya the Bee,57.0%,France
Yolki 1914,Yolki 1914,100.0%,Russia (CIS)
St. Vincent,St. Vincent,23.4%,Australia
Pek Yakinda,Pek Yakinda,100.0%,Turkey
