Movie,trunc,Share Of Number One Market,Number One Market
Gekijōban Poketto Monsutā Adobansu Jenerēshon M…,Gekijōban Poketto Mo,,
Lord of War,Lord of War,,
Nana,Nana,,
White Noise,White Noise,3.6%,Australia
Brice de Nice,Brice de Nice,,
Jarhead,Jarhead,,
The Longest Yard,The Longest Yard,24.2%,Australia
Guess Who,Guess Who,9.0%,Australia
Elektra,Elektra,12.0%,Australia
The Family Stone,The Family Stone,,
Doom,Doom,,
Zathura,Zathura,,
The Adventures of Sharkboy and Lavagirl in 3-D,The Adventures of Sh,,
A History of Violence,A History of Violenc,,
The Dukes of Hazzard,The Dukes of Hazzard,,
Aeon Flux,Aeon Flux,,
George A. Romero's Land of the Dead,George A. Romero's L,,
Broken Flowers,Broken Flowers,,
9th Company,9th Company,,
"Good Night, and Good Luck","Good Night, and Good",,
Casanova,Casanova,,
Oliver Twist,Oliver Twist,,
Danny the Dog,Danny the Dog,,
Dark Water,Dark Water,,
Elizabethtown,Elizabethtown,,
Into the Blue,Into the Blue,,
Deuce Bigalow: European Gigolo,Deuce Bigalow: Europ,,
Derailed,Derailed,,
Capote,Capote,,
Boogeyman,Boogeyman,1.0%,Australia
A Lot Like Love,A Lot Like Love,4.1%,Australia
Ong-Bak,Ong-Bak,1.8%,Australia
Sky High,Sky High,,
"Yours, Mine and Ours","Yours, Mine and Ours",,
Bride & Prejudice,Bride & Prejudice,16.7%,Australia
Four Brothers,Four Brothers,,
Mrs. Henderson Presents,Mrs. Henderson Prese,,
Caché,Caché,,
Assault On Precinct 13,Assault On Precinct ,6.6%,Australia
Melinda and Melinda,Melinda and Melinda,2.0%,Australia
Wild Safari 3D,Wild Safari 3D,1.3%,Australia
Get Rich or Die Tryin',Get Rich or Die Tryi,,
The Wedding Date,The Wedding Date,9.5%,Australia
Are We There Yet?,Are We There Yet?,15.4%,Australia
Serenity,Serenity,0.0%,New Zealand
Must Love Dogs,Must Love Dogs,,
The World's Fastest Indian,The World's Fastest ,0.0%,Australia
The Producers: The Movie Musical,The Producers: The M,,
The New World,The New World,,
Domino,Domino,,
Wolf Creek,Wolf Creek,1.0%,Australia
"Kiss Kiss, Bang Bang","Kiss Kiss, Bang Bang",0.0%,New Zealand
Ladies in Lavender,Ladies in Lavender,20.3%,Australia
The Cave,The Cave,,
Mindhunters,Mindhunters,,
Just Friends,Just Friends,,
The Upside of Anger,The Upside of Anger,27.0%,Australia
