Movie,trunc,Share Of Number One Market,Number One Market
The Mechanic,The Mechanic,0.1%,Ecuador
Meitantei Conan: Chinmoku no kuôtâ,Meitantei Conan: Chi,,Japan
Drive,Drive,6.7%,Spain
Insidious,Insidious,,
One Day,One Day,3.4%,South Korea
"Big Mommas: Like Father, Like Son",Big Mommas: Like Fat,,
The Help,The Help,11.8%,Australia
The Darkest Hour,The Darkest Hour,1.7%,Venezuela
We Bought a Zoo,We Bought a Zoo,12.4%,Japan
Des Hommes et Des Dieux,Des Hommes et Des Di,,
Spy Kids: All the Time in the World,Spy Kids: All the Ti,,
Hall Pass,Hall Pass,,
Conan the Barbarian,Conan the Barbarian,0.2%,Vietnam
Ra. One,Ra. One,69.1%,India
Killer Elite,Killer Elite,2.4%,Italy
Overheard 2,Overheard 2,,
The Change-Up,The Change-Up,,
Redi,Redi,,
The Ides of March,The Ides of March,,
Colombiana,Colombiana,,
Moneyball,Moneyball,9.6%,Australia
Carnage,Carnage,1.8%,Japan
Die Welle,Die Welle,,
Shaolin,Shaolin,,
La piel que habito,La piel que habito,1.2%,Australia
"Na xie nian, wo men yi qi zhui de nv hai","Na xie nian, wo men ",2.9%,South Korea
Gantz: Perfect Answer,Gantz: Perfect Answe,,
Potiche,Potiche,1.6%,Australia
Wan-deuk-i,Wan-deuk-i,,South Korea
Bai she chuan shuo,Bai she chuan shuo,81.7%,China
Ready,Ready,100.0%,India
"Vysotsky. Spasibo, Chto Zhivoi","Vysotsky. Spasibo, C",,
Don 2,Don 2,,
Drive Angry,Drive Angry,,
The Lincoln Lawyer,The Lincoln Lawyer,0.1%,Ecuador
Do-ga-ni,Do-ga-ni,,South Korea
Singham,Singham,,
Huà Bì,Huà Bì,,China
Jing mo fung wan: Chen Zhen,Jing mo fung wan: Ch,,
Zindagi Na Milegi Dobara,Zindagi Na Milegi Do,0.3%,Hong Kong
Something Borrowed,Something Borrowed,0.0%,Bolivia
Justin Bieber: Never Say Never,Justin Bieber: Never,,
Larry Crowne,Larry Crowne,,
Qiàn Nǚ Yōu Hún,Qiàn Nǚ Yōu Hún,76.7%,China
Hanna,Hanna,,
Ivan Tsarevich i Seryy Volk,Ivan Tsarevich i Ser,,Russia (CIS)
Eiga Kaibutsu-kun,Eiga Kaibutsu-kun,,Japan
Anfea: The Answer,Anfea: The Answer,,Japan
The Way Back,The Way Back,0.6%,Italy
Dolphin Tale,Dolphin Tale,6.4%,Brazil
Winnie the Pooh,Winnie the Pooh,5.8%,Germany
Moteki,Moteki,,Japan
Extremely Loud and Incredibly Close,Extremely Loud and I,33.9%,Spain
Jane Eyre,Jane Eyre,30.1%,United Kingdom
Les femmes du 6ème étage,Les femmes du 6ème é,,Canada
Habemus Papam,Habemus Papam,2.6%,Brazil
Fright Night,Fright Night,,
The Dilemma,The Dilemma,,
7 gwanggu,7 gwanggu,,South Korea
Monsieur Lazhar,Monsieur Lazhar,62.9%,Norway
Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid,,
Pina,Pina,27.6%,Germany
Red Dog,Red Dog,77.0%,Australia
Friends Mononoke-jima no Naki,Friends Mononoke-jim,18.2%,South Korea
Dream House,Dream House,2.3%,Italy
Gekijoban Kamen Raida Ozu Wandafuru: Shogun to …,Gekijoban Kamen Raid,,
Rubbeldiekatz,Rubbeldiekatz,,Germany
My Week with Marilyn,My Week with Marilyn,6.1%,Italy
Biutiful,Biutiful,,
The Eagle,The Eagle,,
Andarushia: Megami No Houfuku,Andarushia: Megami N,,
The Heir Apparent: Largo Winch,The Heir Apparent: L,,
Melancholia,Melancholia,2.3%,Australia
Delhi Belly,Delhi Belly,0.3%,Hong Kong
Desert Flower,Desert Flower,,
Mars Needs Moms,Mars Needs Moms,,
Jûsan-nin no shikaku,Jûsan-nin no shikaku,,
Elle s'appelait Sarah,Elle s'appelait Sara,,
Gaku: Minna no Yama,Gaku: Minna no Yama,,
Rockstar,Rockstar,0.0%,United Kingdom
Jodaeiye Nader az Simin,Jodaeiye Nader az Si,,
Monte Carlo,Monte Carlo,5.5%,Venezuela
Shame,Shame,8.7%,Spain
What's Your Number?,What's Your Number?,2.5%,Venezuela
Purinsesu Toyotomi,Purinsesu Toyotomi,,
Cai Shen Ke Zhan,Cai Shen Ke Zhan,,
The Guard,The Guard,8.9%,Spain
Blitz,Blitz,,
Murder 2,Murder 2,,
The Debt,The Debt,0.3%,Uruguay
The Roommate,The Roommate,,
Double Dhamaal,Double Dhamaal,,
Paradaisu Kisu,Paradaisu Kisu,,
Don't Be Afraid of the Dark,Don't Be Afraid of t,10.2%,Italy
Margin Call,Margin Call,12.1%,Australia
Baarìa,Baarìa,,
Haevnen,Haevnen,0.2%,Peru
I Don't Know How She Does It,I Don't Know How She,0.6%,Venezuela
Arthur,Arthur,,
Les Émotifs anonymes,Les Émotifs anonymes,3.1%,Australia
Case départ,Case départ,,
Cilada.com,Cilada.com,95.3%,Brazil
Los ojos de Julia,Los ojos de Julia,,
Thank You,Thank You,,
Mere Brother Ki Dulhan,Mere Brother Ki Dulh,,
Plastic Planet,Plastic Planet,100.0%,Spain
Beul-la-in-deu,Beul-la-in-deu,,
Hoodwinked Too: Hood vs. Evil,Hoodwinked Too: Hood,,
Hanyo,Hanyo,,
Akmareul Boatda (악마를 보았다),Akmareul Boatda ( ),,
Aarakshan,Aarakshan,,
Le Havre,Le Havre,6.6%,Spain
Crayon Shin-chan Arashi wo Yobu Ougon no Spy Da…,Crayon Shin-chan Ara,,
L'élève Ducobu,L'élève Ducobu,,
Ma-dang-eul Na-on Am-talk,Ma-dang-eul Na-on Am,100.0%,South Korea
Last Night,Last Night,,
Gu Dao Jing Hun,Gu Dao Jing Hun,,
"Titeuf, Le Film","Titeuf, Le Film",,
Sluzhebnyy roman. Nashye vryemya,Sluzhebnyy roman. Na,,
Teen Maar,Teen Maar,,
Anonymous,Anonymous,,
Assalto ao Banco Central,Assalto ao Banco Cen,,
Footloose,Footloose,,Germany
Dum Maaro Dum,Dum Maaro Dum,,
Zhan Guo,Zhan Guo,,
The Thing,The Thing,17.7%,United Kingdom
Warrior,Warrior,1.0%,Venezuela
Love in Space,Love in Space,,
Born to be Wild 3D,Born to be Wild 3D,11.9%,Australia
Beastly,Beastly,1.0%,Ecuador
Yokame no semi,Yokame no semi,,
