Movie,trunc,Share Of Number One Market,Number One Market
Posledniy bogatyr 3,Posledniy bogatyr 3,100.0%,Russia (CIS)
Ron’s Gone Wrong,Ron’s Gone Wrong,16.6%,United Kingdom
Nomadland,Nomadland,12.2%,France
Mi Mi Fang Ke,Mi Mi Fang Ke,99.3%,China
Posledniy bogatyr. Koren’ Zla,Posledniy bogatyr. K,100.0%,Russia (CIS)
The Forever Purge,The Forever Purge,14.7%,United Kingdom
The French Dispatch,The French Dispatch,16.6%,United Kingdom
Boku no Hero Academia: World Heroes’ Mission,Boku no Hero Academi,89.3%,Japan
Nobody,Nobody,16.2%,Saudi Arabia
Escape from Mogadishu (모가디슈),Escape from Mogadish,99.5%,South Korea
The Hitman’s Wife’s Bodyguard,The Hitman’s Wife’s ,18.2%,Australia
Escape Room: Tournament of Champions,Escape Room: Tournam,40.6%,China
Nightmare Alley,Nightmare Alley,14.8%,Russia (CIS)
Wish Dragon,Wish Dragon,100.0%,China
Antlers,Antlers,37.2%,Russia (CIS)
Resident Evil: Welcome to Raccoon City,Resident Evil: Welco,20.9%,Japan
Ran Ye Shao Nian De Tian Kong (燃野少年的天空)…,Ran Ye Shao Nian De ,100.0%,China
Spirit Untamed,Spirit Untamed,19.1%,United Kingdom
King Richard,King Richard,9.7%,Australia
Guan Yu Wo Ma De Yi Qie,Guan Yu Wo Ma De Yi ,100.0%,China
Qi Pao,Qi Pao,100.0%,China
Tie Dao Ying Xiong (铁道英雄),Tie Dao Ying Xiong (,99.9%,China
Never Stop,Never Stop,99.9%,China
Island Keeper,Island Keeper,100.0%,China
Kaamelott Premier volet,Kaamelott Premier vo,100.0%,France
Malignant,Malignant,10.2%,Spain
Rurôni Kenshin: Sai shûshô — The Beginning,Rurôni Kenshin: Sai ,100.0%,Japan
Ge Ming Zhe,Ge Ming Zhe,100.0%,China
Eiga Kureyon Shin-chan: Nazo Meki! Hana no Tenk…,Eiga Kureyon Shin-ch,65.3%,Japan
As Long As We Both Shall Live,As Long As We Both S,100.0%,Japan
The Last Duel,The Last Duel,17.9%,France
The Tomorrow War,The Tomorrow War,100.0%,China
Konyek Gorbunok,Konyek Gorbunok,100.0%,Russia (CIS)
Kidô senshi Gandamu: Senkô no Hasauei,Kidô senshi Gandamu:,100.0%,Japan
Singkeuhol (싱크홀),Singkeuhol (),96.9%,South Korea
Hotel Transylvania: Transformania,Hotel Transylvania: ,100.0%,China
Le loup et le lion,Le loup et le lion,14.2%,Italy
Mei Yanfang (梅艷芳),Mei Yanfang (),99.3%,China
Monkey King Reborn,Monkey King Reborn,100.0%,China
After We Fell,After We Fell,28.8%,Germany
The Dry,The Dry,90.4%,Australia
Ji Hun,Ji Hun,100.0%,China
The Arctic: Our Last Great Wilderness,The Arctic: Our Last,100.0%,China
Kua Guo Ya Lu Jiang (跨过鸭绿江),Kua Guo Ya Lu Jiang ,100.0%,China
Spiral,Spiral,13.4%,United Kingdom
Verdens verste menneske,Verdens verste menne,7.4%,United Kingdom
Candyman,Candyman,40.1%,United Kingdom
Gintama: The Final,Gintama: The Final,98.2%,Japan
Licorice Pizza,Licorice Pizza,22.2%,United Kingdom
The Little Things,The Little Things,27.8%,Australia
The Unholy,The Unholy,39.9%,Mexico
In the Heights,In the Heights,40.8%,United Kingdom
Yang Guang Jie Mei Tao,Yang Guang Jie Mei T,100.0%,China
Don’t Breathe 2,Don’t Breathe 2,14.2%,Spain
New Happy Dad and Son 4,New Happy Dad and So,100.0%,China
Pei Ni Hen Jiu Hen Jiu,Pei Ni Hen Jiu Hen J,100.0%,China
Ironbark,Ironbark,24.8%,Australia
Chaos Walking,Chaos Walking,21.3%,Australia
BAC Nord,BAC Nord,100.0%,France
OSS 117: Alerte rouge en Afrique noire,OSS 117: Alerte roug,99.5%,France
Injil (인질),Injil (),100.0%,South Korea
Doraibu mai kâ,Doraibu mai kâ,66.8%,Japan
Extinct,Extinct,46.6%,China
Character,Character,99.6%,Japan
Reminiscence,Reminiscence,14.4%,Russia (CIS)
Last Night in Soho,Last Night in Soho,23.0%,United Kingdom
Zhu Zhu Xia Da Dian Ying Kong Long Ri Ji,Zhu Zhu Xia Da Dian ,99.7%,China
Master,Master,93.7%,India
Those Who Wish Me Dead,Those Who Wish Me De,20.9%,Australia
Di Shi Yi Hui,Di Shi Yi Hui,99.6%,China
Respect,Respect,25.7%,United Kingdom
The Fable: Chapter Two,The Fable: Chapter T,100.0%,Japan
AINBO: Spirit of the Amazon,AINBO: Spirit of the,26.3%,Mexico
Realm of Terracotta,Realm of Terracotta,99.9%,China
Knock Knock (不速来客),Knock Knock (),100.0%,China
Ba Yue Wei Yang,Ba Yue Wei Yang,100.0%,China
Kaiserschmarrndrama,Kaiserschmarrndrama,100.0%,Germany
Gekijôban: Okusama wa toriatsukai chûi,Gekijôban: Okusama w,100.0%,Japan
Wu Ge Pu Shui De Shao Nian,Wu Ge Pu Shui De Sha,100.0%,China
Di yi lu Xiang,Di yi lu Xiang,100.0%,China
