Movie,trunc,Share Of Number One Market,Number One Market
Children of Men,Children of Men,0.4%,South Korea
Bambi II,Bambi II,,
Firewall,Firewall,,
Notes on a Scandal,Notes on a Scandal,,
Lucky Number Slevin,Lucky Number Slevin,,
Miss Potter,Miss Potter,,
Nochnoy dozor,Nochnoy dozor,,
The Grudge 2,The Grudge 2,,
The Last King of Scotland,The Last King of Sco,23.3%,United Kingdom
The Descent,The Descent,0.0%,New Zealand
Krrish,Krrish,,
Tom yum goong,Tom yum goong,,
Take the Lead,Take the Lead,,
Tazza: The High Rollers,Tazza: The High Roll,100.0%,South Korea
Lady in the Water,Lady in the Water,,
Flags of Our Fathers,Flags of Our Fathers,,
7 Zwerge - Der Wald Ist Nicht Genug,7 Zwerge - Der Wald ,,
Scoop,Scoop,1.2%,South Korea
Basic Instinct 2,Basic Instinct 2,,
Taepung,Taepung,,
Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Keh,,
Lage Raho Munna Bhai,Lage Raho Munna Bhai,,
An Inconvenient Truth,An Inconvenient Trut,,
16 Blocks,16 Blocks,,
The Hills Have Eyes,The Hills Have Eyes,0.0%,New Zealand
Snakes on a Plane,Snakes on a Plane,,
John Tucker Must Die,John Tucker Must Die,,
Rang De Basanti,Rang De Basanti,,
The Black Dahlia,The Black Dahlia,,
The Shaggy Dog,The Shaggy Dog,,
Indigènes,Indigènes,,
Kurtlar vadisi - Irak,Kurtlar vadisi - Ira,,
The Wind That Shakes the Barley,The Wind That Shakes,20.5%,United Kingdom
Russian Dolls,Russian Dolls,,
Goal! The Dream Begins,Goal! The Dream Begi,,
Chinjeolhan geumjassi,Chinjeolhan geumjass,,
The Santa Clause 3: The Escape Clause,The Santa Clause 3: ,,
Joyeux Noël,Joyeux Noël,,
The Ant Bully,The Ant Bully,,
She's the Man,She's the Man,,
Just My Luck,Just My Luck,,
Hanbando,Hanbando,,
Doogal,Doogal,,
Alex Rider: Operation Stormbreaker,Alex Rider: Operatio,,
When a Stranger Calls,When a Stranger Call,,
Bandidas,Bandidas,,
Nacho Libre,Nacho Libre,,
Keeping Mum,Keeping Mum,,
Crank,Crank,,
R.V.,R.V.,,
Marrying the Mafia III,Marrying the Mafia I,,
Thank You For Smoking,Thank You For Smokin,,
Trick: The Movie 2,Trick: The Movie 2,,
The Covenant,The Covenant,,
Deutschland: Ein Sommermarchen,Deutschland: Ein Som,,
Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: Th,,
An American Haunting,An American Haunting,,
Fanaa,Fanaa,,
The Wicker Man,The Wicker Man,,
Sophie Scholl - Die letzten Tage,Sophie Scholl - Die ,,
Stranger Than Fiction,Stranger Than Fictio,,
Maundy Thursday,Maundy Thursday,,
Urmel aus dem Eis,Urmel aus dem Eis,,
Jackass: Number Two,Jackass: Number Two,,
Ultraviolet,Ultraviolet,,
Curious George,Curious George,,
Kureyon Shinchan: Arashi o Yobu: Utau Ketsudake…,Kureyon Shinchan: Ar,,
Deck the Halls,Deck the Halls,,
Hui Buh - Das Schlossgespenst,Hui Buh - Das Schlos,,
The Texas Chainsaw Massacre: The Beginning,The Texas Chainsaw M,,
The History Boys,The History Boys,,
A Dirty Carnival,A Dirty Carnival,,
La science des rêves,La science des rêves,3.7%,South Korea
Banlieue 13,Banlieue 13,,
