Movie,trunc,Share Of Number One Market,Number One Market
On His Majesty's Secret Service,On His Majesty's Sec,,
Year One,Year One,,
The Invention of Lying,The Invention of Lyi,,
The Uninvited,The Uninvited,,
The Last House on the Left,The Last House on th,,
Chasseurs de dragons,Chasseurs de dragons,,
Wanted,Wanted,,
New in Town,New in Town,,
Two Lovers,Two Lovers,,
Love Happens,Love Happens,,
Thirst,Thirst,100.0%,South Korea
Thirst,Thirst,100.0%,South Korea
Bright Star,Bright Star,,
"McDull, Kung Fu Kindergarten","McDull, Kung Fu Kind",100.0%,China
My Life in Ruins,My Life in Ruins,,
Katyn,Katyn,,
Nae sarang nae gyeotae,Nae sarang nae gyeot,,
Doroppu,Doroppu,,
"Hexe Lilli, der Drache und das magische Buch","Hexe Lilli, der Drac",,
Jonas Brothers: The 3D Concert Experience,Jonas Brothers: The ,,
De Dana Dan,De Dana Dan,,
Garfield's Pet Force,Garfield's Pet Force,,
Faubourg 36,Faubourg 36,,
Bad Lieutenant: Port of Call New Orleans,Bad Lieutenant: Port,,
Under the Sea 3D,Under the Sea 3D,25.9%,Australia
Lyubov v bolshom gorode,Lyubov v bolshom gor,,
Rudo y Cursi,Rudo y Cursi,,
