Movie,trunc,Share Of Number One Market,Number One Market
Ji Jie Hao,Ji Jie Hao,,
Welcome,Welcome,,
Blades of Glory,Blades of Glory,,
Sea Monsters: A Prehistoric Adventure,Sea Monsters: A Preh,,
Doraemon: Nobita's Great Adventure into the Und…,Doraemon: Nobita's G,,
Because I Said So,Because I Said So,,
We Own the Night,We Own the Night,,
Love in the Time of Cholera,Love in the Time of ,,
License to Wed,License to Wed,,
Fred Claus,Fred Claus,,
Good Luck Chuck,Good Luck Chuck,,
A Tale of Mari and Three Puppies,A Tale of Mari and T,,
Grindhouse,Grindhouse,,
The Invasion,The Invasion,,
Bushi no ichibun,Bushi no ichibun,,
Lissi und der wilde Kaiser,Lissi und der wilde ,,
[Rec],[Rec],41.0%,Spain
The Darjeeling Limited,The Darjeeling Limit,0.3%,South Korea
The Seeker: The Dark is Rising,The Seeker: The Dark,,
Alatriste,Alatriste,,
Zwartboek,Zwartboek,,
Happily N'Ever After,Happily N'Ever After,,
Smokin' Aces,Smokin' Aces,,
Arn - Tempelriddaren,Arn - Tempelriddaren,,
Underdog,Underdog,,
The Banquet,The Banquet,,
Persepolis,Persepolis,0.4%,South Korea
Partner,Partner,,
Le Grand Chef,Le Grand Chef,,
Becoming Jane,Becoming Jane,5.6%,South Korea
Pathfinder,Pathfinder,,
The Nanny Diaries,The Nanny Diaries,,
Ho Voglia Di Te,Ho Voglia Di Te,,
The Last Legion,The Last Legion,,
Halloween,Halloween,,
Saawariya,Saawariya,,
Detective Conan: Jolly Roger in Deep Azure,Detective Conan: Jol,8.5%,South Korea
Awake,Awake,,
The Messengers,The Messengers,,
War,War,,
Dan in Real Life,Dan in Real Life,,
Before the Devil Knows You're Dead,Before the Devil Kno,,
In the Valley of Elah,In the Valley of Ela,,
Unfair: The Movie,Unfair: The Movie,,
3:10 to Yuma,3:10 to Yuma,,
Mr. Brooks,Mr. Brooks,,
Gegege No Kitarô,Gegege No Kitarô,,
Alpha Dog,Alpha Dog,,
Rendition,Rendition,,
Heyy Babyy,Heyy Babyy,,
Le Scaphandre et le Papillon,Le Scaphandre et le ,1.0%,South Korea
Kurôzu zero,Kurôzu zero,,
The Hills Have Eyes II,The Hills Have Eyes ,,
Miracle on 1st Street,Miracle on 1st Stree,,
Reservation Road,Reservation Road,,
Die Wilden Kerle 4,Die Wilden Kerle 4,,
Bratz,Bratz,,
Hostel: Part II,Hostel: Part II,,
Maiko haaaan!!!,Maiko haaaan!!!,,
Paradise Murdered,Paradise Murdered,,
The Reef,The Reef,,
Matrimonio alle Bahamas,Matrimonio alle Baha,,
Going by the Book,Going by the Book,,
Stomp the Yard,Stomp the Yard,,
"Gone, Baby, Gone","Gone, Baby, Gone",,
Shoot 'Em Up,Shoot 'Em Up,,
Bhool Bhulaiyaa,Bhool Bhulaiyaa,,
Seven Days,Seven Days,,
Chak De India,Chak De India,,
Once,Once,10.3%,South Korea
A Love,A Love,,
Boy s tenyu 2,Boy s tenyu 2,,
Le Coeur des hommes 2,Le Coeur des hommes ,,
Sicko,Sicko,,
Warum Männer nicht zuhören und Frauen schlecht …,Warum Männer nicht z,,
Saekjeuk shigong 2,Saekjeuk shigong 2,,
The Assassination of Jesse James by the Coward …,The Assassination of,,
Beyaz Melek,Beyaz Melek,,
Tokyo Tower: Mom and Me and Sometimes Dad,Tokyo Tower: Mom and,2.8%,South Korea
La Tourneuse de Pages,La Tourneuse de Page,,
Amazing Grace,Amazing Grace,,
Tengoku de kimi ni aetara,Tengoku de kimi ni a,,
Kabadayi,Kabadayi,,
Taare Zameen Par,Taare Zameen Par,,
Lubov Morkov,Lubov Morkov,,
Deux jours à Paris,Deux jours à Paris,,
Milyang,Milyang,78.6%,South Korea
