Movie,trunc,Share Of Number One Market,Number One Market
Bongodong Jeontoo,Bongodong Jeontoo,99.9%,South Korea
Nappeun Nyeoseokdeul: Deo Moobi,Nappeun Nyeoseokdeul,100.0%,South Korea
Tonde Saitama,Tonde Saitama,100.0%,Japan
Kioku ni Gozaimasen,Kioku ni Gozaimasen,100.0%,Japan
Da Yue Zai Dong Ji,Da Yue Zai Dong Ji,99.9%,China
Hellboy,Hellboy,41.1%,China
Liang Zhi Lao Hu,Liang Zhi Lao Hu,99.5%,China
The Queen's Corgi,The Queen's Corgi,21.9%,France
Shou Yi Ren,Shou Yi Ren,99.9%,China
Nan Fang Che Zhan De Ju Hui,Nan Fang Che Zhan De,94.3%,China
Cold Pursuit,Cold Pursuit,12.0%,Mexico
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû…,Gekijô-ban poketto m,89.6%,Japan
Bombshell,Bombshell,12.8%,Australia
Yi wen ding qing,Yi wen ding qing,88.6%,China
Pinocchio,Pinocchio,62.4%,Italy
The Grudge,The Grudge,6.9%,Russia (CIS)
Good Boys,Good Boys,19.2%,Germany
Ready or Not,Ready or Not,13.3%,France
82 nyeonsaeng kimjiyeong,82 nyeonsaeng kimjiy,94.1%,South Korea
Ban Ge Xi Ju,Ban Ge Xi Ju,100.0%,China
Bloodshot,Bloodshot,24.0%,China
Hello World,Hello World,82.5%,China
Akinjeon,Akinjeon,97.3%,South Korea
47 Meters Down: Uncaged,47 Meters Down: Unca,27.1%,China
Chen Mo Zheng Ren,Chen Mo Zheng Ren,100.0%,China
Anna,Anna,21.3%,France
Tian Huo Wei Qing,Tian Huo Wei Qing,99.7%,China
Don,Don,100.0%,South Korea
Nous finirons ensemble,Nous finirons ensemb,94.9%,France
Zhi You Yun Zhi Dao,Zhi You Yun Zhi Dao,99.4%,China
Long Shot,Long Shot,13.6%,United Kingdom
Gekijoban Ossan zu Rabu Love or Dead,Gekijoban Ossan zu R,100.0%,Japan
Sidong,Sidong,100.0%,South Korea
Shéntàn púsōng líng,Shéntàn púsōng líng,99.5%,China
Richard Jewell,Richard Jewell,25.6%,France
A Rainy Day in New York,A Rainy Day in New Y,19.2%,France
Underwater,Underwater,12.7%,Indonesia
Kajang Botongui Yeonae,Kajang Botongui Yeon,100.0%,South Korea
Judy,Judy,55.2%,United Kingdom
Malmoi,Malmoi,100.0%,South Korea
Yedinci Koğuştaki Mucize,Yedinci Koğuştaki Mu,78.2%,Turkey
Gekijouban Fate/Stay Night: Heaven's Feel - II.…,Gekijouban Fate/Stay,60.9%,Japan
Hors normes,Hors normes,84.2%,France
Midsommar,Midsommar,32.6%,Japan
Les invisibles,Les invisibles,55.2%,France
Xia Yi Ren: Qian Ren,Xia Yi Ren: Qian Ren,99.8%,China
J’accuse,J’accuse,63.2%,France
Fighting With My Family,Fighting With My Fam,41.6%,United Kingdom
Xiao zhu pei qi guo da nian,Xiao zhu pei qi guo ,100.0%,China
Les misérables,Les misérables,92.7%,France
Kaguya-sama: Love Is War,Kaguya-sama: Love Is,100.0%,Japan
Crayon Shin-chan: Honeymoon Hurricane - The Los…,Crayon Shin-chan: Ho,95.7%,Japan
"Paw Patrol: Ready, Race, Rescue!","Paw Patrol: Ready, R",53.5%,China
Beullaekmeoni,Beullaekmeoni,100.0%,South Korea
The Upside,The Upside,19.2%,China
Politseyskiy s Rublyovki. Novogodniy bespredel 2,Politseyskiy s Rubly,98.7%,Russia (CIS)
Lian Zheng Feng Yun,Lian Zheng Feng Yun,99.7%,China
Jeungin,Jeungin,100.0%,South Korea
Padre no hay mas que uno,Padre no hay mas que,98.8%,Spain
No Manches Frida 2,No Manches Frida 2,100.0%,Mexico
Il Primo Natale,Il Primo Natale,99.6%,Italy
Shang Hai Bao Lei,Shang Hai Bao Lei,100.0%,China
Jue Sheng Shi Ke,Jue Sheng Shi Ke,100.0%,China
Playing with Fire,Playing with Fire,23.9%,United Kingdom
The Good Liar,The Good Liar,31.1%,United Kingdom
Countdown,Countdown,19.0%,France
Sabaha,Sabaha,100.0%,South Korea
Boku no Hīrō Akademia The Movie Hīrōzu: Raijing…,Boku no Hīrō Akademi,91.7%,Japan
Xiao Q,Xiao Q,100.0%,China
tajja: won aidey jaek,tajja: won aidey jae,99.9%,South Korea
Archimedes no Taisen,Archimedes no Taisen,100.0%,Japan
Prityazhenie 2,Prityazhenie 2,97.9%,Russia (CIS)
Nanatsu no kaigi,Nanatsu no kaigi,100.0%,Japan
Shinui Han Soo: Gwisoopyeon,Shinui Han Soo: Gwis,100.0%,South Korea
BrightBurn,BrightBurn,10.1%,Mexico
Trouble,Trouble,17.1%,Poland
Au nom de la terre,Au nom de la terre,99.2%,France
Nada a Perder 2,Nada a Perder 2,89.2%,Brazil
MA,MA,15.2%,France
What Men Want,What Men Want,25.3%,Australia
The Fable,The Fable,100.0%,Japan
PLAYMOBIL,PLAYMOBIL,17.3%,France
Recep Ivedik 6,Recep Ivedik 6,76.7%,Turkey
Cui mian · cai jue,Cui mian · cai jue,95.3%,China
Just Mercy,Just Mercy,16.1%,France
Nicky Larson: Le Parfum De Cupidon,Nicky Larson: Le Par,86.8%,France
Naeaneui Geunom,Naeaneui Geunom,100.0%,South Korea
Total Dhamaal,Total Dhamaal,94.3%,India
Child’s Play,Child’s Play,20.1%,Mexico
Si yo fuera rico,Si yo fuera rico,100.0%,Spain
La vie scolaire,La vie scolaire,99.7%,France
La belle époque,La belle époque,66.8%,France
21 Bridges,21 Bridges,30.6%,China
Shu dan ying xiong,Shu dan ying xiong,100.0%,China
"Cheonmun: Modneunda, Doors to Heaven","Cheonmun: Modneunda,",100.0%,South Korea
bbaengban,bbaengban,99.9%,South Korea
Mientras dure la guerra,Mientras dure la gue,93.3%,Spain
"Misz masz, czyli kogel-mogel 3","Misz masz, czyli kog",98.3%,Poland
Dabangg 3,Dabangg 3,87.5%,India
Friend Zone,Friend Zone,56.7%,China
Byeonsin,Byeonsin,99.7%,South Korea
Lo dejo cuando a quiera,Lo dejo cuando a qui,100.0%,Spain
Donne moi des ailes,Donne moi des ailes,88.6%,France
Le chant du loup,Le chant du loup,94.3%,France
UglyDolls,UglyDolls,10.4%,Mexico
Dark Waters,Dark Waters,27.7%,United Kingdom
City Hunter: Shinjuku Private Eyes,City Hunter: Shinjuk,99.9%,Japan
Jûni-nin no shinitai kodomo-tachi,Jûni-nin no shinitai,100.0%,Japan
Mirreyes contra Godinez,Mirreyes contra Godi,100.0%,Mexico
Girl Cops,Girl Cops,100.0%,South Korea
Quan zhi gao shou zhi dian feng rong yao,Quan zhi gao shou zh,100.0%,China
Fisherman's Friends,Fisherman's Friends,81.3%,United Kingdom
Good Newwz,Good Newwz,79.4%,India
Violet Evergarden Gaiden: Eien to Jidou Shuki N…,Violet Evergarden Ga,61.0%,China
Uta no Prince-sama - Maji Love Kingdom Movie,Uta no Prince-sama -,100.0%,Japan
Hotel Mumbai,Hotel Mumbai,19.8%,Australia
The Kid Who Would Be King,The Kid Who Would Be,41.1%,United Kingdom
Soyuz spaseniya,Soyuz spaseniya,100.0%,Russia (CIS)
Ma cosa ci dice il cervello,Ma cosa ci dice il c,50.3%,Italy
Yellow Rose,Yellow Rose,100.0%,China
Kalank,Kalank,84.8%,India
Doragon Kuesuto Yua Sutōrī,Doragon Kuesuto Yua ,100.0%,Japan
BTS World Tour: Love Yourself in Seoul,BTS World Tour: Love,26.1%,South Korea
The Courier,The Courier,46.8%,South Korea
Corpus Christi,Corpus Christi,74.5%,Poland
Saja,Saja,99.6%,South Korea
Polityka,Polityka,94.0%,Poland
No Longer Human,No Longer Human,100.0%,Japan
Promare,Promare,65.7%,Japan
Naui Teukbyeolhan Hyungje,Naui Teukbyeolhan Hy,100.0%,South Korea
Ženy v běhu,Ženy v běhu,92.3%,Czech Republic
Sorry We Missed You,Sorry We Missed You,35.3%,France
Bei Guang Zhua Zou De Ren,Bei Guang Zhua Zou D,100.0%,China
Leberkäsjunkie,Leberkäsjunkie,100.0%,Germany
Stuber,Stuber,9.9%,Russia (CIS)
