Movie,trunc,Share Of Number One Market,Number One Market
Killers of the Flower Moon,Killers of the Flowe,14.3%,United Kingdom
Pathaan,Pathaan,20.8%,India
Spy x Family Code: White,Spy x Family Code: W,47.0%,China
Cheburashka (Чебурашка),Cheburashka (Чебураш,100.0%,Russia (CIS)
Papa (学爸),Papa (),100.0%,China
TAYLOR SWIFT | THE ERAS TOUR,TAYLOR SWIFT | THE E,18.7%,United Kingdom
The Goldfinger (金手指),The Goldfinger (),99.3%,China
Last Suspect (拯救嫌疑人),Last Suspect (),99.9%,China
Evil Dead Rise,Evil Dead Rise,8.6%,United Kingdom
A Haunting in Venice,A Haunting in Venice,15.7%,United Kingdom
The Roundup: No Way Out (범죄도시3),The Roundup: No Way ,99.3%,South Korea
Poor Things,Poor Things,13.0%,Italy
Shazam! Fury of the Gods,Shazam! Fury of the ,13.5%,Mexico
Across the Furious Sea (涉过愤怒的海),Across the Furious S,100.0%,China
Gran Turismo: Based on a True Story,Gran Turismo: Based ,10.5%,Mexico
Saw X,Saw X,10.6%,United Kingdom
The Exorcist: Believer,The Exorcist: Believ,13.3%,Mexico
Sound of Freedom,Sound of Freedom,19.0%,Mexico
The Creator,The Creator,13.6%,United Kingdom
Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja,20.1%,United Kingdom
Scream VI,Scream VI,15.8%,United Kingdom
Dì Bā Gè Xián Yí Rén (第八个嫌疑人),Dì Bā Gè Xián Yí Rén,100.0%,China
Wǒ Ài Nǐ (我爱你!),Wǒ Ài Nǐ (!),100.0%,China
Blue Beetle,Blue Beetle,10.3%,Mexico
Jiāo Huàn Rén Shēng (交换人生),Jiāo Huàn Rén Shēng ,100.0%,China
I Did It My Way (潛行),I Did It My Way (),100.0%,China
The Pope’s Exorcist,The Pope’s Exorcist,18.0%,Mexico
Chá Ā Èr Zhōng (茶啊二中),Chá Ā Èr Zhōng (),100.0%,China
Big (816),Big (816),100.0%,China
Mummies,Mummies,12.8%,Spain
Haunted Mansion,Haunted Mansion,30.9%,Japan
C'è ancora domani,C'è ancora domani,82.7%,Italy
Godzilla Minus One (ゴジラ最新作),Godzilla Minus One (,76.8%,Japan
Doraemon the Movie: Nobita’s Sky Utopia (映画ドラえも…,Doraemon the Movie: ,67.6%,Japan
BTS: Yet to Come in Cinemas (방탄소년단 옛 투 컴 인 시네마)…,BTS: Yet to Come in ,40.3%,Japan
Zhè Me Duō Nián (这么多年),Zhè Me Duō Nián (),100.0%,China
The Zone of Interest,The Zone of Interest,19.6%,Germany
Anatomie d'une chute,Anatomie d'une chute,8.1%,China
Talk To Me,Talk To Me,14.4%,Mexico
Zhōng Quǎn Bā Gōng (忠犬八公),Zhōng Quǎn Bā Gōng (,98.1%,China
Demon Slayer: Kimetsu No Yaiba—To the Swordsmit…,Demon Slayer: Kimets,69.3%,Japan
Chāo Néng Yī Jiā Rén (超能一家人),Chāo Néng Yī Jiā Rén,100.0%,China
Shin Jigen! Crayon Shin-chan the Movie (しん次元！クレ…,Shin Jigen! Crayon S,42.6%,Japan
Only the River Flows (河边的错误),Only the River Flows,99.5%,China
Sǎo Dú 3 Rén Zài Tiān Yá (扫毒3:人在天涯)…,Sǎo Dú 3 Rén Zài Tiā,99.9%,China
Kingdom 3: The Flame of Destiny (キングダム 運命の炎)…,Kingdom 3: The Flame,99.9%,Japan
The Boogeyman,The Boogeyman,6.4%,France
Love Life Light (照明商店),Love Life Light (),100.0%,China
AIR,AIR,16.0%,Australia
Milsu (밀수),Milsu (),100.0%,South Korea
Expend4bles,Expend4bles,62.0%,China
Don’t Call It Mystery: The Movie (ミステリと言う勿れ)…,Don’t Call It Myster,99.9%,Japan
So Long for Love (再见，李可乐),So Long for Love (，),99.9%,China
Noryang: Deadly Sea (노량-죽음의 바다),Noryang: Deadly Sea ,99.8%,South Korea
No Hard Feelings,No Hard Feelings,15.1%,United Kingdom
TOKYO MER: Mobile Emergency Room: THE MOVIE (劇場…,TOKYO MER: Mobile Em,100.0%,Japan
Past Lives,Past Lives,10.9%,Italy
Bore (怒潮),Bore (),100.0%,China
Long Ma Jing Shen (龙马精神),Long Ma Jing Shen (),98.0%,China
Magic Mike’s Last Dance,Magic Mike’s Last Da,22.0%,United Kingdom
"Ruby Gillman, Teenage Kraken","Ruby Gillman, Teenag",12.7%,Mexico
Huí Láng Tíng (回廊亭),Huí Láng Tíng (),100.0%,China
Til We Meet Again on the Lily Hil (あの花が咲く丘で、君とま…,Til We Meet Again on,100.0%,Japan
Konkeuriteu Yutopia (콘크리트 유토피아 ),Konkeuriteu Yutopia ,96.7%,South Korea
Po Shchuchemu Veleniyu (По щучьему велению)…,Po Shchuchemu Veleni,100.0%,Russia (CIS)
One Life,One Life,46.0%,United Kingdom
Tiger 3,Tiger 3,7.0%,United Kingdom
Asteroid City,Asteroid City,23.8%,United Kingdom
The Holdovers,The Holdovers,18.6%,United Kingdom
Cocaine Bear,Cocaine Bear,26.7%,United Kingdom
Beijing 2022 (北京 2022),Beijing 2022 ( 2022),100.0%,China
Wǒ Jīng Guò Fēng Bào (我经过风暴),Wǒ Jīng Guò Fēng Bào,100.0%,China
65,65,16.4%,United Kingdom
Lose to Win (好像也没那么热血沸腾),Lose to Win (),100.0%,China
The Invisible Guest (瞒天过海),The Invisible Guest ,99.6%,China
Vyzov (Вызов),Vyzov (Вызов),97.8%,Russia (CIS)
Ferrari,Ferrari,23.8%,United Kingdom
Perfect Days,Perfect Days,37.6%,Japan
Nosso Lar,Nosso Lar,,
IDOLiSH7 the Movie; LIVE 4bit BEYOND THE PERiOD…,IDOLiSH7 the Movie; ,99.1%,Japan
Knock at the Cabin,Knock at the Cabin,19.2%,United Kingdom
Be My Family (无价之宝),Be My Family (),99.9%,China
Tokyo Revengers 2 (東京リベンジャーズ２ 血のハロウィン編 -運命-)…,Tokyo Revengers 2 (２,100.0%,Japan
The Birth of Kitaro: The Mystery of GeGeGe (鬼太郎…,The Birth of Kitaro:,98.3%,Japan
All of Us Strangers,All of Us Strangers,37.9%,United Kingdom
The Legend and Butterfly,The Legend and Butte,100.0%,Japan
Shin Kamen Rider (シン・仮面ライダー),Shin Kamen Rider (),99.7%,Japan
Tokyo Revengers 2: Bloody Halloween — Decisive …,Tokyo Revengers 2: B,99.9%,Japan
World's Greatest Dad (二手杰作),World's Greatest Dad,100.0%,China
30 il (30일),30 il (30),100.0%,South Korea
Plane,Plane,28.1%,United Kingdom
If You Are the One 3 (非诚勿扰3),If You Are the One 3,99.7%,China
Dr. Cheon and Lost Talisman (천박사 퇴마 연구소-설경의 비밀)…,Dr. Cheon and Lost T,100.0%,South Korea
If We Were Lucky (不要走散好不好),If We Were Lucky (),100.0%,China
Thanksgiving,Thanksgiving,12.6%,United Kingdom
Zhōng Guó Pīng Pāng (中国乒乓),Zhōng Guó Pīng Pāng ,99.8%,China
Ocho Apellidos Marroquís,Ocho Apellidos Marro,100.0%,Spain
Beyond the Clouds (我本是高山),Beyond the Clouds (),100.0%,China
Missing,Missing,10.4%,South Korea
Bursting Point (爆裂点),Bursting Point (),100.0%,China
Gyoseob (교섭),Gyoseob (),100.0%,South Korea
Campeonex,Campeonex,99.8%,Spain
Tri Bogatyrya i pup zemli (Три Богатыря и пуп з…,Tri Bogatyrya i pup ,100.0%,Russia (CIS)
Radical,Radical,93.9%,Mexico
Strays,Strays,19.6%,Mexico
Backkom Bear: Mars Mission (贝肯熊：火星任务)…,Backkom Bear: Mars M,96.6%,China
Book Club: The Next Chapter,Book Club: The Next ,21.6%,Australia
Die Drei ??? - Erbe des Drachen,Die Drei ??? - Erbe ,,
Manifesto,Manifesto,100.0%,China
Niàn Niàn Xiāng Wàng (念念相忘),Niàn Niàn Xiāng Wàng,91.6%,China
Next Goal Wins,Next Goal Wins,22.0%,Australia
Super Wings: Maximum Speed (超级飞侠：乐迪加速)…,Super Wings: Maximum,85.0%,China
Àn Shā Fēng Bào (暗杀风暴),Àn Shā Fēng Bào (),100.0%,China
The Iron Claw,The Iron Claw,30.5%,United Kingdom
RENAISSANCE: A FILM BY BEYONCÉ,RENAISSANCE: A FILM ,20.7%,United Kingdom
The Great Escaper,The Great Escaper,64.8%,United Kingdom
My Big Fat Greek Wedding 3,My Big Fat Greek Wed,48.5%,Australia
Sleep (잠),Sleep (),99.5%,South Korea
Priscilla,Priscilla,40.0%,United Kingdom
