Movie,trunc,Share Of Number One Market,Number One Market
Speed Racer,Speed Racer,,
Four Christmases,Four Christmases,,
Babylon A.D.,Babylon A.D.,,
The X-Files: I Want to Believe,The X-Files: I Want ,,
長江七號 (CJ7), (CJ7),,
Max Payne,Max Payne,,
Mirrors,Mirrors,,
Meet the Spartans,Meet the Spartans,,
Superhero Movie,Superhero Movie,,
Pokemon 2008,Pokemon 2008,,
Forgetting Sarah Marshall,Forgetting Sarah Mar,,
The Tale of Despereaux,The Tale of Desperea,,
Partners: The Movie,Partners: The Movie,,
Fool's Gold,Fool's Gold,,
Street Kings,Street Kings,,
Ghajini,Ghajini,83.2%,India
Meet Dave,Meet Dave,,
Admiral,Admiral,,
Righteous Kill,Righteous Kill,,
Nights in Rodanthe,Nights in Rodanthe,17.4%,Germany
Space Chimps,Space Chimps,,
Death Race,Death Race,,
The Bank Job,The Bank Job,,
Så som i himmelen,Så som i himmelen,,
The Boy in the Striped Pyjamas,The Boy in the Strip,,
Twentieth Century Boys,Twentieth Century Bo,,
Star Wars: The Clone Wars,Star Wars: The Clone,,
Za majikku awâ,Za majikku awâ,,
LOL (Laughing Out Loud),LOL (Laughing Out Lo,,
The Duchess,The Duchess,,
Bangkok Dangerous,Bangkok Dangerous,,
The Strangers,The Strangers,,
The Chaser,The Chaser,,
"Che, Part 1: The Argentine","Che, Part 1: The Arg",0.1%,South Korea
Doraemon: Nobita to Midori no kyojinten,Doraemon: Nobita to ,,
Wa Pei,Wa Pei,,
Fly Me To the Moon,Fly Me To the Moon,0.1%,Argentina
Ne le dis à personne,Ne le dis à personne,,
Step Brothers,Step Brothers,24.3%,Australia
"Run, Fatboy, Run","Run, Fatboy, Run",,
Role Models,Role Models,,
Singh is Kinng,Singh is Kinng,,
In Bruges,In Bruges,23.4%,United Kingdom
Gonggongui jeog 3,Gonggongui jeog 3,,
The Eye,The Eye,,
Milk,Milk,0.0%,New Zealand
Woori Saengae Choigoeui Soongan,Woori Saengae Choigo,,
Jodhaa Akbar,Jodhaa Akbar,,
Recep Ivedik,Recep Ivedik,,
Hors de Prix,Hors de Prix,,
Untraceable,Untraceable,,
Race,Race,,
"OSS 117: Le Caire, nid d'espions","OSS 117: Le Caire, n",0.1%,Italy
"Definitely, Maybe","Definitely, Maybe",,
The Women,The Women,,
The House Bunny,The House Bunny,,
Desu Noto 3: L: Change the World,Desu Noto 3: L: Chan,,
Disaster Movie,Disaster Movie,,
Disco,Disco,,
RocknRolla,RocknRolla,,
Meitantei Conan: Senritsu no furu sukoa,Meitantei Conan: Sen,3.5%,South Korea
Shutter,Shutter,0.0%,Australia
Paris,Paris,,Canada
Cassandra's Dream,Cassandra's Dream,,
Desu Noto,Desu Noto,,
Mongol,Mongol,,
My Blueberry Nights,My Blueberry Nights,,
The Divine Weapon,The Divine Weapon,,
The Wrestler,The Wrestler,,
Il y a longtemps que je t'aime,Il y a longtemps que,,Canada
Doubt,Doubt,,
Be Kind Rewind,Be Kind Rewind,,
Last Chance Harvey,Last Chance Harvey,,
Gong fu guan lan,Gong fu guan lan,,
Le renard et l'enfant,Le renard et l'enfan,,
The Spirit,The Spirit,,
Gegege no Kitarô: Sennen noroi uta,Gegege no Kitarô: Se,,
"Grande, grosso e Verdone","Grande, grosso e Ver",,
Detoroito Metaru Shiti,Detoroito Metaru Shi,,
Pako to Maho no Ehon,Pako to Maho no Ehon,,
Auf der anderen Seite,Auf der anderen Seit,,
Happy-Go-Lucky,Happy-Go-Lucky,,
Scusa ma ti chiamo amore,Scusa ma ti chiamo a,,
One Missed Call,One Missed Call,,
Blindness,Blindness,,
Drillbit Taylor,Drillbit Taylor,,
Sarkar Raj,Sarkar Raj,,
Ghost Town,Ghost Town,,
Pride and Glory,Pride and Glory,,
Jaane Tu Ya Jaane Na,Jaane Tu Ya Jaane Na,,
Dasavatharam,Dasavatharam,,
88 Minutes,88 Minutes,,
Der Baader Meinhof Komplex,Der Baader Meinhof K,,
My Best Friend's Girl,My Best Friend's Gir,,
Un secret,Un secret,,
Pineapple Express,Pineapple Express,,
Die Fälscher,Die Fälscher,,
Enfin Veuve,Enfin Veuve,,
Never Back Down,Never Back Down,,
Tropa de Elite,Tropa de Elite,,
Over Her Dead Body,Over Her Dead Body,,
"Angus, Thongs and Perfect Snogging","Angus, Thongs and Pe",49.9%,United Kingdom
Prom Night,Prom Night,,
Die Wilden Kerle 5,Die Wilden Kerle 5,,
U2 3D,U2 3D,,
Sukkar banat,Sukkar banat,,
Dostana,Dostana,,
Shaolin Girl,Shaolin Girl,,
Eye for an Eye,Eye for an Eye,,
Lejdis,Lejdis,,
Bikur Ha-Tizmoret,Bikur Ha-Tizmoret,,
Cape No. 7,Cape No. 7,,
Ca$h,Ca$h,,
Waltz with Bashir,Waltz with Bashir,,
Igor,Igor,,
99 francs,99 francs,,Canada
Penelope,Penelope,,
Bhoothnath,Bhoothnath,,
La Graine et le Mulet,La Graine et le Mule,,Canada
"4 luni, 3 saptamani si 2 zile","4 luni, 3 saptamani ",,
Make It Happen,Make It Happen,,
La misma luna,La misma luna,,
Shine a Light,Shine a Light,,
Doomsday,Doomsday,,
Crayon Shin-chan 16,Crayon Shin-chan 16,,
Semi-Pro,Semi-Pro,,
Kismat Konnection,Kismat Konnection,,
Quarantine,Quarantine,,
Flowers in the Shadow,Flowers in the Shado,,
L'allenatore nel pallone 2,L'allenatore nel pal,,
Låt den rätte komma in,Låt den rätte komma ,5.0%,South Korea
Open City,Open City,,
