Movie,trunc,Share Of Number One Market,Number One Market
Manbiki kazoku,Manbiki kazoku,54.6%,Japan
The First Purge,The First Purge,15.1%,Mexico
Sanju,Sanju,94.3%,India
Crazy Rich Asians,Crazy Rich Asians,28.9%,Australia
L Feng Bao,L Feng Bao,99.9%,China
Alpha,Alpha,26.0%,China
Cafarnaúm,Cafarnaúm,84.9%,China
The House with a Clock in its Walls,The House with a Clo,17.3%,United Kingdom
The Favourite,The Favourite,40.5%,United Kingdom
First Man,First Man,16.7%,United Kingdom
Padmavati,Padmavati,91.0%,India
Mu Hou Wan Jia,Mu Hou Wan Jia,99.7%,China
La ch'tite famille,La ch'tite famille,83.3%,France
Kuai Ba Wo Ge Dai Zou,Kuai Ba Wo Ge Dai Zo,99.9%,China
Robin Hood,Robin Hood,7.8%,Russia (CIS)
Sherlock Gnomes,Sherlock Gnomes,22.5%,United Kingdom
Truth or Dare,Truth or Dare,10.0%,France
Instant Family,Instant Family,26.0%,United Kingdom
Bei Shang Ni Liu Cheng He,Bei Shang Ni Liu Che,99.9%,China
Searching,Searching,44.6%,South Korea
Game Night,Game Night,14.0%,United Kingdom
Andhadhun,Andhadhun,99.2%,China
Les Tuche 3,Les Tuche 3,100.0%,France
Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunte,21.3%,United Kingdom
Campeones,Campeones,50.0%,France
Huang Jin Xiong Di,Huang Jin Xiong Di,99.8%,China
Legend of Tang Dynasty 2,Legend of Tang Dynas,100.0%,China
The Spy Who Dumped Me,The Spy Who Dumped M,19.6%,China
BlacKkKlansman,BlacKkKlansman,23.6%,France
A Simple Favor,A Simple Favor,16.3%,Australia
I Feel Pretty,I Feel Pretty,16.8%,United Kingdom
Taxi 5,Taxi 5,69.3%,France
Di Qiu Zui Hou De Ye Wang,Di Qiu Zui Hou De Ye,99.6%,China
Ansisung,Ansisung,99.9%,South Korea
Zhao Dao Ni,Zhao Dao Ni,99.9%,China
Overboard,Overboard,63.9%,Mexico
T-34,T-34,90.7%,Russia (CIS)
wanbyeokhan tain,wanbyeokhan tain,99.7%,South Korea
Dokjeon,Dokjeon,99.8%,South Korea
Nada a Perder,Nada a Perder,87.5%,Brazil
Gongjak,Gongjak,99.8%,South Korea
Pan Zi Xinh Dong Dui,Pan Zi Xinh Dong Dui,99.8%,China
Book Club,Book Club,14.4%,United Kingdom
Early Man,Early Man,39.7%,United Kingdom
Le Grand Bain,Le Grand Bain,89.8%,France
Nan Ji Jue Lian,Nan Ji Jue Lian,99.9%,China
Hereditary,Hereditary,19.6%,United Kingdom
Thugs of Hindostan,Thugs of Hindostan,70.9%,India
Den of Thieves,Den of Thieves,11.1%,United Kingdom
Blockers,Blockers,23.4%,Australia
Mia et le lion blanc,Mia et le lion blanc,40.7%,France
Widows,Widows,24.7%,United Kingdom
Second Act,Second Act,11.7%,Mexico
Race 3,Race 3,92.8%,India
A Wrinkle in Time,A Wrinkle in Time,19.7%,Russia (CIS)
Der Junge muss an die frische Luft,Der Junge muss an di,99.7%,Germany
Mary Queen of Scots,Mary Queen of Scots,37.2%,United Kingdom
Gintama 2: Okite wa Yaburu tame ni koso Aru,Gintama 2: Okite wa ,99.8%,Japan
Hichki,Hichki,70.3%,China
Meng Chong Guo Jiang,Meng Chong Guo Jiang,100.0%,China
Baaghi 2,Baaghi 2,97.0%,India
Mile 22,Mile 22,8.9%,Mexico
Kler,Kler,94.5%,Poland
Mirai no Mirai,Mirai no Mirai,80.0%,Japan
Amsusalin,Amsusalin,99.9%,South Korea
Lyod,Lyod,90.0%,Russia (CIS)
The Possession of Hannah Grace,The Possession of Ha,10.0%,Mexico
Gukgabudoui Nal,Gukgabudoui Nal,99.9%,South Korea
Padman,Padman,53.8%,India
The Hurricane Heist,The Hurricane Heist,50.4%,China
Politseyskiy s Rublyovki. Novogodniy bespredel,Politseyskiy s Rubly,99.6%,Russia (CIS)
Night School,Night School,22.4%,United Kingdom
Zu Zong Shi Jiu Dai,Zu Zong Shi Jiu Dai,100.0%,China
Kamera o tomeru na!,Kamera o tomeru na!,99.4%,Japan
Isle of Dogs,Isle of Dogs,30.1%,United Kingdom
Adrift,Adrift,13.9%,Italy
Sicario: Day of the Soldado,Sicario: Day of the ,10.8%,United Kingdom
Kensatsu gawa no zainin,Kensatsu gawa no zai,91.9%,Japan
The Darkest Minds,The Darkest Minds,22.6%,France
Rangasthalam,Rangasthalam,98.9%,India
12 Strong,12 Strong,14.3%,Venezuela
"Love, Simon","Love, Simon",20.8%,United Kingdom
Geugeotmani Nae Sesang,Geugeotmani Nae Sesa,100.0%,South Korea
Manyeo,Manyeo,100.0%,South Korea
Natsume's Book of Friends The Movie: Tied to th…,Natsume's Book of Fr,71.1%,China
Tamjeong 2,Tamjeong 2,99.9%,South Korea
Stan & Ollie,Stan & Ollie,57.7%,United Kingdom
Tag,Tag,10.9%,Australia
Inori no maku ga oriru toki,Inori no maku ga ori,55.9%,Japan
Vice,Vice,23.3%,United Kingdom
Gekijouban Poketto monsutâ: Minna no Monogatari,Gekijouban Poketto m,92.8%,Japan
Teen Titans Go! To The Movies,Teen Titans Go! To T,15.0%,Mexico
Ba Li Gong Lue,Ba Li Gong Lue,99.8%,China
Show Dogs,Show Dogs,21.0%,United Kingdom
Yun Nan Chong Gu Yunnan Valley,Yun Nan Chong Gu Yun,99.8%,China
The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literar,35.3%,United Kingdom
Boku no Hero Academia the Movie,Boku no Hero Academi,37.3%,Japan
Tout le Monde Debout,Tout le Monde Debout,87.6%,France
Slender Man,Slender Man,16.9%,Mexico
Da Shi Xiong,Da Shi Xiong,99.7%,China
Minha Vida em Marte,Minha Vida em Marte,100.0%,Brazil
New Happy Dad and Son 3: Adventure in Russia (新…,New Happy Dad and So,100.0%,China
Alad’2,Alad’2,90.2%,France
Neoeui kyeol hoonsik,Neoeui kyeol hoonsik,100.0%,South Korea
The 15:17 to Paris,The 15:17 to Paris,18.4%,Japan
Winchester,Winchester,19.8%,Mexico
Sonu Ke Titu Ki Sweety,Sonu Ke Titu Ki Swee,98.7%,India
Zimna wojna,Zimna wojna,23.8%,Poland
Gonjiam: Haunted Asylum,Gonjiam: Haunted Asy,98.2%,South Korea
The Girl in the Spider’s Web,The Girl in the Spid,11.6%,Russia (CIS)
Gu Jian Qi Tan Zhi Liu Yue Zhao Ming,Gu Jian Qi Tan Zhi L,100.0%,China
Paw Patrol Mighty Pups: The Movie,Paw Patrol Mighty Pu,62.0%,China
Raid,Raid,98.1%,India
Ye Wen hui chuan: Zhang Tianzhi,Ye Wen hui chuan: Zh,99.6%,China
Mokgyeokja,Mokgyeokja,99.9%,South Korea
Oolong Courtyard:Kung Fu School,Oolong Courtyard:Kun,99.9%,China
Duck Duck Goose,Duck Duck Goose,31.2%,China
Jigeum Mannareo Gabmida,Jigeum Mannareo Gabm,99.8%,South Korea
Joseon Myungtamjung: Heubhyeolgwimaui Bimil,Joseon Myungtamjung:,99.9%,South Korea
Müslüm,Müslüm,80.7%,Turkey
Tian Qi Yu Bao,Tian Qi Yu Bao,100.0%,China
"Belle et Sébastien 3, le Dernier Chapitre",Belle et Sébastien 3,76.9%,France
Overlord,Overlord,11.6%,Russia (CIS)
Bharat Ane Nenu,Bharat Ane Nenu,98.0%,India
Midnight Sun,Midnight Sun,23.4%,Italy
Durante la tormenta,Durante la tormenta,94.8%,China
21 Ke La,21 Ke La,100.0%,China
Kureyon Shinchan: Bakumori! Kanfu Boizu ~Ramen …,Kureyon Shinchan: Ba,85.9%,Japan
Sumaho o otoshita dake na no ni,Sumaho o otoshita da,100.0%,Japan
Escape Plan 2: Hades,Escape Plan 2: Hades,80.4%,China
Feng Yu Zhou,Feng Yu Zhou,100.0%,China
Arif v 216,Arif v 216,100.0%,Turkey
Peppermint,Peppermint,10.9%,Netherlands
Finding Your Feet,Finding Your Feet,46.8%,United Kingdom
Burn the Stage: The Movie,Burn the Stage: The ,23.9%,Japan
The Leisure Seeker,The Leisure Seeker,78.3%,Italy
Myeong Dang,Myeong Dang,100.0%,South Korea
Superlópez,Superlópez,100.0%,Spain
102 Not Out,102 Not Out,63.9%,India
Yugo & Lala 4,Yugo & Lala 4,99.4%,China
Todos lo saben,Todos lo saben,43.0%,France
Soratobu taiya,Soratobu taiya,100.0%,Japan
Hyeobsang,Hyeobsang,99.9%,South Korea
Xing Fu Ma Shang Lai,Xing Fu Ma Shang Lai,100.0%,China
Blood-Soaked GuangChang,Blood-Soaked GuangCh,100.0%,China
Death Wish,Death Wish,22.3%,China
Mayakwang,Mayakwang,100.0%,South Korea
On the Basis of Sex,On the Basis of Sex,15.4%,Australia
100 Dinge,100 Dinge,93.8%,Germany
Io sono Tempesta,Io sono Tempesta,99.6%,Italy
Chihayafuru: Musubi,Chihayafuru: Musubi,100.0%,Japan
The Children Act,The Children Act,26.9%,United Kingdom
Hunter Killer,Hunter Killer,17.3%,Japan
Bad Times at the El Royale,Bad Times at the El ,19.5%,Russia (CIS)
Animal Crackers,Animal Crackers,71.2%,China
Trener,Trener,89.9%,Russia (CIS)
Le Jeu,Le Jeu,99.4%,France
Kobiety Mafii,Kobiety Mafii,94.0%,Poland
Die Kleine Hexe,Die Kleine Hexe,93.4%,Germany
Life of the Party,Life of the Party,32.3%,Australia
Jim Knopf und Lukas der Lokomotivführer,Jim Knopf und Lukas ,96.1%,Germany
PMC: deo beong-keo,PMC: deo beong-keo,100.0%,South Korea
Kamen Raidâ Heisei Jenerêshonzu Foebâ,Kamen Raidâ Heisei J,100.0%,Japan
Cinderella and The Secret Prince,Cinderella and The S,72.8%,China
Crystal Sky Of Yesterday,Crystal Sky Of Yeste,99.6%,China
Mary Magdalene,Mary Magdalene,14.2%,Italy
Sungnan Hwangso,Sungnan Hwangso,99.9%,South Korea
Changgwol,Changgwol,99.7%,South Korea
A Casa Tutti Bene,A Casa Tutti Bene,95.2%,Italy
Çakallarla Dans 5,Çakallarla Dans 5,100.0%,Turkey
"Ni Hao, Zhi Hua","Ni Hao, Zhi Hua",99.7%,China
Wu Lin Guai Shou,Wu Lin Guai Shou,99.9%,China
Jiang hu er nv,Jiang hu er nv,87.1%,China
Yolki Posledniye,Yolki Posledniye,98.8%,Russia (CIS)
The Sisters Brothers,The Sisters Brothers,56.4%,France
The Adventure of Afanti,The Adventure of Afa,100.0%,China
Luis Und Die Aliens,Luis Und Die Aliens,16.2%,Russia (CIS)
Thaanaa Serndha Koottam,Thaanaa Serndha Koot,97.6%,India
Doeorak,Doeorak,100.0%,South Korea
Holmes & Watson,Holmes & Watson,43.5%,United Kingdom
50 Kaime no Fasuto Kisu,50 Kaime no Fasuto K,99.9%,Japan
Qian Ting Zong Dong Yuan: Hai Di Liang Wan Li,Qian Ting Zong Dong ,97.2%,China
Agnyaathavaasi,Agnyaathavaasi,99.9%,India
Free Solo,Free Solo,46.9%,China
Ya Khudeyu,Ya Khudeyu,99.3%,Russia (CIS)
Rapurasu no majo,Rapurasu no majo,99.5%,Japan
Red Joan,Red Joan,31.2%,United Kingdom
Gnome Alone,Gnome Alone,21.8%,Poland
Colette,Colette,30.1%,United Kingdom
Golden Slumber,Golden Slumber,99.8%,South Korea
Seuwingkizeu,Seuwingkizeu,99.8%,South Korea
Xie Mi Xing Zhe,Xie Mi Xing Zhe,99.7%,China
Benedetta Follia,Benedetta Follia,99.3%,Italy
Yo-kai Watch Movie 5: Forever Friends,Yo-kai Watch Movie 5,99.0%,Japan
Annihilation,Annihilation,100.0%,China
25 km/h,25 km/h,95.9%,Germany
Long Xia Xing Jing,Long Xia Xing Jing,99.7%,China
Gui Mi 2,Gui Mi 2,99.2%,China
Mao Yu Tao Hua Yuan,Mao Yu Tao Hua Yuan,33.5%,China
Klassentreffen,Klassentreffen,100.0%,Germany
Kohi ga Samenai Uchi Ni,Kohi ga Samenai Uchi,100.0%,Japan
Ying Xiong Ben Se 2018,Ying Xiong Ben Se 20,98.9%,China
"Kon'ya, romansu gekijô de","Kon'ya, romansu geki",79.2%,Japan
Maya the Bee: The Honey Games,Maya the Bee: The Ho,22.9%,Poland
Liteul Poleseuteu,Liteul Poleseuteu,100.0%,South Korea
